Date,HONG KONG-LISTED SOUTHBOUND + CHINA A
2004-11,1000.0
2004-12,973.3155076492927
2005-01,978.6987926537685
2005-02,1008.129977522525
2005-03,968.1470064669553
2005-04,989.613776896571
2005-05,1026.2750336561567
2005-06,1073.564006704379
2005-07,1113.86721856622
2005-08,1102.967231537451
2005-09,1154.5396806147355
2005-10,1091.4538458075174
2005-11,1148.0070756328353
2005-12,1168.6792923203204
2006-01,1220.0832394959823
2006-02,1272.6878998505726
2006-03,1267.2333591168513
2006-04,1279.2940327588478
2006-05,1261.484281591277
2006-06,1283.1616334842574
2006-07,1297.5032177905612
2006-08,1327.048675428693
2006-09,1371.6859013688238
2006-10,1418.7165278404443
2006-11,1467.076162249998
2006-12,1611.570710255129
2007-01,1674.1360591716555
2007-02,1643.1583114360758
2007-03,1700.7059622026939
2007-04,1837.798914577523
2007-05,1984.1921406834606
2007-06,2013.5701650102753
2007-07,2206.6769861421085
2007-08,2393.774986645867
2007-09,2548.631327622145
2007-10,2726.412908303969
2007-11,2352.8893063056144
2007-12,2442.919806141478
2008-01,2065.7997682045952
2008-02,2103.5957821720635
2008-03,1791.4067489267463
2008-04,1981.8245882072097
2008-05,1892.963272351613
2008-06,1598.4452463976918
2008-07,1650.0779623651808
2008-08,1585.598060157788
2008-09,1453.5521959472935
2008-10,1231.3558346918956
2008-11,1276.4922732301618
2008-12,1191.6688860617553
2009-01,1277.0193747970789
2009-02,1284.835144758369
2009-03,1358.6351481976626
2009-04,1511.0021330035831
2009-05,1603.487338644543
2009-06,1716.868524685808
2009-07,1946.9033987917817
2009-08,1687.5415956800978
2009-09,1761.0068256867644
2009-10,1844.2398983649457
2009-11,1889.3240353350693
2009-12,1993.3410585076094
2010-01,1882.7166132613004
2010-02,1969.8647650022278
2010-03,2036.4699435237808
2010-04,1997.3408781455125
2010-05,1996.6718411085587
2010-06,1956.4828515396953
2010-07,1996.8308944212536
2010-08,2045.438211606239
2010-09,2033.5314172530411
2010-10,2149.3159972078442
2010-11,2230.3145512957517
2010-12,2163.5031113990362
2011-01,2100.2099767749255
2011-02,2137.11820618033
2011-03,2095.05906485191
2011-04,2022.4698150943402
2011-05,2031.4461293471172
2011-06,1991.5558174210807
2011-07,1999.6346710065743
2011-08,1866.9468042026863
2011-09,1738.9242050666865
2011-10,1836.6742525673844
2011-11,1750.2235271137977
2011-12,1780.9922719003089
2012-01,1899.8808228941423
2012-02,1999.3966667012733
2012-03,1886.7256157583445
2012-04,1981.029939840662
2012-05,1993.7868164463243
2012-06,1938.6115493598254
2012-07,1961.4768411293107
2012-08,1867.391002251616
2012-09,1945.043273920326
2012-10,1976.807909373585
2012-11,1953.281882381245
2012-12,2093.6404109434475
2013-01,2151.358787901614
2013-02,2196.1470815476086
2013-03,2132.936965337023
2013-04,2091.3737238841927
2013-05,2189.513428110876
2013-06,1970.142643933072
2013-07,1995.0194301187132
2013-08,2057.1322720012886
2013-09,2100.101509522565
2013-10,2106.030055740887
2013-11,2173.9751468834284
2013-12,2087.612011984446
2014-01,2018.0693451799943
2014-02,1991.3137700744862
2014-03,1948.3492745749231
2014-04,1925.689282385425
2014-05,2018.4926376709607
2014-06,2044.8257211700786
2014-07,2266.2407234001676
2014-08,2306.8408686109483
2014-09,2361.3597197213912
2014-10,2469.195796545948
2014-11,2594.7767923701667
2014-12,2895.4606293490133
2015-01,3115.3742877770073
2015-02,3219.998613640963
2015-03,3656.097568332947
2015-04,4058.5785917427834
2015-05,4203.078738715248
2015-06,3858.297229097974
2015-07,3452.36019307905
2015-08,2951.50612980334
2015-09,2846.645183998896
2015-10,3178.596256419308
2015-11,3282.723794468799
2015-12,3239.687811723213
2016-01,2619.248840098908
2016-02,2553.208268337583
2016-03,2736.160356643064
2016-04,2692.615709173793
2016-05,2732.298407203732
2016-06,2760.6750864411406
2016-07,2829.622455255033
2016-08,2970.7046325470405
2016-09,2934.052959049133
2016-10,3005.667859679796
2016-11,3154.6835953071745
2016-12,3001.7518038212684
2017-01,3048.8353902115623
2017-02,3175.188453956383
2017-03,3171.97475615426
2017-04,3117.9923692780426
2017-05,3086.3406840226266
2017-06,3169.609553724735
2017-07,3219.6420384884113
2017-08,3307.2825757258147
2017-09,3341.809602682795
2017-10,3492.1940802262757
2017-11,3408.352140054846
2017-12,3452.8663101113593
2018-01,3609.550000236036
2018-02,3456.841068282802
2018-03,3339.2098100127173
2018-04,3329.1877289374174
2018-05,3429.1519748851197
2018-06,3154.740483298332
2018-07,3089.3173534083207
2018-08,2967.3308595574836
2018-09,2995.124493963061
2018-10,2750.193566623483
2018-11,2886.647738702617
2018-12,2762.4787455741402
2019-01,2981.4837868192467
2019-02,3255.0401396795296
