Date,EM (EMERGING MARKETS) ex CHINA
1998-12,1000.0
1999-01,1021.5179559245055
1999-02,1066.5692099440967
1999-03,1227.323361761789
1999-04,1406.4310305930333
1999-05,1418.472032582811
1999-06,1594.059898479719
1999-07,1494.3329219387074
1999-08,1528.6038035966556
1999-09,1464.2541019326181
1999-10,1516.005675304094
1999-11,1725.5183247435941
1999-12,1956.4532172680724
2000-01,2017.7231142993683
2000-02,2079.30568566575
2000-03,2102.4984353882373
2000-04,1997.3984414762467
2000-05,1879.6002415059545
2000-06,1868.034394501961
2000-07,1828.0479530173668
2000-08,1920.8567277341162
2000-09,1769.27144178688
2000-10,1705.1911170281865
2000-11,1520.7349436025775
2000-12,1445.578622469919
2001-01,1659.4144942283676
2001-02,1548.0699958467087
2001-03,1458.6134168044553
2001-04,1521.1657617097223
2001-05,1607.7688907826305
2001-06,1569.892006256405
2001-07,1430.6774827685706
2001-08,1384.6819070373522
2001-09,1157.830828060962
2001-10,1246.0428868158617
2001-11,1384.7913486496905
2001-12,1510.450124000141
2002-01,1628.01961952322
2002-02,1647.321718573424
2002-03,1731.4075709382944
2002-04,1683.2983642410225
2002-05,1594.4774901106068
2002-06,1390.5176108871476
2002-07,1290.3597202647397
2002-08,1313.0158457328946
2002-09,1159.7084691469634
2002-10,1237.6318671669783
2002-11,1319.2691621195338
2002-12,1209.4554998003414
2003-01,1172.665223056515
2003-02,1134.8940110699173
2003-03,1089.808008178274
2003-04,1167.3792875481786
2003-05,1182.6607309560711
2003-06,1279.3047901385942
2003-07,1382.9024473630502
2003-08,1512.6258096867762
2003-09,1437.3344808204356
2003-10,1555.1938418397176
2003-11,1525.6626333108022
2003-12,1545.2404748813674
2004-01,1629.7809251050567
2004-02,1701.872422035053
2004-03,1756.7194399785685
2004-04,1660.8071642312702
2004-05,1586.214980178225
2004-06,1600.3900053722425
2004-07,1585.081896242032
2004-08,1641.136140977423
2004-09,1696.0041530826168
2004-10,1702.9150606541511
2004-11,1779.5688935729393
2004-12,1833.9034720785762
2005-01,1921.013403661662
2005-02,2053.2031955966618
2005-03,1955.903189443534
2005-04,1911.1070891790446
2005-05,2071.952046309094
2005-06,2183.649151196666
2005-07,2328.0127655492483
2005-08,2319.545095116133
2005-09,2593.285363864524
2005-10,2446.9154586933046
2005-11,2694.1332098180924
2005-12,2858.111963097404
2006-01,3079.75937599465
2006-02,3124.2277290739357
2006-03,3098.737351515259
2006-04,3194.104223580542
2006-05,2789.004340997965
2006-06,2788.2739011847893
2006-07,2829.567318167627
2006-08,2893.907935358304
2006-09,2940.034964431842
2006-10,3049.90131391155
2006-11,3143.4738362204976
2006-12,3263.8507247562216
2007-01,3290.7214117406547
2007-02,3222.8917647855687
2007-03,3325.8164719115252
2007-04,3401.902964547276
2007-05,3605.897703634581
2007-06,3728.1605330649722
2007-07,3845.325147704141
2007-08,3723.783429484023
2007-09,3907.5509270114085
2007-10,4228.560134965308
2007-11,3927.4854680533335
2007-12,3994.712278737079
2008-01,3520.0939690293812
2008-02,3667.1786831660665
2008-03,3369.835993214615
2008-04,3666.473087562782
2008-05,3784.9527219245306
2008-06,3374.6127200230394
2008-07,3245.2560312420687
2008-08,3165.705155315617
2008-09,2754.2978763434407
2008-10,2192.2727681296446
2008-11,1977.332256942693
2008-12,1935.4535612176812
2009-01,1972.29567994496
2009-02,1867.1213317728068
2009-03,2043.7132288951975
2009-04,2414.970160278922
2009-05,2646.3052324062605
2009-06,2601.722859912069
2009-07,2866.0207405632937
2009-08,2866.8883038642566
2009-09,3097.982241899278
2009-10,3031.717591532076
2009-11,3119.916353986759
2009-12,3419.4015153396767
2010-01,3356.4762925067926
2010-02,3417.2658032312715
2010-03,3744.860604899693
2010-04,3869.796799950135
2010-05,3795.497168840762
2010-06,3756.848850188972
2010-07,3859.402508802849
2010-08,3886.626691385938
2010-09,4037.2378932001634
