Date,ACWI ex EGYPT
2015-12,2157.968498926321
2016-01,2035.8286779615544
2016-02,2013.4220482807284
2016-03,2062.051855257552
2016-04,2081.8520223772684
2016-05,2144.610909846923
2016-06,2136.052138611404
2016-07,2213.5033866476715
2016-08,2229.914241881134
2016-09,2223.5244122730537
2016-10,2240.7722225862663
2016-11,2333.321407933882
2016-12,2397.3839743298986
2017-01,2403.811729847484
2017-02,2513.3062844890574
2017-03,2527.551551032107
2017-04,2521.2225351214447
2017-05,2495.414836831253
2017-06,2471.4975708575075
2017-07,2457.712093031842
2017-08,2446.578514384619
2017-09,2507.9979664516445
2017-10,2597.9980841194633
2017-11,2587.4466350120238
2017-12,2610.6614259142398
2018-01,2658.454483997102
2018-02,2601.291879182071
2018-03,2524.4396686235755
2018-04,2594.209993701281
2018-05,2688.5117878602523
2018-06,2673.3696051435613
2018-07,2748.1318666275242
2018-08,2785.305782103927
2018-09,2802.273353270047
2018-10,2657.357631729326
2018-11,2698.143427568121
2018-12,2484.1643205592613
2019-01,2670.2588974671708
2019-02,2762.739710625482
2019-03,2836.9785577979296
2019-04,2938.368886390587
2019-05,2779.812075935258
2019-06,2898.259830968793
2019-07,2973.074802605663
2019-08,2934.511409982727
2019-09,3026.6401288065313
2019-10,3038.5370683990013
2019-11,3149.583196767896
2019-12,3202.6858372214715
2020-01,3208.1560426400456
2020-02,2975.1804208587996
2020-03,2576.412797300475
2020-04,2857.491911074884
2020-05,2936.096301409621
2020-06,3000.787650384175
2020-07,3000.943215346812
2020-08,3148.7923101467572
2020-09,3107.806426996005
2020-10,3052.580984816352
2020-11,3339.02361712474
2020-12,3415.9741669910954
2021-01,3424.6181702330787
2021-02,3507.1351114544136
2021-03,3718.8132206329933
2021-04,3789.5309437461137
2021-05,3789.1990757098133
2021-06,3958.1270759949807
2021-07,3985.7098324129106
2021-08,4103.974545439728
2021-09,4007.443077827506
2021-10,4218.1488834149795
2021-11,4232.31547112858
2021-12,4356.716447831653
2022-01,4202.613610004549
2022-02,4086.0643913974654
2022-03,4214.215152400334
2022-04,4088.931407759167
2022-05,4031.453422999433
2022-06,3782.725753495371
2022-07,4149.296835509747
2022-08,4052.569463447318
2022-09,3761.4837044449005
2022-10,3953.3821430095663
2022-11,4089.1095360296495
2022-12,3789.775635897011
2023-01,3991.145137663746
2023-02,3970.1299775320786
2023-03,3994.8220271283853
2023-04,3987.8086635437517
2023-05,4085.343117384506
2023-06,4223.911272547026
2023-07,4332.690555752853
