Date,ACWI ex MALAYSIA
2015-12,2157.693347230971
2016-01,2034.9430200862105
2016-02,2012.654684179381
2016-03,2060.91971690311
2016-04,2081.0464598613935
2016-05,2144.3105376405756
2016-06,2135.42666983536
2016-07,2213.254338344757
2016-08,2229.5390538418987
2016-09,2223.380033455223
2016-10,2240.5701503427877
2016-11,2333.5873287071126
2016-12,2397.776967105195
2017-01,2404.1669307536636
2017-02,2513.773350277938
2017-03,2527.861464279699
2017-04,2521.366584334992
2017-05,2495.6243906837653
2017-06,2471.74123563393
2017-07,2458.1281058740324
2017-08,2446.9498073907557
2017-09,2508.4505437128664
2017-10,2598.6105477098163
2017-11,2588.0532562772114
2017-12,2610.953990536647
2018-01,2658.579610706014
2018-02,2601.2103245005596
2018-03,2524.0910048729033
2018-04,2594.0010588915825
2018-05,2688.911634915877
2018-06,2673.9428317194943
2018-07,2748.570655091561
2018-08,2785.762952512496
2018-09,2802.8618498302553
2018-10,2657.8357085955413
2018-11,2698.7919605013453
2018-12,2484.170665406995
2019-01,2670.7431293760023
2019-02,2763.31028016733
2019-03,2837.8669634636763
2019-04,2939.639350857033
2019-05,2780.6369493640277
2019-06,2899.3622371425436
2019-07,2974.3760285262833
2019-08,2935.9563361646924
2019-09,3028.3102917280953
2019-10,3040.331138868718
2019-11,3151.729167770346
2019-12,3204.8419099032776
2020-01,3210.542043292107
2020-02,2977.3021283824114
2020-03,2577.9541646677517
2020-04,2859.5061193299557
2020-05,2938.1028184479114
2020-06,3002.858149996102
2020-07,3002.801243710549
2020-08,3151.3942451918183
2020-09,3110.2740818150905
2020-10,3054.927538040235
2020-11,3341.8724342637497
2020-12,3418.8998219001483
2021-01,3427.8364967023863
2021-02,3510.556845814861
2021-03,3722.7061406728412
2021-04,3793.544546473549
2021-05,3793.413059717199
2021-06,3962.8518174488645
2021-07,3990.7843325893555
2021-08,4108.85084983648
2021-09,4012.16171048306
2021-10,4223.317381860804
2021-11,4237.666948638361
2021-12,4362.205955170892
2022-01,4207.821001661936
2022-02,4090.5820430440112
2022-03,4218.939357466878
2022-04,4093.141896504719
2022-05,4035.747557047213
2022-06,3786.735180914291
2022-07,4153.981901716172
2022-08,4056.865422627381
2022-09,3765.5065665061948
2022-10,3957.79360006115
2022-11,4093.6428924236334
2022-12,3793.6311451614215
2023-01,3995.4542124392583
2023-02,3974.7496163631686
2023-03,3999.5649062483235
2023-04,3992.7261450163155
2023-05,4090.6592441759476
2023-06,4229.851510059523
2023-07,4338.407546694532
