Date,EFM ASIA
2002-05,464.92509731377555
2002-06,419.79598609456184
2002-07,404.6190348708406
2002-08,399.5424636858826
2002-09,346.88817391872243
2002-10,362.6669321987686
2002-11,385.82561467674583
2002-12,339.6164198989795
2003-01,336.3285927425914
2003-02,315.21807377552847
2003-03,294.1735544098623
2003-04,301.27397720523504
2003-05,308.82139375520603
2003-06,341.7497995555434
2003-07,379.9364307555114
2003-08,416.7726446867198
2003-09,387.5220373723452
2003-10,426.9125634403114
2003-11,406.8553348239841
2003-12,413.1360664798761
2004-01,444.5165549523434
2004-02,462.75114309526333
2004-03,466.2790097651424
2004-04,449.5641267087816
2004-05,423.7445258412508
2004-06,419.3660206907574
2004-07,406.9342176296802
2004-08,421.98867831130366
2004-09,430.27455610886665
2004-10,425.73463005546705
2004-11,446.00526347645166
2004-12,451.35126996074104
2005-01,478.49150633007656
2005-02,502.49707606700986
2005-03,485.5575027590804
2005-04,475.2792345123116
2005-05,517.1192727597252
2005-06,540.864529444258
2005-07,574.3848920520655
2005-08,548.5197956122246
2005-09,593.929147269769
2005-10,555.729508994244
2005-11,612.7404711415287
2005-12,661.6668802707678
2006-01,692.1106123535092
2006-02,701.5057741094245
2006-03,700.3281379954287
2006-04,721.5528306396242
2006-05,654.697271553766
2006-06,653.2988293291808
2006-07,653.1950111376337
2006-08,674.8107858854758
2006-09,706.7598975509211
2006-10,719.2134299556067
2006-11,748.8203045192937
2006-12,781.8543455950977
2007-01,775.6598740441023
2007-02,763.5892383837194
2007-03,772.4561956739743
2007-04,787.8768965049949
2007-05,851.3728255723996
2007-06,900.3952874560755
2007-07,958.5159208046896
2007-08,949.3613056063156
2007-09,1019.1382992546799
2007-10,1115.3445924665082
2007-11,1000.0000000000001
2007-12,997.8781264413558
2008-01,844.144713968645
2008-02,883.3982441418377
2008-03,789.5124052818442
2008-04,870.2849164029071
2008-05,837.3251114986795
2008-06,723.0124980155189
2008-07,724.0220372154502
2008-08,713.4066460607659
2008-09,623.8669296411222
2008-10,524.764064871733
2008-11,487.29351170311634
2008-12,494.6494332087695
2009-01,502.32765425306724
2009-02,474.20237663361956
2009-03,525.7657960357571
2009-04,614.6547165615156
2009-05,662.3847951726707
2009-06,666.4654256391676
2009-07,742.9492695159367
2009-08,714.0900605919451
2009-09,765.2823680664601
2009-10,750.9178718742306
2009-11,760.3217498205486
2009-12,831.7447620073358
2010-01,807.5261042327568
2010-02,822.7307920437827
2010-03,893.7607770750263
2010-04,930.9702925885559
2010-05,921.9734447022847
2010-06,936.2316842908355
2010-07,929.500412038583
2010-08,938.8045811607557
2010-09,971.9313137177547
2010-10,979.7344230033916
2010-11,1026.3443734967207
2010-12,1058.3140630209848
2011-01,1020.7671768276433
2011-02,973.1152755555678
2011-03,1014.6461106948868
2011-04,1007.0747390350047
2011-05,1023.0144634895512
2011-06,992.6193223761817
2011-07,1008.6764067990621
2011-08,901.8830688631932
2011-09,845.9790693452262
2011-10,910.8484865301249
2011-11,864.0714377314202
2011-12,901.6633030019085
2012-01,988.5543672709263
2012-02,1023.0626506201346
2012-03,995.5907397022596
2012-04,1000.4083769569877
2012-05,969.3127120568244
2012-06,968.1330249534091
2012-07,1017.5901238928129
2012-08,987.3298102367934
2012-09,1037.6501153039555
2012-10,1025.7430635282992
2012-11,1050.2382864197689
2012-12,1072.2300206427365
2013-01,1052.7400414226897
2013-02,1092.4884312527404
2013-03,1086.3771115442994
2013-04,1073.6753926761355
2013-05,1083.3499587624092
2013-06,1016.808402278855
2013-07,1008.4741177985528
2013-08,1003.1413950558006
2013-09,1028.0241667519267
2013-10,1072.894412378976
2013-11,1072.9925405196093
