Date,AC ASIA PACIFIC ex JAPAN
2000-12,100.0
2001-01,111.74354555630296
2001-02,107.67739970168986
2001-03,99.60618404264143
2001-04,102.22611317409631
2001-05,106.84142725151163
2001-06,105.94332541877394
2001-07,98.29372729177479
2001-08,93.75483710663129
2001-09,79.57825013644002
2001-10,85.56231937208534
2001-11,96.18803756212007
2001-12,102.50008191580805
2002-01,109.07474073679155
2002-02,109.2525153794027
2002-03,114.5145605659031
2002-04,111.27842001935092
2002-05,107.57448177463347
2002-06,96.73872806020142
2002-07,92.40617814408095
2002-08,92.12498908178438
2002-09,83.20427912929732
2002-10,87.36011989851882
2002-11,90.66520311099724
2002-12,82.1221357642481
2003-01,81.26285603392213
2003-02,78.42849224359509
2003-03,76.28189768966578
2003-04,78.35763999305851
2003-05,79.17679924444373
2003-06,85.40998168609259
2003-07,91.36338029968373
2003-08,98.91948592093843
2003-09,95.05902481757975
2003-10,103.25447036663417
2003-11,99.32011972856195
2003-12,100.8939385573171
2004-01,106.24861363486612
2004-02,110.23298003837245
2004-03,110.84677809259125
2004-04,107.21323765023139
2004-05,103.2290619368156
2004-06,103.05462849655848
2004-07,102.95916999563238
2004-08,105.72151533025985
2004-09,108.46294882684606
2004-10,108.65134850337309
2004-11,113.07499298597598
2004-12,114.41446712289626
2005-01,120.054607509044
2005-02,124.44811862782606
2005-03,121.42719688656692
2005-04,120.55439728135543
2005-05,128.17611176634097
2005-06,135.6336126197916
2005-07,141.95142763798447
2005-08,137.8537477888963
2005-09,149.04484309307648
2005-10,140.4140956203641
2005-11,151.21825266575664
2005-12,158.41068193284607
2006-01,164.79173965845848
2006-02,167.00281092530494
2006-03,166.79827239524982
2006-04,172.25906007970318
2006-05,157.3098399551528
2006-06,157.83868112506482
2006-07,158.87909680760654
2006-08,163.5985742904165
2006-09,168.50991154376246
2006-10,175.01540324332552
2006-11,179.45264264972207
2006-12,187.59589465513568
2007-01,189.0020045438543
2007-02,187.6037534643437
2007-03,192.2223374200094
2007-04,196.79385446183875
2007-05,208.27655374872836
2007-06,216.34397576256782
2007-07,223.1363042182776
2007-08,220.53936789561692
2007-09,238.77239781314313
2007-10,257.4828228730165
2007-11,232.89188076345891
2007-12,230.8793617552186
2008-01,199.2766757618505
2008-02,204.04319449580987
2008-03,183.79896750040638
2008-04,202.3898080481164
2008-05,199.13637167744557
2008-06,176.09986613437644
2008-07,173.05323746490936
2008-08,172.07378165358216
2008-09,150.06134084070524
2008-10,125.54330382152382
