Date,AC AP ex JP WITH PARTIAL A SHARES
2008-11,1088.062947966804
2008-12,1080.829008330427
2009-01,1084.0467209644053
2009-02,1030.7105115961149
2009-03,1132.3303624600344
2009-04,1306.7045304968708
2009-05,1399.0198913540044
2009-06,1425.985305111987
2009-07,1584.2765197995186
2009-08,1558.5944592599303
2009-09,1677.2260360821006
2009-10,1656.5773985427609
2009-11,1673.698264936549
2009-12,1814.097394059854
2010-01,1754.132689602262
2010-02,1810.3676994445043
2010-03,1963.2442141626627
2010-04,2023.8509753579594
2010-05,1957.7298394460654
2010-06,1974.4129879268626
2010-07,1994.1863475325213
2010-08,2010.2978738291094
2010-09,2093.8543517042704
2010-10,2113.4283743658134
2010-11,2212.1294919753414
2010-12,2291.3400972564405
2011-01,2212.6350739110094
2011-02,2159.403137709006
2011-03,2209.7712353126453
2011-04,2204.6986461684382
2011-05,2223.5912369639077
2011-06,2161.2125413743393
2011-07,2187.0237099581022
2011-08,1997.859473622718
2011-09,1854.226344286125
2011-10,2019.0955607896024
2011-11,1927.457795607933
2011-12,1999.1446639203034
2012-01,2184.6838829513817
2012-02,2249.5979497191543
2012-03,2190.866840680814
2012-04,2216.225450654274
2012-05,2126.0772942855165
2012-06,2152.7591069486602
2012-07,2302.647793109448
2012-08,2241.6303550464263
2012-09,2325.607141568758
2012-10,2319.763252588545
2012-11,2364.606625373172
2012-12,2406.9109746074973
2013-01,2400.651360289471
2013-02,2514.9239109194095
2013-03,2519.0648170193235
2013-04,2515.6824286086135
2013-05,2452.7659445132326
2013-06,2299.4121719509762
2013-07,2297.6472387902004
2013-08,2297.9312134276556
2013-09,2370.4072546724315
2013-10,2469.705713184202
2013-11,2442.056661416697
2013-12,2382.629048966237
2014-01,2311.3461504519614
2014-02,2357.5421889918557
2014-03,2403.062107583705
2014-04,2412.4210235157243
2014-05,2530.056536384696
2014-06,2564.3052832725116
2014-07,2718.205749947306
2014-08,2782.2554173427748
2014-09,2692.85260867392
2014-10,2789.4676427095933
2014-11,2769.684681296468
2014-12,2798.2153516009093
2015-01,3043.7174694713794
2015-02,3159.1192071766964
2015-03,3298.134545230983
2015-04,3358.5572862932518
2015-05,3345.550409904302
2015-06,3158.311056757236
2015-07,3018.6135529209664
2015-08,2671.4333591200475
2015-09,2620.0032447764893
2015-10,2849.1961367331137
2015-11,2905.9720465696105
2015-12,2831.1502650898183
2016-01,2607.4704933041394
2016-02,2573.983363301572
2016-03,2738.6038945261216
2016-04,2722.8724465390474
2016-05,2759.727233747855
2016-06,2823.0343346456048
2016-07,2959.4205131187314
2016-08,3036.3011589475113
2016-09,3061.534133106863
2016-10,3086.9923671345337
2018-03,3624.715990294697
2018-04,3724.885306887454
2018-05,3826.1454175419067
