Date,ACWI ex DENMARK
2015-12,2149.6430494435417
2016-01,2027.7158670339336
2016-02,2005.6434396533398
2016-03,2054.2423068631806
2016-04,2073.911962493229
2016-05,2136.1991194283823
2016-06,2128.1758749491805
2016-07,2205.394443572291
2016-08,2222.7217687466823
2016-09,2216.9785712692883
2016-10,2234.8261987694377
2016-11,2327.996834202781
2016-12,2391.581160948541
2017-01,2397.762523726318
2017-02,2507.4504743993402
2017-03,2521.517893161146
2017-04,2514.3737361493636
2017-05,2488.100679161059
2017-06,2464.1926524462397
2017-07,2450.2124309556007
2017-08,2438.6590482932806
2017-09,2500.21864713918
2017-10,2590.027678191896
2017-11,2580.048404135084
2017-12,2603.0770545957907
2018-01,2651.0901898022357
2018-02,2593.86702572831
2018-03,2517.2265012047246
2018-04,2587.262390225761
2018-05,2681.6709853939965
2018-06,2666.851869222722
2018-07,2741.0203062000382
2018-08,2778.1681957619057
2018-09,2795.6761184080437
2018-10,2651.448315377198
2018-11,2691.8606408352975
2018-12,2477.887043251634
2019-01,2664.116635868703
2019-02,2755.9561951464316
2019-03,2829.7366194296733
2019-04,2931.471027243713
2019-05,2772.917425290714
2019-06,2891.1760625346546
2019-07,2966.237990667492
2019-08,2927.098299323622
2019-09,3019.43821457353
2019-10,3031.146569594386
2019-11,3141.6301655268503
2019-12,3194.420796348147
2020-01,3199.4007994514122
2020-02,2966.7447683506857
2020-03,2567.377134220492
2020-04,2847.8550837021817
2020-05,2925.62995188407
2020-06,2990.2796427024814
2020-07,2989.6813310331736
2020-08,3137.3516765899894
2020-09,3095.5893146073986
2020-10,3040.632095866934
2020-11,3326.46999399048
2020-12,3402.600469683762
2021-01,3412.0065245376068
2021-02,3494.7785210137454
2021-03,3706.046823580175
2021-04,3775.9318703357076
2021-05,3774.98125830784
2021-06,3943.162328846975
2021-07,3969.5751447670546
2021-08,4087.0495268905674
2021-09,3991.3140632699365
2021-10,4200.763665612669
2021-11,4215.958725108015
2021-12,4339.471244952499
2022-01,4187.869709007124
2022-02,4070.6980671650986
2022-03,4197.762628181097
2022-04,4071.589914702281
2022-05,4015.4502445115722
2022-06,3766.863494548237
2022-07,4131.611291384356
2022-08,4036.48149211076
2022-09,3747.207313248514
2022-10,3937.5006863618223
2022-11,4071.6310605310136
2022-12,3770.703023727858
2023-01,3972.570216075122
2023-02,3950.0757452757407
2023-03,3973.2529525519876
2023-04,3965.480973308036
2023-05,4063.495975212442
2023-06,4202.512274821099
2023-07,4311.629663069236
