Date,ACFM EUROPE + CIS (E+C)
2002-05,662.5123167922783
2002-06,604.1137188364853
2002-07,542.8710995865105
2002-08,544.1635071316264
2002-09,469.00734332056123
2002-10,514.7253808398492
2002-11,537.0609562854726
2002-12,490.2154544246351
2003-01,455.8463841063964
2003-02,440.52661042001733
2003-03,428.3379042599974
2003-04,475.5042964531852
2003-05,480.3497604465106
2003-06,496.2438135829543
2003-07,515.0038285859168
2003-08,526.6352382156048
2003-09,506.68039451204845
2003-10,541.044832875193
2003-11,546.6950882314369
2003-12,562.8628795127413
2004-01,577.7949530840634
2004-02,594.4905721387901
2004-03,582.5836238364903
2004-04,591.0029604765917
2004-05,589.3251216070887
2004-06,598.8920136578821
2004-07,588.9567876440343
2004-08,584.7345606142009
2004-09,594.8181609218408
2004-10,602.4467023417396
2004-11,617.3425469960505
2004-12,628.8767521975994
2005-01,643.2369358040875
2005-02,664.036993373111
2005-03,660.5323746265151
2005-04,649.0862853624956
2005-05,680.8626730471296
2005-06,704.7546084551005
2005-07,729.4365855975133
2005-08,731.7674205544375
2005-09,766.013159559445
2005-10,747.3230931257632
2005-11,772.6160069368675
2005-12,798.9292344471962
2006-01,828.2577741257068
2006-02,845.2776940200306
2006-03,862.9482791395444
2006-04,872.377193812704
2006-05,830.6653514874083
2006-06,837.5769551257689
2006-07,854.5816886307076
2006-08,878.5159381556708
2006-09,892.1421721677527
2006-10,923.4947650971147
2006-11,921.3445841654669
2006-12,955.1823218151303
2007-01,973.104491512581
2007-02,953.9171592525566
2007-03,980.4117327499204
2007-04,1016.2096197738176
2007-05,1046.991474594737
2007-06,1046.5230468293396
2007-07,1013.8843506253139
2007-08,1004.7313207784705
2007-09,1013.1340140067506
2007-10,1045.2150190724972
2007-11,1000.0000000000017
2007-12,988.7085973048502
2008-01,871.0388725382935
2008-02,865.2982734485723
2008-03,830.9830533572781
2008-04,883.4558738770515
2008-05,894.9167180821116
2008-06,806.6596977017197
2008-07,789.0217018343387
2008-08,798.6808127590596
2008-09,708.3817525383492
2008-10,612.656282422786
2008-11,568.2189966702997
2008-12,544.3886529801297
2009-01,524.4644951804987
2009-02,476.0010777191596
2009-03,488.57045115685094
2009-04,559.4768399237029
2009-05,590.0555268365323
2009-06,582.1097931297418
2009-07,636.9527379242869
2009-08,668.351447842165
2009-09,688.0431062955839
2009-10,675.0121069487558
2009-11,682.3172723858479
2009-12,725.5039215075999
2010-01,707.4248819414469
2010-02,704.6555466901316
2010-03,758.3044308381392
2010-04,752.0548046320923
2010-05,715.583059110667
2010-06,710.1927184317824
2010-07,746.0027050296982
