Date,ACWI FM ex JAPAN
2002-05,803.0681146599763
2002-06,712.1943475940305
2002-07,657.3460013050405
2002-08,660.6635448950597
2002-09,581.4452393110869
2002-10,630.4596967130894
2002-11,661.2167669117972
2002-12,595.9817422128986
2003-01,565.4841869045965
2003-02,552.3264832121306
2003-03,545.860681273505
2003-04,583.9871863792591
2003-05,586.4553859046512
2003-06,609.016330618898
2003-07,632.8824976185717
2003-08,659.0592982627978
2003-09,621.5398030815431
2003-10,660.5044077566865
2003-11,652.7430099440509
2003-12,658.1308220762184
2004-01,679.891559735919
2004-02,693.8193954304179
2004-03,688.5330446254075
2004-04,691.5110895856011
2004-05,687.583560839663
2004-06,700.9958499621614
2004-07,687.9308538781519
2004-08,685.495724517715
2004-09,687.4487815881441
2004-10,687.3239302477153
2004-11,692.9400112534946
2004-12,702.8695475605676
2005-01,717.1347518074327
2005-02,729.5360953378311
2005-03,729.0786935679546
2005-04,718.7161186388146
2005-05,767.9275407264514
2005-06,792.6081054914582
2005-07,821.0862497764443
2005-08,812.5395061662593
2005-09,847.2603643160838
2005-10,830.0132159156823
2005-11,872.3044186507
2005-12,886.6862008246691
2006-01,902.6663872156403
2006-02,918.2621336854604
2006-03,922.4746473953114
2006-04,915.3200396525326
2006-05,866.0760858033308
2006-06,871.5442788803797
2006-07,881.592343723945
2006-08,902.8468092175208
2006-09,925.7350368722473
2006-10,954.5048471741223
2006-11,945.9998330708714
2006-12,972.2327229029055
2007-01,996.0636444748343
2007-02,969.3895336653919
2007-03,984.4579957157242
2007-04,1009.3107473566915
2007-05,1055.8841564419624
2007-06,1049.0973858203665
2007-07,1018.2565297171266
2007-08,1022.3819343110015
2007-09,1035.9302969044086
2007-10,1062.3018764675146
2007-11,1000.0
2007-12,995.7497555574616
2008-01,899.6121198015767
2008-02,879.913594155228
2008-03,831.9913366840256
2008-04,892.73565401253
2008-05,908.3480797686328
2008-06,821.5667103465162
2008-07,808.7318120193988
2008-08,839.7640691258497
2008-09,769.0231892941243
2008-10,678.5798662143673
2008-11,629.5379885909189
2008-12,592.1086318438289
2009-01,585.727128218518
2009-02,535.0738721967364
2009-03,557.6669937673117
2009-04,626.0320575915107
2009-05,644.4916033561542
2009-06,645.2584614972989
2009-07,697.4760435282653
2009-08,713.5309592972822
2009-09,737.2324656028052
2009-10,719.6914869583679
2009-11,739.4969375321213
2009-12,790.6644843997802
2010-01,776.317231676808
2010-02,801.0451261161855
2010-03,861.0924605567942
2010-04,878.0177846170542
2010-05,859.9594320573257
2010-06,834.1081806057535
2010-07,851.536029066878
2010-08,841.5081961223085
2010-09,862.0801538251295
2010-10,878.6016389976298
2010-11,913.6262768814124
2010-12,951.0741012358407
2011-01,946.4455371427688
2011-02,964.9302615888039
2011-03,946.3930108997706
2011-04,945.1738930660732
2011-05,953.970363228643
2011-06,928.6800554073315
2011-07,917.5968160058936
2011-08,849.6789991550065
