Date,EMERGING MARKETS WITH PARTIAL A SHARES
2008-11,1077.7521435025797
2008-12,1060.153094594877
2009-01,1076.2968845288162
2009-02,1025.240389821413
2009-03,1121.5176676183835
2009-04,1309.9671119025004
2009-05,1435.0843987474223
2009-06,1430.1406227551984
2009-07,1574.5088036262373
2009-08,1547.4518843331377
2009-09,1657.067265746625
2009-10,1644.4016951743915
2009-11,1685.7616353013855
2009-12,1833.5193459312761
2010-01,1786.7169334118485
2010-02,1826.8663080953513
2010-03,1991.0592418654091
2010-04,2050.266993338016
2010-05,2025.7427842929765
2010-06,2014.2828924166863
2010-07,2052.1035175778643
2010-08,2062.7020400230645
2010-09,2132.9661376211625
2010-10,2157.047387307686
2010-11,2242.6763953476816
2010-12,2330.50686616782
2011-01,2218.713975953318
2011-02,2182.01558417589
2011-03,2247.8327169721506
2011-04,2216.8238840753907
2011-05,2228.1875597462395
2011-06,2175.798417045849
2011-07,2185.5456848925023
2011-08,1986.8517766370476
2011-09,1821.8799955496008
2011-10,1983.8093184885595
2011-11,1918.7332894139306
2011-12,1965.6334557354098
2012-01,2169.390356814903
2012-02,2249.9398929213653
2012-03,2184.3873407357123
2012-04,2172.2554186962357
2012-05,2065.4779339803295
2012-06,2089.266169588238
2012-07,2194.181889161467
2012-08,2136.020670911032
2012-09,2219.0492270001523
2012-10,2189.9148197918075
2012-11,2208.980639798335
2012-12,2287.7372991966545
2013-01,2253.669732326664
2013-02,2310.574076144753
2013-03,2311.078127352142
2013-04,2267.905013899662
2013-05,2250.1124468379044
2013-06,2099.0054723109265
2013-07,2076.373704970871
2013-08,2056.6338941879367
2013-09,2132.9796395517183
2013-10,2226.1875107319756
2013-11,2191.955288265592
2013-12,2134.7288515089963
2014-01,2040.5007370986475
2014-02,2057.120324983352
2014-03,2122.9918119994227
2014-04,2116.6021506296424
2014-05,2225.439582041118
2014-06,2277.1983966842363
2014-07,2377.249600392132
2014-08,2468.9981927943927
2014-09,2385.812717631251
2014-10,2434.3673077950248
2014-11,2423.054323770851
2014-12,2387.319364790994
2015-01,2574.166166114291
2015-02,2669.5935764315464
2015-03,2756.096115073787
2015-04,2855.1905861223004
2015-05,2806.143514261632
2015-06,2684.51360265113
2015-07,2515.0370666138047
2015-08,2252.541030014667
2015-09,2193.491231507414
2015-10,2376.6315551595158
2015-11,2390.1361092744773
2015-12,2272.7198380309587
2016-01,2121.1355507433495
2016-02,2108.7235934490304
2016-03,2275.7857901398042
2016-04,2275.934570085995
2016-05,2258.2950898743125
2016-06,2351.573908186189
2016-07,2452.6651789958933
2016-08,2526.4322787291553
2016-09,2535.1449276884277
2016-10,2604.617656699132
2018-03,3091.107640249851
2018-04,3132.1913571305345
2018-05,3131.432194874107
