Date,ACWI ex FINLAND
2015-12,2158.013344746835
2016-01,2035.6823580598495
2016-02,2013.7158206008398
2016-03,2062.497200610912
2016-04,2082.5050935279755
2016-05,2145.2739689820796
2016-06,2136.734520285008
2016-07,2214.2091828320727
2016-08,2230.759721782075
2016-09,2224.147716865294
2016-10,2241.824592460682
2016-11,2334.5130708526794
2016-12,2398.379496624629
2017-01,2405.0438101791374
2017-02,2514.579599397839
2017-03,2528.5537048802935
2017-04,2521.847939613006
2017-05,2495.6353604985416
2017-06,2471.795997067359
2017-07,2458.0556353659863
2017-08,2446.9582805045507
2017-09,2508.444705080416
2017-10,2598.8282576626375
2017-11,2588.4027308097957
2017-12,2611.780011035172
2018-01,2659.477365864623
2018-02,2601.7256858325263
2018-03,2524.8483170309883
2018-04,2594.3502706971467
2018-05,2688.7828982288083
2018-06,2673.6922427027594
2018-07,2748.599115130551
2018-08,2785.6282402025186
2018-09,2802.6626653396725
2018-10,2657.9218032172566
2018-11,2699.25235862015
2018-12,2484.6986086180204
2019-01,2670.8136063248176
2019-02,2763.444916290309
2019-03,2837.944268394671
2019-04,2939.741393599019
2019-05,2780.998653169753
2019-06,2899.5538604714498
2019-07,2974.4981555803224
2019-08,2936.0625117199656
2019-09,3028.187963925671
2019-10,3040.3462155351945
2019-11,3151.8019175956583
2019-12,3204.81755168134
2020-01,3210.1123140900954
2020-02,2976.9831208761066
2020-03,2577.886197414098
2020-04,2859.220170414572
2020-05,2937.465972216996
2020-06,3002.3435998107357
2020-07,3002.322609236251
2020-08,3150.0624759375396
2020-09,3109.1087653176683
2020-10,3054.3047792359157
2020-11,3340.5582630273525
2020-12,3417.7158817818017
2021-01,3426.1579730502804
2021-02,3509.0466786344837
2021-03,3721.2671499877138
2021-04,3791.794604119051
2021-05,3791.20895936189
2021-06,3960.343639912497
2021-07,3987.4032923775076
2021-08,4105.970482191479
2021-09,4009.93164439051
2021-10,4221.228111221608
2021-11,4235.700818001123
2021-12,4359.86520823606
2022-01,4205.811726664958
2022-02,4089.609462505937
2022-03,4217.924294598951
2022-04,4092.155171263954
2022-05,4034.5389100075818
2022-06,3785.5371920529187
2022-07,4152.693573397637
2022-08,4055.738197567884
2022-09,3764.336757687023
2022-10,3956.5344322018295
2022-11,4092.0938090887
2022-12,3792.150886561087
2023-01,3994.138141540035
2023-02,3973.0620311086327
2023-03,3998.0384007009507
2023-04,3991.1518437465643
2023-05,4089.568054780947
2023-06,4228.723987027389
2023-07,4337.938108214643
