Date,ACWI ex ISRAEL
2015-12,2156.50972341229
2016-01,2034.5013358247018
2016-02,2012.2234388671923
2016-03,2061.1989071362395
2016-04,2080.9827918420447
2016-05,2143.9414820560414
2016-06,2135.4143240072804
2016-07,2212.823074728009
2016-08,2229.4573303252714
2016-09,2223.3089189709453
2016-10,2240.881078647268
2016-11,2333.537859122655
2016-12,2397.7486516696617
2017-01,2404.2582824523242
2017-02,2513.7316004811705
2017-03,2527.9907968168054
2017-04,2521.704540580931
2017-05,2496.0553938762996
2017-06,2471.804850196475
2017-07,2458.2742548310507
2017-08,2447.918273545655
2017-09,2509.273331339628
2017-10,2599.5097909451165
2017-11,2589.066927605132
2017-12,2612.033251586986
2018-01,2659.882007064691
2018-02,2602.6903880110845
2018-03,2525.982402749722
2018-04,2595.802908039697
2018-05,2689.823093546395
2018-06,2674.5551776323837
2018-07,2749.276531667964
2018-08,2786.3681217184353
2018-09,2803.4326289710466
2018-10,2658.391954024827
2018-11,2699.0495809149584
2018-12,2485.2904913960037
2019-01,2671.306905744498
2019-02,2763.9934120208645
2019-03,2838.3669216999615
2019-04,2939.85420851617
2019-05,2781.429078645842
2019-06,2900.0454894819295
2019-07,2974.8190309997162
2019-08,2936.4939865703827
2019-09,3028.7378233048826
2019-10,3040.591904535416
2019-11,3151.5427041555654
2019-12,3204.972232673874
2020-01,3210.1575947186093
2020-02,2976.9832900038514
2020-03,2578.042621035562
2020-04,2859.305815399001
2020-05,2937.7031036999015
2020-06,3002.5986982558247
2020-07,3002.6648544165196
2020-08,3150.877696042963
2020-09,3110.1712047503925
2020-10,3054.7712770457365
2020-11,3341.508707695861
2020-12,3418.2799555871916
2021-01,3426.8412015131
2021-02,3509.5390285895096
2021-03,3721.5751629547417
2021-04,3792.2210406023505
2021-05,3792.0996325101987
2021-06,3961.1377714536798
2021-07,3988.5081022069185
2021-08,4106.985145703542
2021-09,4010.272349049061
2021-10,4221.160996809206
2021-11,4235.35714264338
2021-12,4359.810436672342
2022-01,4205.883776274898
2022-02,4088.9237398919695
2022-03,4217.251909377368
2022-04,4091.8959124005214
2022-05,4034.736501793964
2022-06,3785.7827815818587
2022-07,4152.6918371774755
2022-08,4055.220055601282
2022-09,3764.175270521695
2022-10,3955.9962430968026
2022-11,4092.654523569606
2022-12,3793.1897222891403
2023-01,3994.898137567321
2023-02,3974.005356482423
2023-03,3998.821737700098
2023-04,3992.0372156591957
2023-05,4089.8767868555497
2023-06,4228.821413684111
2023-07,4337.426558441452
