Date,EM EASTERN EUROPE ex RUSSIA
2000-12,1000.0
2001-01,1035.2473912688515
2001-02,906.5590053001722
2001-03,860.0972114336246
2001-04,890.2510895974959
2001-05,957.5309447372983
2001-06,878.9270218131586
2001-07,789.7229733862464
2001-08,732.93776668576
2001-09,680.780115715621
2001-10,815.4471784980807
2001-11,855.6925184290959
2001-12,879.4928491891302
2002-01,1002.0151827545684
2002-02,947.1436179040589
2002-03,963.9501737130358
2002-04,1007.16287335224
2002-05,981.6824178278155
2002-06,837.6136262586443
2002-07,796.2748154585698
2002-08,853.6037046485785
2002-09,802.1863035149411
2002-10,868.1307657216781
2002-11,926.1341962369861
2002-12,888.5572457061182
2003-01,841.6995886949302
2003-02,821.9958402890971
2003-03,807.3910809354867
2003-04,882.7433820482329
2003-05,908.5894598714782
2003-06,862.0796741438825
2003-07,948.5510116841248
2003-08,1082.9736311416743
2003-09,994.4494898958345
2003-10,1039.4208406507557
2003-11,972.8822954528151
2003-12,1027.5422441929404
2004-01,1067.8885103404377
2004-02,1142.1713794569307
2004-03,1224.5725131983277
2004-04,1219.8930283131601
2004-05,1223.377800684692
2004-06,1263.1248142586787
2004-07,1277.939408964176
2004-08,1312.5359474820702
2004-09,1394.0601320764647
2004-10,1463.4162384190781
2004-11,1574.9164527727687
2004-12,1687.7568326213018
2005-01,1733.1867517233657
2005-02,2036.9394314747624
2005-03,1873.518662837178
2005-04,1732.883610387881
2005-05,1811.7368760459294
2005-06,2005.682200713066
2005-07,2178.8977754332795
2005-08,2312.2124664033713
2005-09,2539.8557560989225
2005-10,2293.403613607126
2005-11,2388.3218065459714
2005-12,2455.3944166012984
2006-01,2602.058913739615
2006-02,2667.2687295085375
2006-03,2580.0027469037573
2006-04,2744.835782239229
2006-05,2406.0910851874096
2006-06,2387.8238254761254
2006-07,2661.876916299622
2006-08,2522.7920182073926
2006-09,2503.264416027426
2006-10,2711.362012785157
2006-11,2849.8157537878974
2006-12,2991.4069519965005
2007-01,3027.9792657883363
2007-02,2868.359526565784
2007-03,3109.6577438957324
2007-04,3285.4548918255655
2007-05,3385.784389121346
2007-06,3592.725277142129
2007-07,3561.2062054276194
2007-08,3394.154527307613
2007-09,3507.7421460403034
2007-10,3746.7435984498543
2007-11,3490.631630249811
2007-12,3496.5690160179042
2008-01,3011.636830473415
2008-02,3066.937396639796
2008-03,3051.9491139203064
2008-04,3110.408178795252
2008-05,3280.1073817583124
2008-06,3045.5186634987667
2008-07,3309.3782768580786
2008-08,3095.9415583961977
2008-09,2755.0725386600416
2008-10,1987.5571330875284
2008-11,1790.6291436263373
2008-12,1703.3006645195844
2009-01,1421.7106462094964
2009-02,1181.1484773132493
2009-03,1310.4473787764887
2009-04,1628.17293761284
2009-05,1672.6401592334894
2009-06,1754.6593249519321
2009-07,2140.3983830659517
2009-08,2256.241042835107
2009-09,2239.7178823046106
2009-10,2282.220910328756
2009-11,2377.3266572449993
2009-12,2421.303536965751
2010-01,2497.289405071159
2010-02,2417.9268708682553
2010-03,2708.2471462377057
2010-04,2754.1511758143934
2010-05,2493.9657246302686
2010-06,2315.311313934275
2010-07,2556.0635660282137
2010-08,2520.775949733344
2010-09,2711.798778525616
2010-10,2768.8038717535037
2010-11,2609.8716526807425
2010-12,2776.908578527585
2011-01,2828.8275366365488
2011-02,2833.499561948937
2011-03,2896.1866775519998
2011-04,3070.6148613899077
2011-05,3030.0980419846037
2011-06,2941.604962710931
2011-07,2859.6695874704787
2011-08,2500.2994331233676
2011-09,2120.1870017778224
2011-10,2290.4189261508086
2011-11,2170.460111859434
2011-12,2084.820449055563
2012-01,2360.5226037734683
2012-02,2425.848885879307
2012-03,2374.254220044572
2012-04,2323.0735973620244
2012-05,2060.168033658812
2012-06,2320.675345673813
2012-07,2352.9557622499397
2012-08,2440.561164386506
2012-09,2554.0581412696465
2012-10,2512.924044159652
2012-11,2557.2881785689733
2012-12,2689.4436185365234
2013-01,2560.371516568952
2013-02,2550.2338593484133
2013-03,2448.29167974333
2013-04,2422.3741600488956
2013-05,2532.0655929089457
2013-06,2338.770556420925
2013-07,2443.6114822018158
2013-08,2494.835885864348
2013-09,2563.466312836002
2013-10,2732.2096612806477
2013-11,2724.5257181900456
2013-12,2581.354092410619
2014-01,2497.9810019806123
2014-02,2671.084336072677
2014-03,2645.0459672034335
2014-04,2624.791690854881
2014-05,2698.1404317698866
2014-06,2656.2377018002426
2014-07,2548.5706992003816
2014-08,2638.742656570505
2014-09,2793.9042375420136
