Date,ACWI ex TAIWAN
2015-12,159.12717462850298
2016-01,150.09017238922527
2016-02,148.3538777230625
2016-03,151.91825278205832
2016-04,153.5117034729976
2016-05,158.10663362639116
2016-06,157.3738342483616
2016-07,163.03784308500025
2016-08,164.2149691849497
2016-09,163.69578382952852
2016-10,164.89833697807998
2016-11,171.76918675379025
2016-12,176.56578375964565
2017-01,176.9883872618326
2017-02,185.0080047061757
2017-03,186.04123043553864
2017-04,185.5622197129317
2017-05,183.65887419304778
2017-06,181.80694586570365
2017-07,180.7936902722093
2017-08,179.9463007421358
2017-09,184.59841905335546
2017-10,191.11411596895672
2017-11,190.47512141265673
2017-12,192.1949189537847
2018-01,195.6627394594322
2018-02,191.42398058806288
2018-03,185.68116688047317
2018-04,190.9652997555783
2018-05,197.91088160264567
2018-06,196.82826485098175
2018-07,202.2747212772444
2018-08,205.00468844854424
2018-09,206.25523796021335
2018-10,195.71492009676166
2018-11,198.7743518723143
2018-12,182.86907445421932
2019-01,196.72291982908948
2019-02,203.48366797081306
2019-03,208.9228578841703
2019-04,216.3749537178604
2019-05,204.75532210394974
2019-06,213.51428816492148
2019-07,218.94269012230265
2019-08,216.10317105497504
2019-09,222.82625355009353
2019-10,223.5453016276538
2019-11,231.74182608169713
2019-12,235.52547600979327
2020-01,236.0538752863062
2020-02,218.7075277761898
2020-03,189.38662116604158
2020-04,209.9511325376022
2020-05,215.94410343265437
2020-06,220.51928449400037
2020-07,220.18225416811805
2020-08,231.31530739152328
2020-09,228.11485541499107
2020-10,223.92196705878237
2020-11,245.01535318167691
2020-12,250.43134613818168
2021-01,250.7631839063412
2021-02,256.6980360610572
2021-03,272.34504646513864
2021-04,277.36016284456923
2021-05,277.47586028462644
2021-06,289.8809089143486
2021-07,292.05649312537525
2021-08,300.6213900420025
2021-09,293.54956233438327
2021-10,309.2219945058722
2021-11,310.0096173389807
2021-12,319.0423899695698
2022-01,307.58306639707814
2022-02,299.0501243397118
2022-03,308.67550533667037
2022-04,299.60697404427583
2022-05,295.2087727016598
2022-06,277.3182231773184
2022-07,304.3891941591703
2022-08,297.1736973845872
2022-09,276.15139144832375
2022-10,290.715835775127
2022-11,300.13542720201264
2022-12,278.23743073142873
2023-01,292.7816093146137
2023-02,291.1557105794601
2023-03,292.96769303683146
2023-04,292.73212771427364
2023-05,299.48313007583226
2023-06,309.8502383997583
2023-07,317.97504652445195
