Date,JORDAN + EGYPT + MOROCCO
2005-05,745.0234211092529
2005-06,834.9636551327055
2005-07,851.4566950059482
2005-08,858.7151880220027
2005-09,944.8661523065566
2005-10,960.0822055601042
2005-11,1000.0
2005-12,1044.3847356212125
2006-01,1224.9687696328472
2006-02,1157.5427250383718
2006-03,1107.9734621963596
2006-04,1090.609211491605
2006-05,932.9305631344818
2006-06,860.0317014025203
2006-07,940.8860716042981
2006-08,1026.710093206827
2006-09,1058.6327934543126
2006-10,1069.3209947976536
2006-11,1027.6386945040188
2006-12,1089.461391074431
2007-01,1117.0751498806587
2007-02,1167.827508402374
2007-03,1174.910119137249
2007-04,1194.4599408947065
2007-05,1245.0803337585967
2007-06,1230.3082611710438
2007-07,1263.180203731482
2007-08,1226.2288534306622
2007-09,1293.774883330181
2007-10,1369.6440810306167
2007-11,1380.9505337133915
2007-12,1487.45803788314
2008-01,1489.5555729074779
2008-02,1585.0794922049893
2008-03,1553.7805151369353
2008-04,1623.8101729956138
2008-05,1571.9862626814584
2008-06,1467.5856026262181
2008-07,1432.673666676713
2008-08,1400.3900985255134
2008-09,1240.279487407575
2008-10,1044.4587402022378
2008-11,920.3080690512919
2008-12,927.1942878019648
2009-01,859.8592200753228
2009-02,870.4155473465919
2009-03,875.9864717308457
2009-04,1002.0031518628998
2009-05,1016.5755724220281
2009-06,1041.923953602811
2009-07,1059.3645529996675
2009-08,1105.8768444490959
2009-09,1093.0701101898019
2009-10,1109.930766984497
2009-11,964.3451703429271
2009-12,1051.1279215125894
2010-01,1147.0741754225803
2010-02,1170.7129347031976
2010-03,1213.106296870527
2010-04,1326.5529825417427
2010-05,1281.8337456935951
2010-06,1202.0883740694337
2010-07,1186.0058557978132
2010-08,1211.2773515461524
2010-09,1177.4587253162445
2010-10,1162.353459170777
2010-11,1214.428591906559
2010-12,1253.1171602049073
2011-01,1051.81960161889
2011-02,1049.7946240439912
2011-03,997.0097147876951
2011-04,910.6345498633391
2011-05,1011.6866782134094
2011-06,962.7209262673205
2011-07,920.7684177775425
2011-08,888.195195680787
2011-09,868.5084078144936
2011-10,889.1188016357665
2011-11,840.989501961668
2011-12,803.8882909454228
2012-01,945.3789733965622
2012-02,1024.1404426171732
2012-03,992.7667220276278
2012-04,978.0391524462315
2012-05,994.7865338297053
2012-06,967.3500675105121
2012-07,1017.7843032989229
2012-08,1072.5002349625647
2012-09,1106.3829704549357
2012-10,1073.4177646267633
2012-11,956.3920930059409
2012-12,992.8590020726009
2013-01,953.7048360740544
2013-02,964.2019923366779
2013-03,932.4315367626348
2013-04,912.8918794535821
2013-05,944.9113108464779
2013-06,845.9873710086388
2013-07,888.8858058808266
2013-08,848.3877675705654
2013-09,882.0796059771443
2013-10,965.5382865948133
2013-11,946.9183751236759
2013-12,973.336489174664
2014-01,1028.5386168374464
2014-02,1056.81531900199
2014-03,1048.6444470031283
2014-04,1087.0173544265
2014-05,1086.7209330055452
2014-06,1051.9146759869225
2014-07,1145.1302778462057
2014-08,1213.4965646539067
2014-09,1325.9778783022648
2014-10,1285.4345718520638
2014-11,1276.3750253320193
2014-12,1267.1236101936934
2015-01,1390.858228369692
2015-02,1372.6548636504074
2015-03,1411.4329614981937
2015-04,1325.4911707732892
2015-05,1344.2712859146259
2015-06,1293.3015105788586
2015-07,1296.306847455985
2015-08,1186.0381478431107
2015-09,1187.3977124993824
2015-10,1175.0550485823983
2015-11,1123.098561472638
2015-12,1153.7170997736484
2016-01,1058.1299495826643
2016-02,1085.713885538403
2016-03,1108.5445351514422
2016-04,1221.7191356767275
2016-05,1203.3131023139251
2016-06,1158.6306393013695
2016-07,1292.956288122633
2016-08,1301.0313527963049
2016-09,1298.2426774142787
2016-10,1409.558508629092
2016-11,1218.7514005449075
2016-12,1315.366787373573
2017-01,1316.5041771057154
2017-02,1367.1224367783666
2017-03,1286.7971675530432
2017-04,1272.6202762977844
2017-05,1284.9094453356083
2017-06,1294.0913883676126
2017-07,1278.9647229144018
2017-08,1290.500331364572
2017-09,1264.7747150136186
2017-10,1281.6623337481976
2017-11,1266.434046571395
2017-12,1256.247052991913
2018-01,1264.6259797940538
2018-02,1287.015873169341
2018-03,1332.2832563520242
2018-04,1366.4146983721798
2018-05,1287.52931931571
2018-06,1283.3610069576239
2018-07,1260.8417055546117
2018-08,1267.750649126651
2018-09,1227.517164231033
2018-10,1189.6907132263739
2018-11,1198.991863116877
2018-12,1193.083501396545
2019-01,1241.620162030907
2019-02,1254.4490598397572
2019-03,1248.200019999271
2019-04,1322.2052099748269
2019-05,1296.215743450807
2019-06,1322.2873002367508
2019-07,1369.0330345707641
2019-08,1440.2507978362767
2019-09,1430.4754179333602
2019-10,1426.2001050015876
2019-11,1442.9434818822838
2019-12,1477.591696625018
2020-01,1534.5589303338493
2020-02,1504.9952081808267
2020-03,1122.7126706112304
2020-04,1175.8721902776056
2020-05,1166.8211301795413
2020-06,1180.898385374985
2020-07,1142.2147727806255
2020-08,1185.6019950119394
2020-09,1184.5653829819971
2020-10,1193.519761149728
2020-11,1199.4134834272136
2020-12,1198.6883141640574
2021-01,1259.3920660769816
2021-02,1232.4917612246356
2021-03,1222.0816686863238
2021-04,1222.8047177885371
2021-05,1218.3933981589873
2021-06,1247.8805172589355
2021-07,1271.6990451845152
2021-08,1324.9968642113279
2021-09,1342.4314037142221
2021-10,1428.5793432498472
2021-11,1412.28251699973
2021-12,1431.581599117476
2022-01,1436.4879671915278
2022-02,1336.1666318138948
2022-03,1264.7316433519484
2022-04,1323.1055602486615
2022-05,1226.1881484145354
2022-06,1183.0957888979121
2022-07,1204.0223051644941
2022-08,1218.006083977
2022-09,1172.2685245354253
2022-10,1110.3045860763007
2022-11,1173.690252290822
2022-12,1146.9581256129902
2023-01,1116.946920686686
2023-02,1185.615931126329
2023-03,1106.84788091034
2023-04,1119.7019967098306
2023-05,1186.532588617574
2023-06,1212.3694554315148
2023-07,1246.785560216836
