Date,EUROPE VOTING RIGHTS-ADJUSTED
2021-05,1294.7323787553557
2021-06,1313.7583597444143
2021-07,1336.3926428939237
2021-08,1362.6393981984074
2021-09,1323.6114414418237
2021-10,1383.76211008768
2021-11,1346.8334248710462
2021-12,1420.9476648677603
2022-01,1379.4844556287662
2022-02,1338.0592136688795
2022-03,1347.0176819153323
2022-04,1338.7999170858418
2022-05,1332.4682088655734
2022-06,1225.6191058578652
2022-07,1318.8718103962765
2022-08,1253.700351898177
2022-09,1172.8674775695915
2022-10,1248.7017727695727
2022-11,1336.9810736771217
2022-12,1288.9093489984557
2023-01,1379.8452266641525
2023-02,1405.156729593024
2023-03,1401.7135737170759
2023-04,1436.0906032104951
2023-05,1398.4529991623028
2023-06,1434.8035085553188
2023-07,1465.2286384085342
