Date,ACWI ex POLAND
2015-12,2342.0262858042556
2016-01,2210.005148948107
2016-02,2186.803518028326
2016-03,2240.7843198946402
2016-04,2263.9580888088926
2016-05,2334.3996824138612
2016-06,2326.3569219577844
2016-07,2411.5043297879506
2016-08,2430.5290646999924
2016-09,2424.6628358516305
2016-10,2443.968926246089
2016-11,2546.2153277845646
2016-12,2616.9855064408966
2017-01,2624.295352456437
2017-02,2744.979099218352
2017-03,2762.3181995936025
2017-04,2756.2870101550434
2017-05,2730.5330037591166
2017-06,2705.4129702039445
2017-07,2691.1273660695465
2017-08,2679.995363715985
2017-09,2748.51269397467
2017-10,2847.721819133746
2017-11,2837.5457911088447
2017-12,2863.866670321104
2018-01,2916.7087246883953
2018-02,2855.4414493353265
2018-03,2773.0217389528902
2018-04,2851.2480034665505
2018-05,2957.8629235115627
2018-06,2942.459841033577
2018-07,3025.3603823167273
2018-08,3067.660826770304
2018-09,3087.6396703463142
2018-10,2928.7778790281736
2018-11,2974.8636566656346
2018-12,2739.863044641068
2019-01,2946.0707176022497
2019-02,3049.7354981224357
2019-03,3133.747768454388
2019-04,3247.5246123605857
2019-05,3074.941953875663
2019-06,3207.349029546714
2019-07,3291.4548097780457
2019-08,3250.6091907929235
2019-09,3354.1980762207154
2019-10,3368.1144765938297
2019-11,3492.9048876817787
2019-12,3553.263424747913
2020-01,3560.449864067374
2020-02,3303.5975568585395
2020-03,2862.9336027160825
2020-04,3176.759234492548
2020-05,3265.89912615224
2020-06,3339.2800685389307
2020-07,3340.6565141843644
2020-08,3506.559876647761
2020-09,3462.478798176525
2020-10,3402.179933748831
2020-11,3722.1988659289573
2020-12,3809.179632090107
2021-01,3819.817583250083
2021-02,3913.1475419417375
2021-03,4151.638130992986
2021-04,4232.078091432016
2021-05,4233.481442785032
2021-06,4423.879498850275
2021-07,4455.985740942438
2021-08,4589.488546960053
2021-09,4483.564725555537
2021-10,4720.530462893734
2021-11,4738.277801966165
2021-12,4878.967585769048
2022-01,4707.2445848621055
2022-02,4578.474922526502
2022-03,4724.59753433973
2022-04,4586.472570877033
2022-05,4525.080064945134
2022-06,4247.949967603164
2022-07,4661.339491617021
2022-08,4554.830231097419
2022-09,4229.762634879213
2022-10,4446.364428976895
2022-11,4600.715250965907
2022-12,4265.365788863582
2023-01,4493.042506957082
2023-02,4471.092594971428
2023-03,4502.101551702297
2023-04,4495.912645279527
2023-05,4609.314173699691
2023-06,4767.311589149928
2023-07,4891.253401915222
