Date,EM (EMERGING MARKETS)+CHINA A ONSHORE
2004-12,1018.2477388629438
2005-01,1061.9419879235982
2005-02,1134.4521025657605
2005-03,1080.4272049484298
2005-04,1059.8139178103881
2005-05,1139.5117272745485
2005-06,1201.6530085060617
2005-07,1280.4039505464439
2005-08,1278.6585982497145
2005-09,1419.3743540770465
2005-10,1336.475694511227
2005-11,1464.8936723424567
2005-12,1551.2359808900924
2006-01,1674.808243172953
2006-02,1707.5260088837158
2006-03,1697.6151167195524
2006-04,1750.1677047264009
2006-05,1558.0293595843375
2006-06,1565.035625031602
2006-07,1583.9328176216488
2006-08,1620.967002471885
2006-09,1656.0108143889138
2006-10,1722.0000725425439
2006-11,1791.4328788934656
2006-12,1899.4538184769258
2007-01,1932.4989268965248
2007-02,1903.500831316391
2007-03,1974.7212187280502
2007-04,2063.494367688085
2007-05,2212.21048117022
2007-06,2283.7155412650245
2007-07,2411.77928642728
2007-08,2434.003931241996
2007-09,2569.897626621403
2007-10,2770.0811815296274
2007-11,2500.775265721954
2007-12,2569.506887383617
2008-01,2230.2407628096494
2008-02,2320.5926021280156
2008-03,2062.0388645673434
2008-04,2256.7707588134745
2008-05,2274.4945467105795
2008-06,1989.1255318313706
2008-07,1948.1730389947452
2008-08,1880.6342732255248
2008-09,1652.4251662816673
2008-10,1335.19033351231
2008-11,1268.651099908905
2008-12,1233.6481805819176
2009-01,1288.3547797535502
2009-02,1253.4172290876943
2009-03,1376.9067612217125
2009-04,1577.6565504924542
2009-05,1697.4733999614284
2009-06,1736.0756645566946
2009-07,1931.8263999816143
2009-08,1814.5417818955564
2009-09,1933.8835578665003
2009-10,1947.8541459822247
2009-11,2008.2442088308972
2009-12,2173.631625316375
2010-01,2101.8800091887533
2010-02,2158.5355508499647
2010-03,2326.223331360454
2010-04,2356.1775002525565
2010-05,2326.3468708422974
2010-06,2284.2064850018724
2010-07,2345.2825754404435
2010-08,2379.331521342057
2010-09,2426.4979808011167
2010-10,2501.4813433208287
2010-11,2587.9960009724664
2010-12,2654.9850171481444
2011-01,2525.599931319828
2011-02,2521.214426556265
2011-03,2565.7221282984465
2011-04,2513.457548439045
2011-05,2509.594873614165
2011-06,2471.440330469736
2011-07,2481.393507048063
2011-08,2281.190078736974
2011-09,2112.378867877356
2011-10,2264.798871723037
2011-11,2191.719434989614
2011-12,2219.9525884152745
2012-01,2420.5116046437543
2012-02,2519.5767581243817
2012-03,2430.0413074174157
2012-04,2449.921458073488
2012-05,2385.861977913838
2012-06,2371.33896111779
2012-07,2456.962360847986
2012-08,2375.2485821697323
2012-09,2463.3972755126742
2012-10,2430.388916440289
2012-11,2422.526128803771
2012-12,2555.1875974240115
2013-01,2539.2783395568326
2013-02,2609.8113540243785
2013-03,2589.5710075132292
2013-04,2533.4617811649705
2013-05,2561.134669472514
2013-06,2351.9910719248846
2013-07,2329.967303262296
2013-08,2339.283582768089
2013-09,2418.149833963512
2013-10,2495.938185633962
2013-11,2477.394853348816
2013-12,2402.9760266151734
2014-01,2305.3050903491985
2014-02,2303.132175986477
2014-03,2354.3655008182714
2014-04,2345.0230574285974
2014-05,2454.646371739615
2014-06,2510.5583715930907
2014-07,2654.8827519507226
2014-08,2750.6004600685465
2014-09,2720.0887775920214
2014-10,2782.948045586069
2014-11,2827.9264767741843
2014-12,2938.7479610067353
2015-01,3148.979387908554
2015-02,3275.904984612983
2015-03,3531.825660260997
2015-04,3740.295622510092
2015-05,3777.4507617756462
2015-06,3550.9401673499756
2015-07,3244.1482498568357
2015-08,2854.923296583413
2015-09,2761.298369583544
2015-10,3031.449052082906
2015-11,3086.5574507792203
2015-12,2987.6025377484375
2016-01,2605.1481406485304
2016-02,2578.6353885607987
2016-03,2790.3615535030317
2016-04,2764.3130378140363
2016-05,2755.3208944527396
2016-06,2845.55432632672
2016-07,2943.9241911772083
2016-08,3039.221910533525
2016-09,3022.5752422179416
2016-10,3110.8614294214917
2016-11,3134.1812185271892
2016-12,3093.6242579605655
2017-01,3156.816137957678
2017-02,3304.768840823364
2017-03,3336.382861624067
2017-04,3314.238074
2017-05,3279.484295
2017-06,3315.489361
2017-07,3378.428963
2017-08,3445.115438
2017-09,3459.986496
2017-10,3628.474106
2017-11,3522.880283
2017-12,3604.385664
2018-01,3754.543447
2018-02,3638.16471
2018-03,3539.63414
2018-04,3538.1560881035994
2018-05,3553.4299155220433
2018-06,3348.0962876244366
2018-07,3379.8812524557848
2018-08,3278.7147361975526
2018-09,3285.485782125728
2018-10,3063.995491490931
2018-11,3178.2833574211004
2018-12,3059.3848776704513
2019-01,3314.35394257654
2019-02,3455.5551278970734
2019-03,3578.6281647036863
2019-04,3644.736378266411
2019-05,3384.761473406234
2019-06,3516.444933478398
2019-07,3571.1890618043985
2019-08,3443.422001675111
2019-09,3534.6284009982646
2019-10,3587.6729184111055
2019-11,3617.514878209707
2019-12,3828.4201531184895
2020-01,3740.393090283942
2020-02,3613.755455660571
2020-03,3131.7892886752466
2020-04,3407.217621002566
2020-05,3358.4114867909366
2020-06,3597.410603875334
2020-07,3783.350786424384
2020-08,3845.975720376796
2020-09,3821.7238105880856
2020-10,3943.8251047810663
2020-11,4167.93924961044
2020-12,4362.4093340950185
2021-01,4536.862453484866
2021-02,4555.1075381224355
2021-03,4567.380998477875
2021-04,4590.8458890448355
2021-05,4678.9181135562085
2021-06,4805.295079377458
2021-07,4508.452471314855
2021-08,4627.727166069162
2021-09,4585.431463557524
2021-10,4654.9255970585655
2021-11,4660.813285160211
2021-12,4683.733477404817
2022-01,4551.193489452672
