Date,AC AP WITH PARTIAL A SHARES
2008-11,1057.7041799524036
2008-12,1047.2156904686728
2009-01,1055.0468340955053
2009-02,965.3542763619325
2009-03,999.899492862748
2009-04,1126.7954409914375
2009-05,1186.183987397001
2009-06,1213.3446339038353
2009-07,1304.0276621454727
2009-08,1308.0421516865297
2009-09,1342.0495385758843
2009-10,1313.1025002561446
2009-11,1305.8756435664818
2009-12,1399.6436434668092
2010-01,1401.7215510630206
2010-02,1445.6128819496955
2010-03,1552.3799547454528
2010-04,1590.7691848532295
2010-05,1558.2297465959996
2010-06,1554.0269748631576
2010-07,1546.6843988749993
2010-08,1555.4543680245365
2010-09,1577.4702108377721
2010-10,1587.8756280035636
2010-11,1688.7125717148322
2010-12,1754.8745101898526
2011-01,1704.4874521424026
2011-02,1705.6754673890157
2011-03,1648.1972424178118
2011-04,1621.2909893948533
2011-05,1639.2466783144573
2011-06,1614.1327463834193
2011-07,1653.8146044224275
2011-08,1513.2723274377931
2011-09,1478.8217746307387
2011-10,1531.6100345369996
2011-11,1483.076587884553
2011-12,1543.2520151880972
2012-01,1652.573794479552
2012-02,1700.871849930988
2012-03,1685.5146598883225
2012-04,1680.533407085318
2012-05,1622.360172684966
2012-06,1650.591326968834
2012-07,1725.6463267557222
2012-08,1678.0911153602099
2012-09,1719.9816391296092
2012-10,1701.263246420234
2012-11,1734.554900489254
2012-12,1778.5683968789774
2013-01,1780.1864033962493
2013-02,1876.99329190506
2013-03,1926.0083264650045
2013-04,1967.831157888635
2013-05,1906.9475915337277
2013-06,1845.3873314457678
2013-07,1833.49187853689
2013-08,1823.0818443366427
2013-09,1898.8111853151506
2013-10,1942.536128785639
2013-11,1939.851150155687
2013-12,1908.784116762971
2014-01,1861.472252300273
2014-02,1861.5091426556303
2014-03,1876.0745487885406
2014-04,1857.3360915284923
2014-05,1954.206186095024
2014-06,2007.9086344612551
2014-07,2104.60913212933
2014-08,2130.2473116527985
2014-09,2117.754317160608
2014-10,2159.510928250631
2014-11,2157.0369206091677
2014-12,2184.3682709799787
2015-01,2384.247008946231
2015-02,2502.169426726509
2015-03,2630.0165037528736
2015-04,2651.0648827073205
2015-05,2682.040424963345
2015-06,2557.955127880047
2015-07,2505.1897326011517
2015-08,2263.709034489743
2015-09,2177.2499909457924
2015-10,2390.6235143588983
2015-11,2454.1724364796096
2015-12,2393.0824407687323
2016-01,2204.4059534664248
2016-02,2159.2846056494855
2016-03,2241.199539150734
2016-04,2269.7943983288924
2016-05,2304.8518883654992
2016-06,2316.3920392172095
2016-07,2437.626496120924
2016-08,2483.833240508441
2016-09,2504.7766745031086
2016-10,2555.6510209806056
2018-03,2934.6849771431184
2018-04,3012.609688067698
2018-05,3092.2193177148733
