Date,GOLDEN DRAGON WITH CHINA ALL SHARES
2008-11,1080.3808264457732
2008-12,1040.7878228909751
2009-01,1080.3348247388549
2009-02,1084.2621226051947
2009-03,1166.896483687291
2009-04,1315.0868047626586
2009-05,1409.944711439907
2009-06,1454.629057995049
2009-07,1627.7368771580936
2009-08,1454.1212568152157
2009-09,1536.1129592196485
2009-10,1572.1935646051545
2009-11,1589.0518058398973
2009-12,1712.0384178446075
2010-01,1619.7977260892324
2010-02,1665.6687165298113
2010-03,1766.8358404731314
2010-04,1773.0163662523007
2010-05,1778.2483414339124
2010-06,1775.818573892289
2010-07,1787.237257389597
2010-08,1806.2711174264577
2010-09,1837.1616818736295
2010-10,1897.7986300595
2010-11,1996.1255569490156
2010-12,1995.762875675511
2011-01,1968.6701899035613
2011-02,1895.1158385319657
2011-03,1896.3389229155405
2011-04,1866.1864527120313
2011-05,1913.1387538876984
2011-06,1844.2397805250828
2011-07,1859.292915556465
2011-08,1712.7293753837487
2011-09,1586.262847896535
2011-10,1689.1315058360526
2011-11,1607.5676801138345
2011-12,1689.6493583947242
2012-01,1827.6812264287105
2012-02,1913.9335270972451
2012-03,1821.2668384100368
2012-04,1861.6718831974117
2012-05,1844.9634986982062
2012-06,1811.1587093085673
2012-07,1881.2663792404744
2012-08,1813.6745880312003
2012-09,1895.9416758912491
2012-10,1897.8331454767795
2012-11,1930.4196270205548
2012-12,2013.0794673722196
2013-01,2032.5915754867112
2013-02,2074.6026886731943
2013-03,2035.447682017639
2013-04,2013.184849300693
2013-05,2064.3771327765326
2013-06,1908.3768488878818
2013-07,1918.0811787812927
2013-08,1966.838267397301
2013-09,2003.3894411386234
2013-10,2035.7424318754836
2013-11,2081.055274930874
2013-12,2020.305017115938
2014-01,1953.0547770370808
2014-02,1937.5852231389042
2014-03,1921.5552375976422
2014-04,1906.495678477571
2014-05,2006.9231365414096
2014-06,2059.99886811995
2014-07,2242.6260672555113
2014-08,2296.0109460064923
2014-09,2288.2914585667277
2014-10,2400.916110888656
2014-11,2497.3528875390075
2014-12,2707.1207825871847
2015-01,2930.084366841191
2015-02,3031.847713197317
2015-03,3340.374566877517
2015-04,3660.071483750853
2015-05,3718.4613844731257
2015-06,3450.318976348905
2015-07,3124.34976882427
2015-08,2707.394700313755
2015-09,2634.2496889994413
2015-10,2908.44488821463
2015-11,2969.782225637419
2015-12,2886.954213207443
2016-01,2465.291468755267
2016-02,2437.433535595569
2016-03,2592.314521160242
2016-04,2535.6579047339537
2016-05,2595.0987049643218
2016-06,2635.9961612442808
2016-07,2731.94635974413
2016-08,2863.083131417373
2016-09,2873.5426307983716
2016-10,2934.286022727756
2016-11,3030.5123679951776
2016-12,2902.6928142993456
2017-01,2989.5329025031074
2017-02,3138.7026888728883
2017-03,3163.776476052524
2017-04,3158.8185976780405
2017-05,3160.7402533353265
2017-06,3225.406013007796
2017-07,3297.4604201740053
2017-08,3382.3953250882287
2017-09,3398.0919988087603
2017-10,3577.9931120161623
2017-11,3489.429296784772
2017-12,3533.383757972571
2018-01,3730.695638334047
2018-02,3598.464444353882
2018-03,3490.855540249989
2018-04,3496.6354929175304
2018-05,3643.8734509415044
2018-06,3428.2975368913117
2018-07,3404.8519808426754
2018-08,3310.895005449975
2018-09,3315.328117997308
2019-01,3254.31439827978
2019-02,3496.106764488623
2019-03,3652.937262790227
2019-04,3725.387346061367
2019-05,3362.8928736379153
2019-06,3518.0219632863095
2019-07,3598.045589636458
2019-08,3482.8428484867964
2019-09,3542.3991289892265
2019-10,3619.226424822241
2019-11,3683.601732895165
2019-12,3893.458237502865
2020-01,3797.7027136753168
2020-02,3815.855887010571
2020-03,3495.298454665516
2020-04,3774.6651863568277
2020-05,3644.099643209772
2020-06,3951.862311215516
2020-07,4165.257154484391
2020-08,4299.871460763289
2020-09,4264.208441680177
2020-10,4451.204557864129
2020-11,4570.7080920214685
2020-12,4702.134778345965
2021-01,5017.664490308914
2021-02,5040.841800005496
2021-03,4957.823337330922
2021-04,5002.569602696918
2021-05,5020.585099252022
2021-06,5157.758519658959
2021-07,4704.248420765096
2021-08,4772.225612514986
2021-09,4702.559592711109
2021-10,4815.515792836278
2021-11,4816.517047488834
2021-12,4767.915021807178
2022-01,4636.674549617928
2022-02,4551.8904181984435
2022-03,4302.862250481101
2022-04,4223.842612790041
2022-05,4255.136104157373
2022-06,4476.975137885263
2022-07,4331.0470503106235
2022-08,4317.491734522528
2022-09,3864.6970635471234
2022-10,3376.4650976168236
2022-11,3946.0743389428394
2022-12,3902.1550894432435
2023-01,4244.678476306584
2023-02,4063.9549595867543
2023-03,4068.526069838087
2023-04,3860.714902094465
2023-05,3798.6681538453254
2023-06,3788.0669263474542
2023-07,4002.545104519443
