Date,ACFM EUROPE + CIS (E+C)
2002-05,647.3340482231466
2002-06,590.5333875679114
2002-07,530.7296849365647
2002-08,532.1266499735183
2002-09,458.6423005365777
2002-10,503.3726523067533
2002-11,525.2261091771946
2002-12,479.46071098405577
2003-01,445.8952190650078
2003-02,430.9198484634994
2003-03,419.2081240459285
2003-04,465.9963506842885
2003-05,471.27880138537444
2003-06,487.1818993070826
2003-07,505.70332695953874
2003-08,517.1985153127745
2003-09,497.6193603908228
2003-10,531.4051221298843
2003-11,536.968688626501
2003-12,552.8512198747463
2004-01,567.5746868777884
2004-02,584.0546509113128
2004-03,572.5140537701716
2004-04,581.4928346651187
2004-05,580.6121079271894
2004-06,590.3243925103791
2004-07,580.6259592276283
2004-08,576.5474306909827
2004-09,586.504652242497
2004-10,594.0560836367288
2004-11,608.8725496813846
2004-12,620.2611904734179
2005-01,634.4922911376747
2005-02,655.0946010269577
2005-03,651.8228418756117
2005-04,641.5454537416596
2005-05,673.9188507671847
2005-06,697.8646870527552
2005-07,722.3641212458944
2005-08,724.8066005825771
2005-09,758.7468562664453
2005-10,740.3004189739397
2005-11,765.5527516463777
2005-12,791.6385334987757
2006-01,820.7783181934675
2006-02,837.691967426026
2006-03,855.5652913829368
2006-04,865.7760142840128
2006-05,825.8833395460897
2006-06,833.162149723736
2006-07,850.218675673023
2006-08,874.2177501208242
2006-09,887.8245134055501
2006-10,919.1121069768741
2006-11,917.2053636094058
2006-12,950.907195915538
2007-01,968.8502341257946
2007-02,949.7924485862743
2007-03,976.5352180173867
2007-04,1013.3752307739209
2007-05,1045.889492193889
2007-06,1045.827951655575
2007-07,1013.3562002950356
2007-08,1004.342252078476
2007-09,1012.7846164746519
2007-10,1044.985278967069
2007-11,1000.0000000000011
2007-12,988.7295132152518
2008-01,871.1735229217786
2008-02,865.6006100430061
2008-03,831.5421751829082
2008-04,885.5041902298774
2008-05,899.2162562257095
2008-06,810.7374957008425
2008-07,793.1200309848087
2008-08,802.9500526306351
2008-09,712.3199570349931
2008-10,616.1013868305104
2008-11,571.7083145427478
2008-12,547.7680844942399
2009-01,527.8615481461975
2009-02,479.3158453974984
2009-03,492.1878583768164
2009-04,564.780912230975
2009-05,597.0986441326013
2009-06,589.2839441612874
2009-07,644.9280567678552
2009-08,676.8368803063611
