Date,EM ASIA WITH PARTIAL A SHARES
2008-11,1096.1058023401138
2008-12,1111.7237632786837
2009-01,1130.8725124665912
2009-02,1069.196533254693
2009-03,1185.242550935461
2009-04,1384.4144465762695
2009-05,1490.9530668088412
2009-06,1502.8941665431391
2009-07,1677.677080283124
2009-08,1608.2218984294948
2009-09,1723.925772101792
2009-10,1693.1029553204044
2009-11,1715.8735823876732
2009-12,1876.983117742869
2010-01,1821.6683402232616
2010-02,1857.9076469882111
2010-03,2018.3951826172474
2010-04,2101.613419257986
2010-05,2081.1339484710797
2010-06,2112.8383763488255
2010-07,2101.4218556158607
2010-08,2123.592966470811
2010-09,2198.4367785492823
2010-10,2218.1368635468525
2010-11,2323.638030326428
2010-12,2395.055204287668
2011-01,2310.821291083546
2011-02,2206.9003098700728
2011-03,2299.7795645014694
2011-04,2283.498413113551
2011-05,2321.1192142779482
2011-06,2253.7486223840633
2011-07,2292.506296189718
2011-08,2051.194446852629
2011-09,1923.4580237258083
2011-10,2072.099314297085
2011-11,1966.021515212845
2011-12,2052.006716775899
2012-01,2250.1091287394606
2012-02,2328.788904203056
2012-03,2265.156361543457
2012-04,2277.099209911614
2012-05,2208.114974396786
2012-06,2205.9573758733663
2012-07,2319.983438561194
2012-08,2250.779719352862
2012-09,2366.030297049722
2012-10,2339.572277083992
2012-11,2394.6592303171474
2012-12,2448.676813233254
2013-01,2406.1049269697705
2013-02,2496.8948229261646
2013-03,2481.843896725617
2013-04,2452.9744582473363
2013-05,2477.303215271909
2013-06,2323.6123289016064
2013-07,2306.229250418128
2013-08,2298.11514012387
2013-09,2355.8263468964315
2013-10,2457.3657180036816
2013-11,2459.605790132845
2013-12,2399.7436780651155
2014-01,2336.193069440079
2014-02,2354.0862978732225
2014-03,2389.654119515869
2014-04,2378.480486351717
2014-05,2515.733596984373
2014-06,2578.7910047837145
2014-07,2733.45293689368
2014-08,2807.9249154747663
2014-09,2761.994921064657
2014-10,2826.4020433673513
2014-11,2848.983564417972
2014-12,2889.6355139510515
2015-01,3169.257171188266
2015-02,3265.5267837096594
2015-03,3434.822533589674
2015-04,3541.0990234292344
2015-05,3526.995162971174
2015-06,3327.3158615851403
2015-07,3108.7923811016362
2015-08,2779.096568098176
2015-09,2747.3714282966525
2015-10,2994.9066354880188
2015-11,3031.3572915846003
2015-12,2925.4229851549635
2016-01,2702.4822455701146
2016-02,2657.899158104223
2016-03,2825.604171533577
2016-04,2777.7969038458746
2016-05,2826.25460899413
2016-06,2913.5690495249632
2016-07,3034.2282575279223
2016-08,3173.5638696691994
2016-09,3186.4024199208484
2016-10,3220.5233713071584
2018-03,3954.0504073099346
2018-04,4027.5522243929568
2018-05,4118.299607843412
