Date,EUROPE ex UK
1998-12,100.0
1999-01,102.88014772676827
1999-02,101.6362371235385
1999-03,103.57304927779258
1999-04,108.4215513559965
1999-05,105.13636725538106
1999-06,108.85792136845151
1999-07,105.61829605472273
1999-08,108.85555908037178
1999-09,107.5932033379006
1999-10,113.44415107617942
1999-11,122.43362546955015
1999-12,138.0452122392342
2000-01,132.5641235128586
2000-02,146.19580841758213
2000-03,147.786360712392
2000-04,148.2176080768695
2000-05,146.1075520281612
2000-06,145.165800883232
2000-07,146.43009575480022
2000-08,149.42610084524938
2000-09,142.27156833148064
2000-10,146.06223841778913
2000-11,138.04281290741528
2000-12,136.88836009929656
2001-01,139.26913353945838
2001-02,127.2183344876967
2001-03,120.86491395646355
2001-04,129.684950257314
2001-05,128.31203576820252
2001-06,123.48448963872634
2001-07,119.87904816028434
2001-08,111.6343227846121
2001-09,98.46044622204866
2001-10,103.32663605341357
2001-11,109.05014869556844
2001-12,112.57602054219137
2002-01,109.7467918774627
2002-02,109.4785952920828
2002-03,114.94160710934074
2002-04,109.94225561239647
2002-05,106.66518900577587
2002-06,97.92203196099638
2002-07,85.10970896527544
2002-08,85.66017030452849
2002-09,72.33027924685828
2002-10,80.0365288085701
2002-11,84.56399294349815
2002-12,76.53912505320925
2003-01,72.39240572643561
2003-02,69.02677876390881
2003-03,66.62875476523706
2003-04,75.39091274710137
2003-05,76.46519006972684
2003-06,79.2033318913805
2003-07,83.16954371340103
2003-08,85.37136835499722
2003-09,81.41707377575906
2003-10,86.97494652823062
2003-11,88.58959601592687
2003-12,91.45518803732224
2004-01,94.74198059528415
2004-02,96.65037354507378
2004-03,94.2953832709735
2004-04,95.98041897670119
2004-05,95.64671265868901
2004-06,98.09508179935101
2004-07,95.43289459253063
2004-08,94.3351417059602
2004-09,96.44479883867587
2004-10,98.2145277359019
2004-11,101.3949608300451
2004-12,103.89210330388494
2005-01,105.65999085536295
2005-02,109.06404379340039
2005-03,108.71313847726617
2005-04,106.03946890785821
2005-05,112.3287889224808
2005-06,116.08144772081128
2005-07,121.40381493884406
2005-08,120.68090553504808
2005-09,126.57577918281535
2005-10,123.33854708362188
2005-11,128.3792386265236
2005-12,133.2983325357793
2006-01,138.3844128133472
2006-02,141.65212055251166
2006-03,145.85709360277252
2006-04,146.89451480585393
2006-05,139.8106978374077
2006-06,140.47513466617986
2006-07,142.3331993835847
2006-08,147.00290379264794
2006-09,150.9334471325331
2006-10,155.68008315729466
2006-11,156.19867475808363
2006-12,162.62123604980863
2007-01,166.6717420724992
2007-02,163.19135342673073
2007-03,168.17204693023527
2007-04,176.6337037739662
2007-05,182.82030220146484
2007-06,181.04329632531363
2007-07,175.18987057356202
