Date,AC FAR EAST ex JP ESG UNIVERSAL ex TC
2013-05,1000.0
2013-06,944.5728931254662
2013-07,948.219238520946
2013-08,943.8087743976597
2013-09,968.9626158465968
2013-10,1000.7277891900704
2013-11,1000.9847777907664
2013-12,976.4867445087724
2014-01,948.1201834152064
2014-02,958.1627838820998
2014-03,964.7624535936354
2014-04,970.6242385351185
2014-05,1020.3838762804127
2014-06,1039.1814125944602
2014-07,1106.8517701514788
2014-08,1129.576131686333
2014-09,1108.597636496236
2014-10,1140.1395491291603
2014-11,1149.7567740382624
2014-12,1162.5020775855298
2015-01,1277.1954075722015
2015-02,1309.908725119183
2015-03,1381.8706773463866
2015-04,1424.2870033778943
2015-05,1411.745980895459
2015-06,1340.176755127151
2015-07,1262.4109731908045
2015-08,1124.6297470369507
2015-09,1107.7038146284574
2015-10,1217.263424408511
2015-11,1237.591766399835
2015-12,1198.7588739756682
2016-01,1119.7845333644907
2016-02,1113.9816604954185
2016-03,1178.4714011411857
2016-04,1159.2290828069806
2016-05,1176.0154255129394
2016-06,1217.825265697423
2016-07,1269.4468934494364
2016-08,1317.162860723677
2016-09,1327.9166764384604
2016-10,1338.4808115432636
2016-11,1350.296826116776
2016-12,1334.1526077839355
2017-01,1382.8122188177117
2017-02,1451.7237428555427
2017-03,1488.3121917879748
2017-04,1488.7305470400013
2017-05,1509.593571392427
2017-06,1515.5645795647285
2017-07,1535.247166078625
2017-08,1545.8376103738217
2017-09,1555.2284588433322
2017-10,1648.3379308470237
2017-11,1633.9301116646066
2017-12,1668.907600598005
2018-01,1730.9800760516491
2018-02,1691.2956112060385
2018-03,1656.611289605944
2018-04,1695.6663772801194
2018-05,1722.957129292552
2018-06,1633.119149122298
2018-07,1643.581960963189
2018-08,1638.8742619053342
2018-09,1638.9425958414963
2018-10,1498.9295374922963
2018-11,1563.3464834931942
2018-12,1506.4578503499135
2019-01,1623.6712717204302
2019-02,1677.2988031628477
2019-03,1716.6507861990876
2019-04,1759.4897515922335
2019-05,1612.091104478203
2019-06,1697.998574131875
2019-07,1715.207167151168
2019-08,1654.010995545468
2019-09,1697.6832060556033
2019-11,1763.2494326504834
2019-12,1851.536378242002
2020-01,1784.6510883014248
2020-02,1752.9650623998707
2020-03,1560.323134430214
2020-04,1696.7024089134964
2020-05,1651.3279161031564
2020-06,1772.5518693791773
2020-07,1804.9072879521264
2020-08,1837.3341803928333
2020-09,1834.833102133436
2020-10,1895.932515963127
2020-11,2025.9236647736093
2020-12,2121.9755055093733
2021-01,2225.9847903225154
2021-02,2256.581452678368
2021-03,2279.32057879778
2021-04,2291.0095045372595
2021-05,2269.25938901675
2021-06,2338.5520874450335
2021-07,2162.320608207039
2021-08,2196.938810271296
2021-09,2131.7062897614373
2021-10,2174.096025321665
2021-11,2149.2926526087076
2021-12,2148.632646110259
2022-01,2116.9062372290555
2022-02,2064.4249652542658
2022-03,2018.847634262853
2022-04,2018.2117875442261
2022-05,2014.3828956132322
2022-06,1997.7255998594371
2022-07,1979.1615119807736
2022-08,1993.2091942596348
2022-09,1768.2213225613802
2022-10,1613.2365908330262
2022-11,1887.3181616517766
2022-12,1849.385149137502
2023-01,1994.3242767567913
2023-02,1891.3391248479363
2023-03,1913.2989964062335
2023-04,1827.0240355515205
2023-05,1834.0459731995018
2023-06,1835.3830435280308
2023-07,1948.2450137965884
