Date,EFM (EMERGING + FRONTIER MARKETS)
2002-05,387.5814514834561
2002-06,339.5863343362564
2002-07,314.5073901383494
2002-08,320.5438486660773
2002-09,284.84175018838664
2002-10,301.8668865625369
2002-11,320.64574556981717
2002-12,294.0963064549019
2003-01,285.819363982233
2003-02,276.7000534340278
2003-03,265.4730626403468
2003-04,282.4742682184321
2003-05,285.874068113698
2003-06,309.0001651887427
2003-07,333.8865962773235
2003-08,365.14879425952523
2003-09,346.4714309127723
2003-10,374.4575921305388
2003-11,367.9359060974231
2003-12,372.866793905959
2004-01,393.5505627424635
2004-02,412.3324074660433
2004-03,422.2781160974825
2004-04,399.0170821043669
2004-05,386.8980910105754
2004-06,390.0483950079103
2004-07,386.45611564939196
2004-08,398.5810932814246
2004-09,411.54540971016695
2004-10,411.9322055468631
2004-11,429.3805953457899
2004-12,440.36857454828885
2005-01,461.6113145339887
2005-02,495.0230893291799
2005-03,475.9215394199779
2005-04,469.20963807471065
2005-05,506.4071641856936
2005-06,538.7700232783583
2005-07,571.030871730195
2005-08,571.7920343703742
2005-09,636.5722365613815
2005-10,601.6182408296397
2005-11,657.200948212628
2005-12,693.5970803427881
2006-01,743.9127361008376
2006-02,753.428571550421
2006-03,744.9342543698924
2006-04,764.6661140834069
2006-05,674.6048860533606
2006-06,676.3374193732354
2006-07,686.845871765992
2006-08,703.7930728903895
2006-09,715.5364942461839
2006-10,742.322021478884
2006-11,763.1307732616547
2006-12,802.8686594799536
2007-01,806.2513751326253
2007-02,788.9939705948979
2007-03,812.6056248034721
2007-04,827.8916963060329
2007-05,879.7950778474266
2007-06,917.8778659391402
2007-07,952.5512659959539
2007-08,936.8221941048184
2007-09,995.028395197885
2007-10,1085.5278197326102
2007-11,1000.0
2007-12,1009.0571592201585
2008-01,877.255078427022
2008-02,918.0224439992996
2008-03,833.3675953019037
2008-04,915.7216564209275
2008-05,935.5573313371198
2008-06,834.755376838687
2008-07,812.1974627031652
2008-08,792.122178086317
2008-09,686.8607747805622
2008-10,553.7895330261175
2008-11,510.1633675637287
2008-12,497.3539990342107
2009-01,501.7473110657393
2009-02,477.5730469527312
2009-03,521.3703686500969
2009-04,608.244125368871
2009-05,667.3042692473961
2009-06,665.6172878106403
2009-07,730.3496138510316
2009-08,720.8822065493925
2009-09,770.2404907789936
2009-10,763.1262615931761
2009-11,779.211272273202
2009-12,846.2482406743372
2010-01,825.9540060710369
2010-02,845.8918587995138
2010-03,922.0146035567392
2010-04,949.4629117659201
2010-05,938.7138785703012
2010-06,933.638417410294
2010-07,950.7923457395539
2010-08,956.7582431982179
2010-09,988.7302864590805
2010-10,999.7982595680511
2010-11,1039.9736010754473
2010-12,1080.4450005404926
2011-01,1029.6686167824028
2011-02,1010.7595869068866
2011-03,1040.3869893977362
2011-04,1026.7655904736173
2011-05,1031.858823959727
2011-06,1008.0116407881709
2011-07,1012.5902737556746
2011-08,921.7452888438186
2011-09,847.8460829256595
2011-10,920.7911999173698
2011-11,891.5621458766657
2011-12,913.4961141433495
2012-01,1005.846600896817
2012-02,1042.4963519822822
2012-03,1013.9634352558838
2012-04,1008.3953895863104
2012-05,960.6647523359519
2012-06,971.3736907264831
2012-07,1020.9238187311174
2012-08,995.2327699776807
2012-09,1033.6328618430202
2012-10,1020.0715394746239
2012-11,1029.3938920965895
2012-12,1064.4779129183528
2013-01,1050.0100951114894
2013-02,1077.0436717338282
2013-03,1078.6661067824916
2013-04,1059.8330782720234
2013-05,1053.4207889927538
2013-06,984.1919551238112
2013-07,975.3291340855693
2013-08,965.4882408202693
2013-09,1000.950528676209
2013-10,1044.4083008827324
2013-11,1028.770944007183
2013-12,1003.1887863465622
2014-01,961.4143745120392
2014-02,970.0742957720521
2014-03,1002.1510801658651
2014-04,1001.8820701949131
2014-05,1054.8513662851503
2014-06,1078.9258258407212
2014-07,1126.2225957235064
2014-08,1169.2929889405584
2014-09,1131.6104215083662
2014-10,1152.7923136876295
2014-11,1145.3264155857144
2014-12,1126.3032294869495
2015-01,1213.6815986696702
2015-02,1258.9435805756004
2015-03,1296.2864887503795
2015-04,1337.1805934501838
2015-05,1312.3816672326434
2015-06,1259.5405939409716
2015-07,1184.1337227476113
2015-08,1063.3514135050718
2015-09,1035.8732623259812
2015-10,1120.5578020003823
2015-11,1126.2245532424229
2015-12,1071.6781105332088
2016-01,1006.0541441860933
2016-02,1001.2599363992568
2016-03,1078.7323659278868
2016-04,1079.9434190952645
2016-05,1071.1156377284942
2016-06,1115.2549929938245
2016-07,1163.375390440948
2016-08,1196.5264074001004
2016-09,1201.776739523875
2016-10,1234.8983409799646
2016-11,1218.2796263587795
2016-12,1229.559243772718
2017-01,1266.1224701459773
2017-02,1326.0775909025804
2017-03,1351.0680403943281
2017-04,1355.9965701022556
2017-05,1352.6569148989545
2017-06,1347.8190003094537
2017-07,1381.4587532225419
2017-08,1401.4615018316983
2017-09,1404.9011331039633
2017-10,1475.014565953991
2017-11,1444.4184359761418
2017-12,1486.3098777608232
2018-01,1551.31272602724
2018-02,1512.7816193884935
2018-03,1473.691237750227
2018-04,1492.7878150464178
2018-05,1488.7102695885408
2018-06,1427.7243246099333
2018-07,1457.6618837063086
2018-08,1425.780044336997
2018-09,1421.2691676433915
2018-10,1331.8248572001883
2018-11,1387.1936105117218
2018-12,1338.293953876048
2019-01,1448.9173138318906
