Date,EAFE ex ISRAEL
2010-05,1027.1055078728973
2010-06,1018.922130750376
2010-07,1049.8111074972885
2010-08,1042.3725745318131
2010-09,1065.7160824181835
2010-10,1084.9976158547154
2010-11,1102.7087050541052
2010-12,1156.8268002093128
2011-01,1159.3066737061615
2011-02,1189.4514858475989
2011-03,1131.847153978696
2011-04,1149.1654038002284
2011-05,1152.2292650673044
2011-06,1128.7417937081211
2011-07,1120.9662833048894
2011-08,1018.1696195266435
2011-09,989.1065122436843
2011-10,1043.022650970142
2011-11,1028.7415096536915
2011-12,1056.7528447830937
2012-01,1103.7927658749577
2012-02,1143.0469683835377
2012-03,1143.391720452258
2012-04,1129.0063357498543
2012-05,1071.3838305899985
2012-06,1118.1317554275718
2012-07,1165.1829594022915
2012-08,1169.4451847202852
2012-09,1180.0144082697648
2012-10,1181.3872653724695
2012-11,1205.6415344347772
2012-12,1228.2347947056062
2013-01,1256.390196024396
2013-02,1292.2179180348385
2013-03,1326.9169668100521
2013-04,1361.7674342348494
2013-05,1353.2850371407703
2013-06,1301.5199988422319
2013-07,1341.6622873471756
2013-08,1333.4359342786843
2013-09,1395.439542775304
2013-10,1436.369616823267
2013-11,1445.0893553060316
2013-12,1449.593926894353
2014-01,1421.1506157908018
2014-02,1464.9926135796818
2014-03,1459.2690539208263
2014-04,1472.9753118878855
2014-05,1523.0660934826865
2014-06,1532.8709072441252
2014-07,1537.6103720346052
2014-08,1559.8319374760008
2014-09,1563.971407897899
2014-10,1554.017740582611
2014-11,1583.1205692429232
2014-12,1574.6393558357915
2015-01,1697.065774575007
2015-02,1810.1878166895797
2015-03,1862.3126177012966
2015-04,1859.8095576928476
2015-05,1893.2389984677884
2015-06,1810.4223115177983
2015-07,1862.5206188433026
2015-08,1701.658155958079
2015-09,1622.4984486644748
2015-10,1767.8629381145229
2015-11,1820.4097478792498
2015-12,1745.8808548594743
2016-01,1626.2134707178793
2016-02,1590.4448379930566
2016-03,1617.2528534911173
2016-04,1657.4647408276344
2016-05,1692.3555868221592
2016-06,1639.4019623129388
2016-07,1711.2865049833622
2016-08,1720.1177186496823
2016-09,1727.1093836534524
2016-10,1735.1198415194283
2016-11,1757.8400313241625
2016-12,1829.1603123915743
2017-01,1837.3741692164733
2017-02,1895.3402214505752
2017-03,1937.3275475145028
2017-04,1952.9007135495822
2017-05,1963.7081817924754
2017-06,1932.3487210927458
2017-07,1923.9700898960125
2017-08,1909.2863100512798
2017-09,1968.5234421844868
2017-10,2028.5973887319944
2017-11,2003.2578699562293
2017-12,2020.8581570605177
2018-01,2045.823425579754
2018-02,1995.5453560544283
2018-03,1945.6056957580818
2018-04,2027.9601327988537
2018-05,2053.7772106148805
2018-06,2028.4841583833527
2018-07,2073.9405234885594
2018-08,2045.0355080347772
2018-09,2067.552915952973
2018-10,1950.6986631068448
2018-11,1949.4157229123412
2018-12,1838.410787517177
2019-01,1951.6246719160206
2019-02,2017.3572549632736
2019-03,2061.1630047062313
2019-04,2125.191611144071
2019-05,2038.3509745895615
2019-06,2113.775515816101
2019-07,2134.3974388470065
2019-08,2102.791283949642
2019-09,2186.2910789811813
2019-10,2213.3501022828023
2019-11,2264.6194198233793
2019-12,2297.7998045781105
2020-01,2278.1428396750657
2020-02,2090.5809389069086
2020-03,1816.0261347397343
2020-04,1937.8438988435153
2020-05,1991.8727203705125
2020-06,2041.1069306928214
2020-07,1983.7598318135977
2020-08,2063.0852228029453
2020-09,2051.166293767499
2020-10,1982.1942527522517
2020-11,2230.3770668686884
2020-12,2281.728315333191
2021-01,2273.2906425334004
2021-02,2327.050350762938
2021-03,2461.475999212557
2021-04,2477.0541480002676
2021-05,2521.5823386442657
2021-06,2570.7991475473186
2021-07,2589.986275496612
2021-08,2648.021330072367
2021-09,2620.836004676503
2021-10,2689.4499294764883
2021-11,2636.3593302087947
2021-12,2743.4768835737163
2022-01,2649.589472865651
2022-02,2597.26173774326
2022-03,2641.8744198748414
2022-04,2608.810162579516
2022-05,2593.179891451649
2022-06,2410.9813297568226
2022-07,2595.1875188158488
2022-08,2504.8376547541957
2022-09,2332.3510082563907
2022-10,2435.6807840673596
2022-11,2604.4961709808363
2022-12,2516.4939293414686
2023-01,2674.1540719924765
2023-02,2682.1777836138276
2023-03,2686.57422400576
2023-04,2722.102251487989
2023-05,2703.1963361291578
2023-06,2762.910290212123
2023-07,2821.9263760241956
