Date,ACWI ex GERMANY
2015-12,2345.943729380951
2016-01,2215.840097590833
2016-02,2194.053259421326
2016-03,2246.9305293523234
2016-04,2270.0737277809812
2016-05,2340.9979448631275
2016-06,2336.5565237196815
2016-07,2419.9406538628323
2016-08,2437.886914887199
2016-09,2432.1374289246714
2016-10,2451.526946665294
2016-11,2557.379212195711
2016-12,2624.992863995836
2017-01,2632.269093051431
2017-02,2755.179064488842
2017-03,2769.8867509592524
2017-04,2762.9413917843717
2017-05,2734.850998095963
2017-06,2711.0947911267494
2017-07,2697.7812776960627
2017-08,2687.0401932833292
2017-09,2752.3633425853413
2017-10,2852.292707779773
2017-11,2842.698017915276
2017-12,2870.695478391428
2018-01,2923.5533978509475
2018-02,2864.871862351933
2018-03,2781.812995861104
2018-04,2859.2456574900557
2018-05,2968.887541189441
2018-06,2955.111834918607
2018-07,3037.5306533967278
2018-08,3083.7185488901214
2018-09,3105.7853955522464
2018-10,2946.811744297815
2018-11,2996.3938530828
2018-12,2758.977690778669
2019-01,2967.4536590810303
2019-02,3072.396693535375
2019-03,3159.244581698941
2019-04,3270.8903669915276
2019-05,3097.340872778118
2019-06,3230.0980418919144
2019-07,3318.014230139051
2019-08,3277.1185560309764
2019-09,3381.2466371829482
2019-10,3392.6931372773456
2019-11,3518.7408080969626
2019-12,3581.0156915009106
2020-01,3589.942541631281
2020-02,3331.7229957614154
2020-03,2890.1168639159932
2020-04,3207.5457775079485
2020-05,3294.2707164279464
2020-06,3365.7053269554954
2020-07,3367.3616800295385
2020-08,3534.2843262539564
2020-09,3489.5079936106195
2020-10,3435.5876869344706
2020-11,3755.2811097888716
2020-12,3841.881294295463
2021-01,3853.9712017784504
2021-02,3948.232319511186
2021-03,4187.233548870815
2021-04,4269.409440597054
2021-05,4269.45320670864
2021-06,4464.661348189258
2021-07,4497.741614650426
2021-08,4633.951220932471
2021-09,4528.691952794388
2021-10,4771.2126808441
2021-11,4793.414634195318
2021-12,4934.208215568633
2022-01,4759.277335309034
2022-02,4633.28757263701
2022-03,4786.386771293826
2022-04,4646.147655588083
2022-05,4580.82450101613
2022-06,4305.035228785045
2022-07,4727.759591736716
2022-08,4621.861891293657
2022-09,4291.256110735301
2022-10,4508.660580358764
2022-11,4660.379101428517
2022-12,4317.450066324264
2023-01,4543.220468057546
2023-02,4519.917069105346
2023-03,4550.222500479687
2023-04,4542.333684448687
2023-05,4661.078434034912
2023-06,4821.6723433259385
2023-07,4947.882065246435
