Date,EFM AFRICA ex ZA
2002-05,187.91104435606695
2002-06,182.18434375305608
2002-07,179.0273923778302
2002-08,185.43041610636152
2002-09,176.7674416002191
2002-10,173.07200845145917
2002-11,180.38719962475187
2002-12,178.52893192178328
2003-01,194.2010536470229
2003-02,194.25465991954536
2003-03,186.0770002613434
2003-04,199.5731333283429
2003-05,200.1738465178482
2003-06,213.09151548010828
2003-07,210.80445557661002
2003-08,225.58582311349173
2003-09,233.6289764274229
2003-10,255.36495249797903
2003-11,256.44158723013
2003-12,255.2408126314517
2004-01,289.73704000588367
2004-02,307.3414785946907
2004-03,294.147711363961
2004-04,332.43422985778756
2004-05,340.32554838998357
2004-06,351.70233697447367
2004-07,350.14955611623753
2004-08,333.3377425690609
2004-09,342.5339498595832
2004-10,346.0647445359826
2004-11,332.69776403165747
2004-12,342.5955049247315
2005-01,400.52644462208696
2005-02,406.20391652868204
2005-03,405.1880341708049
2005-04,442.31017154372057
2005-05,481.3569496071781
2005-06,523.2632529153719
2005-07,531.8804093373346
2005-08,535.9171786521619
2005-09,590.9961818870756
2005-10,602.4516359589628
2005-11,602.1019688381142
2005-12,639.4291535111759
2006-01,725.0599402878014
2006-02,703.9401407172603
2006-03,675.9469843562114
2006-04,655.9410420708218
2006-05,585.9834198288166
2006-06,563.9899042064135
2006-07,631.0095979775823
2006-08,718.0557773463781
2006-09,733.9022718353162
2006-10,737.9967956036868
2006-11,699.0384958829744
2006-12,746.8909467604055
2007-01,786.4437018470137
2007-02,816.381722332748
2007-03,824.6974541145066
2007-04,849.0716986101228
2007-05,895.1596885832769
2007-06,913.173519804565
2007-07,935.8404531136512
2007-08,898.6120004147068
2007-09,938.0447215496725
2007-10,965.5487237345046
2007-11,999.9999999999992
2007-12,1072.1024694687842
2008-01,1060.463524270608
2008-02,1126.6284985674736
2008-03,1086.3335002387123
2008-04,1110.3230073511902
2008-05,1077.7683734646168
2008-06,1011.173559465854
2008-07,976.6942665724197
2008-08,952.092654739696
2008-09,875.4932261375831
2008-10,715.6408491338556
2008-11,653.7868949470712
2008-12,601.3349659758965
2009-01,502.3288200176225
2009-02,527.6081790638564
2009-03,512.4920663288025
2009-04,586.6254936286941
2009-05,649.9748195461134
2009-06,653.1128865885722
2009-07,641.3107874103132
2009-08,646.8479734754732
2009-09,645.3873269974678
2009-10,648.4879934876892
2009-11,579.6834492396545
2009-12,625.2953335486551
2010-01,690.2300431779378
2010-02,709.1684443625664
2010-03,756.8498745027041
2010-04,811.5099350357805
2010-05,801.8231973580652
2010-06,770.6188814059561
2010-07,759.8523857089885
2010-08,759.5717227975456
2010-09,727.6679125192336
2010-10,735.6115171866599
2010-11,774.4949509160055
2010-12,788.5759661683347
2011-01,709.2174362593048
2011-02,697.7204074547543
2011-03,658.6165176675634
2011-04,625.0242783195711
2011-05,676.009503134739
2011-06,648.3695568834028
2011-07,622.5048481337403
2011-08,580.1489996540555
2011-09,570.7291534415479
2011-10,583.2815062375365
2011-11,560.8165455124241
2011-12,567.5207257380792
2012-01,623.2746670226567
2012-02,654.6548614937911
2012-03,652.3163779947345
2012-04,669.5082916477728
2012-05,693.1569079452124
