Date,ACWI ex BELGIUM
2015-12,2344.4679928414857
2016-01,2211.8705429182082
2016-02,2189.525215831226
2016-03,2243.811269486486
2016-04,2266.7079172544422
2016-05,2336.7603702145125
2016-06,2328.708074535515
2016-07,2414.2285251198387
2016-08,2433.43108100554
2016-09,2427.129254268019
2016-10,2447.3873598465143
2016-11,2550.161595723946
2016-12,2621.2299367153278
2017-01,2629.048984947218
2017-02,2750.1224616404807
2017-03,2767.317066145533
2017-04,2761.452589967041
2017-05,2735.2400727974514
2017-06,2710.5209336913317
2017-07,2695.797017516279
2017-08,2685.0741445583394
2017-09,2753.4737562229734
2017-10,2852.9632332085566
2017-11,2843.064780832053
2017-12,2869.7839741484813
2018-01,2922.8932325233923
2018-02,2861.2136367111284
2018-03,2778.2828108440685
2018-04,2857.0943128014674
2018-05,2964.0045599727564
2018-06,2948.1612944751228
2018-07,3031.6241314974995
2018-08,3074.5887344193516
2018-09,3094.8520964793984
2018-10,2935.9306973064636
2018-11,2982.3133547721386
2018-12,2747.2184497732947
2019-01,2953.7169486581597
2019-02,3057.3893590852067
2019-03,3141.2978235857126
2019-04,3255.2467748585423
2019-05,3082.501964725062
2019-06,3215.2501651291655
2019-07,3298.8149735193692
2019-08,3257.897213914209
2019-09,3361.61378766557
2019-10,3376.4504504965157
2019-11,3501.3684402561153
2019-12,3561.9180664958117
2020-01,3569.1884235617713
2020-02,3312.3021497713694
2020-03,2870.495660820275
2020-04,3185.407478202766
2020-05,3275.1536079695247
2020-06,3348.556724865027
2020-07,3349.9858791365623
2020-08,3516.6820801851118
2020-09,3472.362531655919
2020-10,3411.8166198303597
2020-11,3732.261153185724
2020-12,3819.8207377160215
2021-01,3830.6450628823436
2021-02,3924.4117114090677
2021-03,4163.552940182995
2021-04,4244.134575494279
2021-05,4245.673128189793
2021-06,4436.7287220783355
2021-07,4469.244384373502
2021-08,4603.451776802349
2021-09,4497.209237300911
2021-10,4735.064071602599
2021-11,4752.97021790021
2021-12,4893.948244685176
2022-01,4721.785243725227
2022-02,4592.04981266278
2022-03,4738.8795327445905
2022-04,4599.59103836658
2022-05,4538.369139002062
2022-06,4259.9707543623
2022-07,4675.076103161027
2022-08,4568.3617425053035
2022-09,4241.875858494445
2022-10,4459.134679667849
2022-11,4614.043717022324
2022-12,4277.294882353928
2023-01,4505.903326617877
2023-02,4483.557564177385
2023-03,4514.527107006083
2023-04,4508.740547939613
2023-05,4623.464643991241
2023-06,4782.460502633096
2023-07,4906.588229899398
