Date,EUROPE VOTING RIGHTS-ADJUSTED
2021-05,1314.6907320852572
2021-06,1334.4204886132911
2021-07,1357.5740656968824
2021-08,1384.321599270965
2021-09,1345.674075033641
2021-10,1407.3531773456184
2021-11,1370.0565047429286
2021-12,1445.5039875612433
2022-01,1403.5003696088436
2022-02,1361.5142090540328
2022-03,1371.939884120041
2022-04,1365.547644430344
2022-05,1362.1051250158002
2022-06,1253.1829750205934
2022-07,1348.739987460826
2022-08,1282.2048827826954
2022-09,1199.750842702417
2022-10,1277.4894807663075
2022-11,1368.0569386576838
2022-12,1319.1459589488436
2023-01,1412.4623925869778
2023-02,1438.57246844272
2023-03,1436.5224984799918
2023-04,1474.0722122419625
2023-05,1438.4267649322637
2023-06,1476.2819352651388
2023-07,1507.841280338279
