Date,ACWI ex INDIA
2015-12,2333.9248290793475
2016-01,2202.5028259291475
2016-02,2180.7619920664824
2016-03,2233.9415674027264
2016-04,2256.9466128879844
2016-05,2326.5962324618886
2016-06,2318.1460512662798
2016-07,2402.686139196578
2016-08,2421.513958306129
2016-09,2415.9675122089993
2016-10,2435.077664305935
2016-11,2538.6729486977706
2016-12,2609.9277239001003
2017-01,2617.095284521474
2017-02,2736.799132469615
2017-03,2752.8958765742955
2017-04,2747.1549252486893
2017-05,2721.5480640776286
2017-06,2696.911436899574
2017-07,2681.542551911278
2017-08,2671.033249451165
2017-09,2740.651385246169
2017-10,2838.186702603734
2017-11,2828.683565100134
2017-12,2854.0814881273614
2018-01,2907.5194455599612
2018-02,2846.9422532839594
2018-03,2765.0156565442294
2018-04,2842.158175132012
2018-05,2949.1049670445977
2018-06,2933.822614504194
2018-07,3015.768653599483
2018-08,3057.891189802933
2018-09,3080.8301696270064
2018-10,2922.062849807341
2018-11,2965.7992265272005
2018-12,2729.696790098677
2019-01,2938.048932222113
2019-02,3041.9706297270423
2019-03,3123.1711435429506
2019-04,3237.4526551131344
2019-05,3063.349423430975
2019-06,3197.6146696498813
2019-07,3283.207806711103
2019-08,3242.4093405207573
2019-09,3345.384766323914
2019-10,3358.8471953323215
2019-11,3484.1130318043306
2019-12,3545.04733587862
2020-01,3551.9184953691533
2020-02,3295.10278041457
2020-03,2859.561457373292
2020-04,3171.501254780086
2020-05,3262.8344790766114
2020-06,3335.0214303884063
2020-07,3334.8220751489584
2020-08,3501.27485058476
2020-09,3455.6749064997516
2020-10,3393.8037902667165
2020-11,3714.7583479664972
2020-12,3799.309434970966
2021-01,3810.784808315026
2021-02,3902.3611764229468
2021-03,4140.203964584855
2021-04,4223.323154077099
2021-05,4221.5710430902445
2021-06,4412.347705797408
2021-07,4444.269949954162
2021-08,4572.650933854667
2021-09,4463.97831520626
2021-10,4703.774265159179
2021-11,4721.4874367534485
2021-12,4861.9405571235675
2022-01,4688.432304273469
2022-02,4560.77122016248
2022-03,4705.493326518238
2022-04,4562.884280968798
2022-05,4506.106694867724
2022-06,4228.826429574259
2022-07,4638.597787398646
2022-08,4526.647886371239
2022-09,4200.969802088682
2022-10,4418.840167373686
2022-11,4574.369680123724
2022-12,4242.469129439384
2023-01,4475.884713840151
2023-02,4455.125533892124
2023-03,4487.082823790951
2023-04,4479.601937453126
2023-05,4589.752618173858
2023-06,4748.167572617688
2023-07,4872.315058852473
