Date,EFM ASIA
2002-05,454.7365691520025
2002-06,410.77172771298154
2002-07,396.16917653580714
2002-08,391.25761809228135
2002-09,339.71706706672603
2002-10,355.1216655274004
2002-11,377.7994164928529
2002-12,332.5676236391524
2003-01,329.34880536070995
2003-02,309.31280754129386
2003-03,288.74856672253617
2003-04,295.74064838635303
2003-05,303.1660112867689
2003-06,335.6229372068695
2003-07,373.38878060806695
2003-08,409.7173801046928
2003-09,380.9763952197346
2003-10,419.70936137078155
2003-11,399.99680676700905
2003-12,406.19414306121814
2004-01,437.4990605915634
2004-02,455.6186441519904
2004-03,459.19870803477403
2004-04,442.7629017451011
2004-05,417.37391373662444
2004-06,413.2103537126236
2004-07,401.5607524385638
2004-08,416.6684234997315
2004-09,424.8606522901727
2004-10,420.38408017462575
2004-11,440.4306468818639
2004-12,445.73032034408754
2005-01,473.0194573553291
2005-02,497.1725066963571
2005-03,480.52415978567603
2005-04,470.37442741865055
2005-05,511.82223403084447
2005-06,535.7359829992424
2005-07,569.6412301230463
2005-08,544.3325312247761
2005-09,589.5084087551436
2005-10,551.5993749764391
2005-11,608.1952008261177
2005-12,656.8241740539182
2006-01,687.6262203540936
2006-02,697.2189882987158
2006-03,696.1709029026392
2006-04,717.2829247979362
2006-05,650.8693893435309
2006-06,649.7949905872084
2006-07,650.3099882683704
2006-08,672.3766379783395
2006-09,704.2585765410424
2006-10,716.6785766413606
2006-11,746.1861264251058
2006-12,779.1732521183657
2007-01,773.4854903753896
2007-02,761.5744441858006
2007-03,770.8697439224079
2007-04,786.3664486486874
2007-05,849.7917619438831
2007-06,899.0975199193131
2007-07,957.9583326665011
2007-08,949.2667666331529
2007-09,1019.0929436216239
2007-10,1115.3026567555962
2007-11,1000.0000000000003
2007-12,997.9236418748575
2008-01,844.6066529391554
2008-02,884.3817398401578
2008-03,790.5060000630167
2008-04,871.4255198602802
2008-05,838.4839042038972
2008-06,724.1445360153459
2008-07,726.2492249295708
2008-08,716.001164496267
2008-09,626.2231488848128
2008-10,526.8412138331098
2008-11,489.23165768667036
2008-12,496.62223528772347
2009-01,504.6612959786257
2009-02,476.54345251550274
2009-03,528.4169633982232
2009-04,617.8328163878118
2009-05,666.0468540409414
2009-06,670.3314098049926
2009-07,747.9011337920705
2009-08,719.1428977214143
2009-09,770.8201076000629
2009-10,756.3604918406061
2009-11,765.8480003993973
2009-12,837.8015956063831
2010-01,813.6280759866332
2010-02,829.2122174465408
2010-03,900.8725637799785
2010-04,938.5077776772695
2010-05,929.7848037414889
2010-06,944.3545938885013
2010-07,938.556862678155
2010-08,948.4105375165634
2010-09,982.0350777075068
2010-10,989.9403298868268
2010-11,1037.0516366718382
2010-12,1069.3733013790163
2011-01,1031.686453081995
2011-02,983.7672864994204
2011-03,1025.890154121411
2011-04,1018.3995977212636
2011-05,1034.7334412827313
2011-06,1004.5722853883938
2011-07,1021.9146901942028
2011-08,914.1934417442001
2011-09,857.7226417913797
2011-10,923.5186229669888
2011-11,876.1022796741978
2011-12,914.234871995684
2012-01,1002.549540288282
2012-02,1037.834692501951
2012-03,1010.0780942490917
2012-04,1015.0674602237108
2012-05,983.8696510803749
2012-06,983.2261410144297
2012-07,1034.5021665810864
2012-08,1004.3148486100049
2012-09,1055.6923306135832
2012-10,1043.6064548640845
2012-11,1068.5444999933775
2012-12,1090.9345729394192
2013-01,1071.3344869813602
2013-02,1112.0498559610464
2013-03,1105.9707466146604
2013-04,1093.162489120815
2013-05,1103.2955787741946
2013-06,1036.2019415391003
2013-07,1028.4969041089505
2013-08,1023.5452258854183
2013-09,1049.2173695969254
2013-10,1095.056482235602
2013-11,1095.169917931997
