Date,ACWI ex BRAZIL
2015-12,2346.058806610596
2016-01,2213.941527783284
2016-02,2190.0394196117986
2016-03,2241.696710396478
2016-04,2263.2413839269884
2016-05,2335.799441554136
2016-06,2324.7177131952226
2016-07,2408.7730994127855
2016-08,2427.7155431306596
2016-09,2421.8568996041136
2016-10,2438.124530490164
2016-11,2542.722434598544
2016-12,2613.8390542244724
2017-01,2619.719253282525
2017-02,2739.9072866915726
2017-03,2758.624745773099
2017-04,2753.3228324319252
2017-05,2729.130160237831
2017-06,2704.527151501969
2017-07,2688.7943816544293
2017-08,2676.6450421593167
2017-09,2744.300801303847
2017-10,2844.7332023619547
2017-11,2835.6241908987813
2017-12,2861.330177699758
2018-01,2911.7554825653806
2018-02,2849.7243209972453
2018-03,2767.2206164858662
2018-04,2846.58864963789
2018-05,2956.8170122193765
2018-06,2943.0566934743433
2018-07,3024.5297001739978
2018-08,3069.5257519042652
2018-09,3088.149939877521
2018-10,2923.6287648300313
2018-11,2970.7610134167167
2018-12,2735.053374779853
2019-01,2938.391020112877
2019-02,3043.5634137221064
2019-03,3128.695515206644
2019-04,3243.3221148945127
2019-05,3068.968275374709
2019-06,3201.2355614716466
2019-07,3284.319480475381
2019-08,3245.450684573808
2019-09,3348.728511628315
2019-10,3361.718090562188
2019-11,3488.1061541367108
2019-12,3545.7613573251183
2020-01,3554.871856399057
2020-02,3299.6742997144106
2020-03,2866.106004541823
2020-04,3181.148437971711
2020-05,3269.782323591682
2020-06,3342.4101524677435
2020-07,3342.039640373112
2020-08,3511.3612585825845
2020-09,3467.8078542255735
2020-10,3407.044220720141
2020-11,3725.769833885575
2020-12,3810.885895775631
2021-01,3823.429629052429
2021-02,3918.776592353728
2021-03,4157.026179985343
2021-04,4237.254806659926
2021-05,4237.096496988061
2021-06,4426.268077710856
2021-07,4460.47609381138
2021-08,4595.595075655163
2021-09,4491.982372351287
2021-10,4732.720124557625
2021-11,4749.899056734718
2021-12,4890.908153707438
2022-01,4714.8520126871035
2022-02,4583.664026148684
2022-03,4726.688828843386
2022-04,4589.880161746048
2022-05,4526.304458725428
2022-06,4252.157050490275
2022-07,4666.112936235469
2022-08,4556.499346058546
2022-09,4229.449504102644
2022-10,4445.5859777538435
2022-11,4603.232136845098
2022-12,4267.797959349345
2023-01,4495.635758434131
2023-02,4475.353530139969
2023-03,4507.003551426042
2023-04,4500.75719475598
2023-05,4613.7479917145665
2023-06,4769.730588430445
2023-07,4893.611522987151
