Date,ACWI ex HONG KONG
2015-12,2329.728797521159
2016-01,2199.202522928142
2016-02,2176.1339932798887
2016-03,2229.5967396382057
2016-04,2252.5081378640734
2016-05,2322.6253791214567
2016-06,2314.20672448257
2016-07,2398.2436857099237
2016-08,2417.0193157045264
2016-09,2410.308125118062
2016-10,2429.491777611844
2016-11,2531.6006738824567
2016-12,2604.6775433231446
2017-01,2610.842305557611
2017-02,2731.231654429636
2017-03,2747.9035965756325
2017-04,2741.7975481672174
2017-05,2715.7789509998283
2017-06,2690.805264126558
2017-07,2676.478497397571
2017-08,2665.259286478927
2017-09,2733.890390493531
2017-10,2833.17352139521
2017-11,2822.481765270482
2017-12,2848.39440687663
2018-01,2901.4149973960702
2018-02,2839.859124515843
2018-03,2757.8901726461263
2018-04,2834.9363364652772
2018-05,2940.3305832304823
2018-06,2926.5235265912697
2018-07,3009.7674927020926
2018-08,3052.923605035383
2018-09,3072.991165363313
2018-10,2916.0338226252616
2018-11,2960.355121407915
2018-12,2724.4628821512133
2019-01,2929.4601577085123
2019-02,3031.1434793375265
2019-03,3114.497692328469
2019-04,3228.388068700554
2019-05,3057.218664569057
2019-06,3188.7139668086065
2019-07,3273.576224360319
2019-08,3234.9805617915736
2019-09,3339.0321936716614
2019-10,3352.3245700075086
2019-11,3477.699787323986
2019-12,3537.611804494017
2020-01,3545.8303114495966
2020-02,3287.384281583966
2020-03,2848.2544587729262
2020-04,3161.5101914676234
2020-05,3254.4837186380887
2020-06,3325.339417959312
2020-07,3328.568120484913
2020-08,3493.3055732739017
2020-09,3449.7967442659597
2020-10,3388.935728541487
2020-11,3708.4776352618164
2020-12,3795.126616440141
2021-01,3804.8752030991136
2021-02,3896.8649189772514
2021-03,4134.991577688
2021-04,4215.756861673269
2021-05,4217.694793861107
2021-06,4408.336717087475
2021-07,4441.682871241713
2021-08,4576.037661476154
2021-09,4471.109788141937
2021-10,4708.682881539302
2021-11,4727.028138322617
2021-12,4868.617858455534
2022-01,4695.3448365626955
2022-02,4566.606148655531
2022-03,4713.216694568122
2022-04,4573.929018341575
2022-05,4511.941940635004
2022-06,4232.150079917684
2022-07,4647.596976816926
2022-08,4541.058809701024
2022-09,4217.271912023632
2022-10,4439.006918959414
2022-11,4589.138583078492
2022-12,4251.348498782772
2023-01,4479.350746509986
2023-02,4458.873234135363
2023-03,4490.193156939279
2023-04,4484.706416245392
2023-05,4600.19169565113
2023-06,4758.873958592008
2023-07,4883.055823537458
