Date,FRONTIER MARKETS 100
2007-11,1655.2149753137246
2007-12,1762.832336820013
2008-01,1729.747845700257
2008-02,1761.204020661452
2008-03,1587.23710545565
2008-04,1694.5603285705572
2008-05,1704.4286397790613
2008-06,1658.9940023231254
2008-07,1631.9356097057528
2008-08,1588.7926226940401
2008-09,1443.638235709394
2008-10,1200.2684171878873
2008-11,1044.9763729047997
2008-12,848.3018605272222
2009-01,736.6292827454779
2009-02,698.6865213251409
2009-03,725.5668530964111
2009-04,809.4051072537696
2009-05,898.7938465780496
2009-06,928.0132229149361
2009-07,935.3064677937016
2009-08,979.451194318247
2009-09,985.9147665439216
2009-10,939.3684861556476
2009-11,865.2491061629236
2009-12,894.9326094074682
2010-01,898.0605949411455
2010-02,975.5293287418444
2010-03,1067.6923830044343
2010-04,1082.120251406498
2010-05,1061.3273180615379
2010-06,1055.0931559589276
2010-07,1055.5256157312713
2010-08,1091.828247690468
2010-09,1094.7935490249781
2010-10,1121.5699950159008
2010-11,1186.2895898649513
2010-12,1211.1773689200181
2011-01,1183.0430528471923
2011-02,1094.219438754851
2011-03,1077.6500589495456
2011-04,1087.7938233296713
2011-05,1074.4773979028591
2011-06,1058.3053280542126
2011-07,1038.7713717767574
2011-08,984.9479746930825
2011-09,1007.5701174475297
2011-10,994.3629406495558
2011-11,1000.0
2011-12,1018.4980062942506
2012-01,1019.7825369001978
2012-02,1025.0481468409023
2012-03,1052.3993016801965
2012-04,1042.3155074541912
2012-05,1058.214854463991
2012-06,1024.955921564146
2012-07,1066.5984123051976
2012-08,1062.213266455127
2012-09,1083.37980133294
2012-10,1066.4420311569706
2012-11,1083.0147467662318
2012-12,1089.1392337134487
2013-01,1133.211354111909
2013-02,1175.1899295201495
2013-03,1207.4646072087683
2013-04,1219.3247503694367
2013-05,1302.1308661425946
2013-06,1226.7512704295473
2013-07,1259.1629726842446
2013-08,1244.073970132442
2013-09,1253.5070095975495
2013-10,1280.4844495652158
2013-11,1303.0849037252783
2013-12,1316.488960355191
2014-01,1350.1206514815117
2014-02,1366.0178214811467
2014-03,1419.4991744600766
2014-04,1491.5369795372494
2014-05,1612.876411792375
2014-06,1498.5804233761116
2014-07,1610.0759065871869
2014-08,1618.6590813207843
2014-09,1717.3614131771153
2014-10,1657.6250792452415
2014-11,1600.348865380606
2014-12,1579.1905833552912
2015-01,1632.3450657635547
2015-02,1702.536017428621
2015-03,1755.7538534836149
2015-04,1738.7932866636806
2015-05,1705.5751942940694
2015-06,1669.3838120028865
2015-07,1637.6855892049819
2015-08,1517.7502202141754
2015-09,1488.490584517364
2015-10,1572.8668343903141
2015-11,1576.4019639364822
2015-12,1523.1390916860794
2016-01,1419.9109620316153
2016-02,1467.161045174431
2016-03,1441.7383484980687
2016-04,1482.1223361880675
2016-05,1556.0322808687358
2016-06,1520.6469285835892
2016-07,1529.032742625483
2016-08,1511.356576875004
2016-09,1549.0054657042417
2016-10,1583.51939609128
2016-11,1626.1621197428633
2016-12,1683.7810398924312
2017-01,1770.6090862257947
2017-02,1799.252680257317
2017-03,1847.3683120245366
2017-04,1833.4051709682476
2017-05,1859.2442743851957
2017-06,1830.6722818540443
2017-07,1803.4394201715177
2017-08,1848.326957198383
2017-09,1902.2124218388906
2017-10,1953.509167907615
2017-11,1946.3411250747258
2017-12,2001.158389208609
2018-01,2034.1256219062561
2018-02,2041.7451923271615
2018-03,2038.58512375631
2018-04,2012.9664794485066
2018-05,1890.1422468199512
2018-06,1827.6287638742208
2018-07,1887.7641061103138
2018-08,1808.123696621551
2018-09,1811.8612975984238
2018-10,1787.0791304043742
2018-11,1827.367357606169
2018-12,1749.2468009362012
2019-01,1838.8144536192808
2019-02,1868.9347157659668
2019-03,1921.2842760933577
2019-04,1930.8788086595564
2019-05,1976.0923793188604
2019-06,2010.0822130961485
2019-07,2102.318674435746
2019-08,2057.3824149953325
2019-09,2046.768596225502
2019-10,2014.3012245852028
2019-11,2094.925024414882
2019-12,2122.7091613220746
2020-01,2164.453967471131
2020-02,2038.8496638075662
2020-03,1594.1717363248654
2020-04,1697.7031418603933
2020-05,1750.0946280353457
2020-06,1763.1101815773377
2020-07,1672.6239646895256
2020-08,1801.9329321953237
2020-09,1845.7373677750068
2020-10,1882.1129230942945
2020-11,1929.7092805410134
2020-12,1990.0157768107083
2021-01,2061.3271129724494
2021-02,2049.2727931857507
2021-03,2138.194035179569
2021-04,2215.361542252942
2021-05,2263.9904580333396
2021-06,2403.4067011569246
2021-07,2408.1461360310823
2021-08,2499.585472703477
2021-09,2598.8161862046095
2021-10,2713.973469907517
2021-11,2685.076576316367
2021-12,2697.8660088039824
2022-01,2624.381459431739
2022-02,2566.7329765432637
2022-03,2589.8782633150363
2022-04,2655.7122944039825
2022-05,2440.1883860660478
2022-06,2356.1366146229184
2022-07,2459.508636951436
2022-08,2532.868119537556
2022-09,2363.489132048912
2022-10,2225.96145818398
2022-11,2254.954031585493
2022-12,2133.436069142386
2023-01,2187.5591394765393
2023-02,2176.633931333912
2023-03,2153.5333711431354
2023-04,2135.8849792878264
2023-05,2214.6349178288965
2023-06,2162.5150975659863
2023-07,2315.156496232695
