Date,AC ASIA PACIFIC
1998-12,100.0
1999-01,104.22241407148621
1999-02,105.51104201180017
1999-03,120.69480431380308
1999-04,132.41500106997424
1999-05,127.37383436182331
1999-06,142.2924264061781
1999-07,145.64715576030272
1999-08,147.01931105421147
1999-09,149.9652843202
1999-10,157.49292802913587
1999-11,173.21002604299656
1999-12,185.43847245148157
2000-01,183.30479525065215
2000-02,181.6853309281328
2000-03,194.49853970987556
2000-04,188.85362916477396
2000-05,174.94484821483593
2000-06,181.09535364026988
2000-07,169.86250704901826
2000-08,184.47102609140728
2000-09,173.75209259652382
2000-10,169.48169351449314
2000-11,159.0758586390827
2000-12,141.675123466463
2001-01,146.8790375068806
2001-02,141.7584306418773
2001-03,139.01370460275407
2001-04,146.2613836250486
2001-05,152.70332624889076
2001-06,146.28549296514706
2001-07,132.5840550964783
2001-08,125.19573493263182
2001-09,110.89860977761073
2001-10,114.32207283410656
2001-11,120.48631722348576
2001-12,118.42098961164452
2002-01,117.92326330120339
2002-02,120.57872808785427
2002-03,126.5068736965354
2002-04,126.93921703388668
2002-05,127.22705171617615
2002-06,114.23810486477674
2002-07,107.81735209261885
2002-08,106.96669700557274
2002-09,99.73577118403043
2002-10,96.87786308126653
2002-11,100.453957653132
2002-12,92.09355371858643
2003-01,88.17507227346825
2003-02,87.11821943487196
2003-03,83.22933975728938
2003-04,82.58990062137485
2003-05,82.69786408854685
2003-06,90.2904184487274
2003-07,96.15501567070075
2003-08,107.07082681481062
2003-09,105.42608987251305
2003-10,111.98403701918068
2003-11,106.23707795664512
2003-12,107.95658907371592
2004-01,112.43770317222405
2004-02,113.93417615965622
2004-03,124.17853181594326
2004-04,120.2988303637339
2004-05,114.67589459818427
2004-06,118.79374074597841
2004-07,115.02473201574098
2004-08,116.06142302905579
2004-09,114.0094138476949
2004-10,114.2243063093614
2004-11,116.29891171753549
2004-12,118.8051376560857
2005-01,122.48879622470668
2005-02,124.5413226801678
2005-03,123.37109805354076
2005-04,121.6137944521756
2005-05,127.36888625288051
2005-06,131.94528373330897
2005-07,135.12286704531166
2005-08,137.74973013877982
2005-09,152.54853287023974
2005-10,148.44283699589357
2005-11,158.32135468332282
2005-12,169.44373911284166
2006-01,174.2510367111116
2006-02,176.2862362880057
2006-03,177.3518680304358
2006-04,178.40954355325937
2006-05,163.6372346986156
2006-06,163.26990126042273
2006-07,163.3986957391181
2006-08,166.60991424416713
2006-09,168.14286482762904
2006-10,171.83356928370517
2006-11,170.75348293526557
2006-12,177.0874845742501
2007-01,179.99187268304877
2007-02,181.78512784466065
2007-03,181.72535549222042
2007-04,179.32871275714155
2007-05,187.1954939989958
2007-06,190.10065661131208
2007-07,191.62594747292383
2007-08,188.15936121238704
2007-09,194.2796954328768
2007-10,200.4585557779214
2007-11,187.0054364265267
2007-12,183.09738686364378
2008-01,164.57327084238094
2008-02,165.35609671245882
2008-03,150.4363383139141
