Date,EM ASIA ESG SCREENED
2012-05,1000.0
2012-06,998.1142458133689
2012-07,1052.5955675376085
2012-08,1022.3509354572251
2012-09,1074.338933806619
2012-10,1061.64982478086
2012-11,1091.4750775609145
2012-12,1114.0671032088237
2013-01,1094.8602056545408
2013-02,1138.4731886869647
2013-03,1131.8884997491089
2013-04,1122.2068696322765
2013-05,1135.6938259497301
2013-06,1066.4693917844263
2013-07,1058.636810339542
2013-08,1055.0751602194923
2013-09,1082.2321229261347
2013-10,1129.7566930534185
2013-11,1129.4618802563346
2013-12,1101.3440146852984
2014-01,1072.0392747594929
2014-02,1079.8452293338596
2014-03,1094.017550822842
2014-04,1089.7067553711215
2014-05,1152.2135091347104
2014-06,1180.7584666872785
2014-07,1250.3742623434132
2014-08,1285.6901536458608
2014-09,1266.6580341751496
2014-10,1297.8603663050899
2014-11,1309.6800659075511
2014-12,1325.9928798311848
2015-01,1458.622948835618
2015-02,1504.788675697734
2015-03,1580.0857145360496
2015-04,1622.6618087297568
2015-05,1615.075664297683
2015-06,1526.8094487950739
2015-07,1425.8085069372255
2015-08,1276.8400739966742
2015-09,1263.5451807846046
2015-10,1378.4653537120066
2015-11,1396.5008097285204
2015-12,1348.9617548184988
2016-01,1253.6654936188604
2016-02,1231.1672035064757
2016-03,1308.0919150183888
2016-04,1282.06327698484
2016-05,1303.3657446391408
2016-06,1342.3610781532457
2016-07,1400.8186563689435
2016-08,1466.6161079419073
2016-09,1475.0775744880114
2016-10,1489.9252629731525
2016-11,1489.3226222314615
2016-12,1476.1747347890605
2017-01,1526.6075424809655
2017-02,1610.170209792105
2017-03,1653.9993371194146
2017-04,1659.7768928450348
2017-05,1683.246366857613
2017-06,1691.7312022971187
2017-07,1732.6612922751704
2017-08,1744.0612810980758
2017-09,1756.4458183369284
2017-10,1877.6333354664075
2017-11,1836.5648329787978
2017-12,1874.3297955894072
2018-01,1953.2772561959234
2018-02,1888.9589533678368
2018-03,1849.7969081285169
2018-04,1884.1277631365842
2018-05,1924.911875989987
2018-06,1837.0715567665295
2018-07,1845.5813478357181
2018-08,1841.626867214457
2018-09,1815.023496922631
2018-10,1653.3308318677023
2018-11,1739.7676978908773
2018-12,1667.5685229802043
2019-01,1787.0053608800722
2019-02,1832.7596882954908
2019-03,1894.1702885038026
2019-04,1934.5178835783697
2019-05,1770.6933109537263
2019-06,1846.062602513299
2019-07,1861.4276604627767
2019-08,1813.114918929706
2019-09,1868.8046782466174
2019-10,1910.104352593542
2019-11,1946.1132924193657
2019-12,2050.7568858984105
2020-01,1984.927461058793
2020-02,1950.2725416533176
2020-03,1725.4788033477437
2020-04,1887.5637219168557
2020-05,1852.7192403132296
2020-06,1990.4302707428503
2020-08,2120.6302631543263
2020-09,2140.368344471762
2020-10,2227.167628586968
2020-11,2327.393851719111
2020-12,2435.859128376797
2021-01,2562.600786899139
2021-02,2587.8919084892173
2021-03,2592.5312212531694
2021-04,2592.959106248419
2021-05,2583.3171541610404
2021-06,2668.9815948213063
2021-07,2450.426760802679
2021-08,2523.485898613482
2021-09,2459.7599613845427
2021-10,2495.958261362287
2021-11,2471.665419323658
2021-12,2481.404644255581
2022-01,2429.53085878197
2022-02,2365.039559999402
2022-03,2309.8483271252157
2022-04,2308.893963324511
2022-05,2283.9304477458954
2022-06,2229.4017104718487
2022-07,2255.5047640679495
2022-08,2291.420623696447
2022-09,2038.7871376500566
2022-10,1899.6400607617554
2022-11,2172.643743145935
2022-12,2082.3888576445424
2023-01,2229.007265889636
2023-02,2123.637441075468
2023-03,2148.0027073497263
2023-04,2058.321873585001
2023-05,2113.2199802579257
2023-06,2121.7982759281854
2023-07,2228.9114618884555
