Date,FM (FRONTIER MARKETS)
2002-05,378.81944803894373
2002-06,366.59648232439804
2002-07,363.7320087396773
2002-08,375.970563976144
2002-09,360.391627623514
2002-10,362.66270114322106
2002-11,381.4538438907273
2002-12,375.3921988515486
2003-01,375.3052039837414
2003-02,364.6737569129282
2003-03,371.29943343217025
2003-04,399.12265662743465
2003-05,391.182185338332
2003-06,396.02358197102876
2003-07,420.4229568990656
2003-08,437.47915148735484
2003-09,441.9001240632534
2003-10,452.5830181780555
2003-11,452.5100343761306
2003-12,448.34540801974146
2004-01,468.4403371736348
2004-02,473.3921429746457
2004-03,455.98166103346284
2004-04,473.7480821232459
2004-05,470.3028686085591
2004-06,478.7277462821273
2004-07,494.9004526012988
2004-08,490.52602670288485
2004-09,493.56468401989105
2004-10,487.7509739956088
2004-11,500.6811877121613
2004-12,510.3647050450641
2005-01,568.558796979644
2005-02,637.7534523485651
2005-03,702.6923672777826
2005-04,760.4626997317306
2005-05,754.5594006614342
2005-06,904.8434547689785
2005-07,857.0084968903561
2005-08,935.7247869338205
2005-09,1033.490369249763
2005-10,1053.7553155683333
2005-11,1057.0622146216247
2005-12,1015.9192200228998
2006-01,977.5198971965737
2006-02,936.9376237514202
2006-03,894.2520381544115
2006-04,845.7018486524191
2006-05,779.1620630739411
2006-06,763.9550396733323
2006-07,760.058074537439
2006-08,813.0309524153668
2006-09,827.2399165663667
2006-10,857.996653603616
2006-11,769.4232100905488
2006-12,828.256076027899
2007-01,859.6445087825164
2007-02,871.8107448148926
2007-03,888.1751955629393
2007-04,898.4312677299525
2007-05,994.2710377613467
2007-06,1019.4829517634199
2007-07,1022.5741450972941
2007-08,1010.0061495234229
2007-09,1003.8352389002273
2007-10,1030.6721034656791
2007-11,1000.0
2007-12,1061.251406659444
2008-01,1037.2764194988113
2008-02,1056.2090009684969
2008-03,962.0962894519096
2008-04,1012.709528279249
2008-05,1017.1412415029814
2008-06,988.8734590289068
2008-07,970.2260834800851
2008-08,943.0260167514089
2008-09,855.8391126335864
2008-10,712.5839719605556
2008-11,623.5876165447827
2008-12,512.3240391384677
2009-01,454.0950369450027
2009-02,427.68395872827523
2009-03,442.8203353872845
2009-04,492.6487407318422
2009-05,545.8128286346976
2009-06,566.2256317876402
2009-07,570.5535351576835
2009-08,595.794617859203
2009-09,602.297837351585
2009-10,579.1081713629728
2009-11,535.5189914236444
2009-12,554.5594041272301
2010-01,560.3001333216087
2010-02,602.4302027532996
2010-03,655.3010548931258
2010-04,667.2795540369019
2010-05,656.9416675323995
2010-06,653.8309582012691
2010-07,650.9185345532328
2010-08,670.00076840655
2010-09,670.4336569764025
2010-10,685.1803957565579
2010-11,725.1699118780423
2010-12,736.8238829040307
2011-01,721.0822655818723
2011-02,668.0943557156738
2011-03,658.8492438036895
2011-04,661.0115142468071
2011-05,656.1888854094499
2011-06,644.9827661971593
2011-07,634.5755222026129
2011-08,600.9177199513763
2011-09,613.0871195879242
2011-10,602.7600635762077
2011-11,606.1223941683185
2011-12,621.48871473831
2012-01,619.7917000986108
2012-02,621.6862700106304
2012-03,639.822453190943
2012-04,638.4885338397754
2012-05,646.5271462383532
2012-06,627.345550963136
2012-07,653.2346583153534
2012-08,651.1796044438327
2012-09,664.7535372396923
2012-10,655.4987806438004
2012-11,663.91364023541
2012-12,668.5447584318996
2013-01,697.8869341081148
2013-02,724.3325539032246
2013-03,742.9620091949006
2013-04,750.6295370775306
2013-05,802.2713656516634
2013-06,755.776100899918
2013-07,778.2354887200157
2013-08,765.920121442131
2013-09,771.7587331317118
2013-10,787.3451182053512
2013-11,800.1838724716021
2013-12,808.0019483639924
2014-01,832.6814085224472
2014-02,841.4527045287203
2014-03,868.6883764612987
2014-04,913.044022922153
2014-05,984.598996808996
2014-06,980.2447886993563
2014-07,1020.6247806150828
2014-08,1027.4773906118542
2014-09,1079.15261780479
2014-10,1040.122992804382
2014-11,997.5808867444671
2014-12,986.446788162329
2015-01,1014.6391957654629
2015-02,1050.749022435777
2015-03,1078.8066873809055
2015-04,1073.1643934823717
2015-05,1058.5831765535283
2015-06,1041.0013979973696
2015-07,1019.3191091603944
2015-08,947.5887120162942
2015-09,930.0028784343484
2015-10,974.2716694593273
2015-11,973.967521623827
2015-12,944.1711017653329
2016-01,883.0306873133378
2016-02,910.1434893789841
2016-03,893.2662436965066
2016-04,916.2832743338739
2016-05,952.9555483474671
2016-06,922.0434424455206
2016-07,927.6129144189316
2016-08,920.9142179386868
2016-09,936.4328440615615
2016-10,956.273425493306
2016-11,970.7171822417674
2016-12,1003.1075333620363
2017-01,1044.2344243770656
2017-02,1058.2165871271404
2017-03,1078.7775816937049
2017-04,1072.3512930286304
2017-05,1083.3901973971963
2017-06,1075.018807618164
2017-07,1062.0876286059338
2017-08,1092.208293133841
2017-09,1121.1477833659671
2017-10,1151.6962384115498
2017-11,1138.4464342697174
2017-12,1165.9025561991336
2018-01,1188.255169837433
2018-02,1195.8088455676157
2018-03,1197.00267389942
2018-04,1180.5909937818037
2018-05,1110.0099527546356
2018-06,1070.8052973757533
2018-07,1107.9246937190617
2018-08,1054.1949523209805
2018-09,1055.6113521257398
2018-10,1043.8772920111783
2018-11,1067.342323812433
2018-12,1026.249828439241
2019-01,1071.0282564277597
2019-02,1087.9535567798785
2019-03,1116.9137615921684
2019-04,1121.68278450878
2019-05,1153.4597071949006
2019-06,1155.2436694662304
2019-07,1211.507640607773
2019-08,1205.4127295689998
2019-09,1194.1701316935967
2019-10,1176.3972229887584
2019-11,1206.7017589920017
2019-12,1236.7932685439114
2020-01,1252.0146066937043
2020-02,1188.8808237618393
2020-03,929.0552686326638
2020-04,993.4665475534613
2020-05,1034.6162564017025
2020-06,1041.967434262523
2020-07,983.3771728233038
2020-08,1053.0170774485891
2020-09,1081.9779198662986
2020-10,1100.7556713555728
2020-11,1115.8525536448424
2020-12,1153.3711646099407
2021-01,1166.0310567853837
2021-02,1168.6652312679237
2021-03,1210.915008656137
2021-04,1263.8741830426407
2021-05,1294.8233513489192
2021-06,1370.7346619790762
2021-07,1367.3254285248333
2021-08,1408.1143785538036
2021-09,1451.4710636599991
2021-10,1512.0539758253478
2021-11,1483.2590431617011
2021-12,1490.1942075841023
2022-01,1458.424950622753
2022-02,1391.5607056354054
2022-03,1403.9814077439821
2022-04,1440.7652620289393
2022-05,1329.1017342510415
2022-06,1289.5657569987309
2022-07,1339.6541180822567
2022-08,1383.5251333644721
2022-09,1288.9076963769264
2022-10,1222.7802476801671
2022-11,1235.192048015503
2022-12,1174.2163271283712
2023-01,1205.8593242477998
2023-02,1204.373256563938
2023-03,1190.1127660065665
2023-04,1177.6124381649242
2023-05,1213.0886341679152
2023-06,1212.5882854231527
2023-07,1284.9263064171973
