Date,EM VOTING RIGHTS-ADJUSTED
2021-05,1368.4430035925586
2021-06,1410.259695974992
2021-07,1325.594230598677
2021-08,1367.8050696389428
2021-09,1340.8909387218216
2021-10,1354.1430212515843
2021-11,1335.5970587256616
2021-12,1352.4704591658344
2022-01,1346.0318648152252
2022-02,1305.7826290090954
2022-03,1289.552840197187
2022-04,1283.8937745700937
2022-05,1267.3690953486855
2022-06,1208.2204330574389
2022-07,1239.7885370537258
2022-08,1261.784410007852
2022-09,1144.573799349783
2022-10,1104.752914781043
2022-11,1214.875898787647
2022-12,1155.2844878022408
2023-01,1223.8861125670862
2023-02,1174.860930447799
2023-03,1182.4788049617202
2023-04,1153.6745572314223
2023-05,1176.887946188296
2023-06,1190.919891451482
2023-07,1249.1259114936488
