Date,ACWI ex SWEDEN
2015-12,2327.898235042483
2016-01,2197.0847730471733
2016-02,2173.7433104542315
2016-03,2227.6921410258674
2016-04,2250.2884157801486
2016-05,2320.6401148678433
2016-06,2313.445493389029
2016-07,2398.216341557538
2016-08,2416.9194389086583
2016-09,2410.7192675028173
2016-10,2430.8615245434653
2016-11,2532.4496996753305
2016-12,2602.494118644884
2017-01,2609.298081264539
2017-02,2730.1189622624865
2017-03,2746.648555691559
2017-04,2740.1971097602973
2017-05,2714.2731529482603
2017-06,2689.2753997896675
2017-07,2675.7375546517487
2017-08,2664.6429777361636
2017-09,2732.2316886265044
2017-10,2831.5277653096664
2017-11,2822.669813876327
2017-12,2849.4250340029553
2018-01,2902.0222330678466
2018-02,2841.11099968113
2018-03,2758.9662895668307
2018-04,2837.284494914907
2018-05,2943.3811517171416
2018-06,2927.9834007585187
2018-07,3010.21250918043
2018-08,3052.875290958288
2018-09,3072.061762556673
2018-10,2914.557936133106
2018-11,2961.349081230492
2018-12,2726.8183139683733
2019-01,2932.4378611952907
2019-02,3035.603675884603
2019-03,3119.3193887551815
2019-04,3231.822503253604
2019-05,3061.0536741990554
2019-06,3192.168221694093
2019-07,3276.967393109818
2019-08,3236.5121542183847
2019-09,3339.1130841750664
2019-10,3352.01387145409
2019-11,3476.3778981646133
2019-12,3536.034879764977
2020-01,3543.439809864251
2020-02,3287.0428016165515
2020-03,2848.482817470476
2020-04,3161.261151501005
2020-05,3249.308980067072
2020-06,3322.2400344706875
2020-07,3322.4837560296673
2020-08,3487.682489844272
2020-09,3442.8446948399646
2020-10,3383.1562105311596
2020-11,3700.6276709052772
2020-12,3787.7162428432475
2021-01,3797.338589419921
2021-02,3889.7804714102795
2021-03,4125.381698959253
2021-04,4205.499337312764
2021-05,4206.381336894451
2021-06,4396.831758034015
2021-07,4427.0192670593115
2021-08,4561.443879580776
2021-09,4456.765003733714
2021-10,4691.969073368327
2021-11,4710.822516357978
2021-12,4849.466238193209
2022-01,4681.4004683689
2022-02,4555.370074069353
2022-03,4700.666497758431
2022-04,4562.489575820869
2022-05,4501.79321094347
2022-06,4228.4072260397415
2022-07,4638.128436855549
2022-08,4534.460039381239
2022-09,4210.509447852944
2022-10,4426.064554116441
2022-11,4578.8158089439785
2022-12,4244.16681293372
2023-01,4470.610218577329
2023-02,4446.747245559715
2023-03,4478.542605623666
2023-04,4471.659021124046
2023-05,4587.338440678199
2023-06,4745.676220417282
2023-07,4870.079262689412
