Date,EASEA INDEX (EAFE ex JAPAN)
1998-12,100.0
1999-01,102.85125555776818
1999-02,103.83939733836178
1999-03,107.2857904248366
1999-04,113.90546613498843
1999-05,109.80543949885343
1999-06,113.55361466795368
1999-07,110.28340017042535
1999-08,112.59070921052029
1999-09,110.73895551142343
1999-10,116.19184541608973
1999-11,125.13588037584636
1999-12,138.38249711165471
2000-01,131.71170739071
2000-02,140.2431642396719
2000-03,144.3665762054581
2000-04,144.97150326116412
2000-05,140.3900020370375
2000-06,139.7539485312107
2000-07,142.42673208142207
2000-08,147.02158766783225
2000-09,140.98879100924077
2000-10,145.15087712261763
2000-11,136.26281545089023
2000-12,134.92049036491375
2001-01,136.60033466068222
2001-02,126.60321088926047
2001-03,121.49920564560742
2001-04,129.72881077694862
2001-05,129.6358238646638
2001-06,125.34656452899253
2001-07,121.2831652997637
2001-08,113.88603907171918
2001-09,101.82511860157477
2001-10,106.44557594514147
2001-11,111.84758844618986
2001-12,115.43006559810348
2002-01,113.80839936263047
2002-02,113.11720128281718
2002-03,118.17783670109151
2002-04,113.75245580899544
2002-05,109.74286572446908
2002-06,100.09366026040456
2002-07,90.06043186686608
2002-08,90.0762979611839
2002-09,78.1833941451813
2002-10,85.25022117428782
2002-11,88.84363148057945
2002-12,81.21595503851353
2003-01,76.06042756463222
2003-02,73.4383517803029
2003-03,71.68394252335838
2003-04,79.07351702149661
2003-05,79.8794540651612
2003-06,82.86672336267998
2003-07,86.25285941244438
2003-08,88.68693697549068
2003-09,85.50879336420698
2003-10,91.43057145051881
2003-11,92.04289522619283
2003-12,94.52013718079127
2004-01,97.23231669739309
2004-02,100.1722361667152
2004-03,98.43892363255587
2004-04,99.73172272212494
2004-05,99.47916826113583
2004-06,101.1212706156413
2004-07,99.7548043891535
2004-08,99.20215581619999
2004-09,101.10477399135443
2004-10,102.31577027561582
2004-11,105.21484505187149
2004-12,107.18353256439894
2005-01,109.87697421428163
2005-02,113.2821263181307
2005-03,112.69191995026674
2005-04,111.01357395981968
2005-05,116.58125143380786
2005-06,121.0198396712482
2005-07,125.0237155741101
2005-08,125.14989699711317
2005-09,131.20078708999336
2005-10,127.51606840292578
2005-11,132.01319732322912
2005-12,136.39810366899522
2006-01,141.14444708476952
2006-02,143.77294233841627
2006-03,146.76195296358836
2006-04,148.76645869851345
2006-05,141.61324865066229
2006-06,142.841142227511
2006-07,145.276618728047
2006-08,149.44722038146182
2006-09,152.13604302295255
2006-10,157.8864302371184
2006-11,157.66803967729982
2006-12,163.78416237937512
2007-01,167.2630743951414
2007-02,164.35060482635325
2007-03,169.26035574105617
2007-04,175.69009235709493
2007-05,181.65958826261075
2007-06,181.50114354280527
2007-07,175.83018431068587
2007-08,174.51138285868512
2007-09,177.6343476530096
2007-10,183.46830571265517
2007-11,174.28371132656034
2007-12,171.80705339405586
2008-01,152.03491290716408
2008-02,150.75268962982716
2008-03,144.10677324885796
2008-04,154.17951547470312
2008-05,155.71363864757004
2008-06,140.50746761149895
2008-07,137.42247654946928
2008-08,139.7526699067316
2008-09,124.05373404253375
2008-10,107.58843266996276
2008-11,100.38757530542613
2008-12,96.52046280257085
2009-01,93.37286728583325
2009-02,85.29740076721936
2009-03,87.97763038523792
2009-04,100.5300786167289
2009-05,105.92085447211689
2009-06,105.55567389795783
2009-07,115.59149146399407
2009-08,120.94365554147309
2009-09,125.23632016026612
2009-10,122.94957748092867
2009-11,124.27193780124765
2009-12,132.16589623970282
2010-01,128.18847567241053
2010-02,129.01151908271012
2010-03,138.79698772295663
2010-04,138.1596359994319
2010-05,131.2415655197322
2010-06,130.60910614622182
2010-07,136.66172078963552
2010-08,135.43131252222074
2010-09,140.34238494999812
2010-10,143.41723487583184
2010-11,143.02558720843717
2010-12,150.22312598546594
2011-01,151.42084576123028
2011-02,154.77495888569692
2011-03,150.27745080949248
2011-04,154.57144857773585
2011-05,154.59610479757777
