Date,EUROPE ex EMU
1998-12,100.0
1999-01,102.68319508154585
1999-02,106.39583715644223
1999-03,110.40426543511472
1999-04,116.35362511555542
1999-05,111.98443026608884
1999-06,113.84865596082848
1999-07,112.30421866448678
1999-08,113.51208883683523
1999-09,111.37810988582825
1999-10,116.40733108243784
1999-11,123.47786876864609
1999-12,131.6181228490247
2000-01,123.42911603507478
2000-02,125.35620545967485
2000-03,133.71016674382477
2000-04,135.06589948981136
2000-05,130.6361263787961
2000-06,128.01211402443622
2000-07,132.64373051653462
2000-08,138.75934631031222
2000-09,133.7759861943081
2000-10,139.05261492912922
2000-11,129.7100755028645
2000-12,128.60639618886503
2001-01,129.10789339950898
2001-02,120.80078169589018
2001-03,116.51110553817065
2001-04,123.18306766649822
2001-05,125.11361676278295
2001-06,120.68810434968175
2001-07,116.78878066570876
2001-08,111.08747991679685
2001-09,103.03354205624989
2001-10,106.09562146382235
2001-11,109.90984791214777
2001-12,113.06955026252578
2002-01,111.26464368962745
2002-02,111.28071573714608
2002-03,115.85875543949275
2002-04,112.34413275708094
2002-05,108.06823282077731
2002-06,98.17558235924089
2002-07,90.57953019047811
2002-08,89.8706129179216
2002-09,80.2930622249017
2002-10,85.83281282854563
2002-11,88.47918774080462
2002-12,81.63374582329854
2003-01,75.05836858386061
2003-02,72.88505383508665
2003-03,71.9215544728509
2003-04,78.32868613540916
2003-05,78.88253591737147
2003-06,81.2928601650525
2003-07,84.27999016256692
2003-08,86.08222403445842
2003-09,84.10650817310997
2003-10,89.3412292445981
2003-11,89.5994167937547
2003-12,91.62506585453784
2004-01,93.63297173957795
2004-02,97.28004735516137
2004-03,96.05323970764132
2004-04,98.25726510923688
2004-05,98.28106223275711
2004-06,99.0325600205331
2004-07,98.34279427950152
2004-08,97.7666211573877
2004-09,99.09503884388158
2004-10,98.86544875677414
2004-11,101.44284271260592
2004-12,102.52941420378923
2005-01,105.26308110276166
2005-02,108.84107784086288
2005-03,108.31064529406932
2005-04,107.92833134681946
2005-05,112.50057669654579
2005-06,116.02202744835799
2005-07,118.5534536557568
2005-08,120.08558975495826
2005-09,125.19846392560746
2005-10,122.93250902365257
2005-11,126.31994470053742
2005-12,130.1632851589954
2006-01,133.98929571149336
2006-02,135.4878582575862
2006-03,138.08991219369068
2006-04,140.71107540077634
2006-05,134.460136474854
2006-06,135.82955290167007
2006-07,139.03029353980227
2006-08,142.1340276845104
2006-09,143.82534935385485
2006-10,149.43616953629822
2006-11,148.1452374010072
2006-12,153.30144191482975
2007-01,156.3917084279068
2007-02,152.66186956625123
2007-03,156.81910907896696
2007-04,161.71098116983555
2007-05,165.59909221311273
2007-06,165.60645342184895
2007-07,160.2590328124909
2007-08,159.02564442391414
2007-09,158.9404502606555
2007-10,163.185818189948
2007-11,153.61540422112856
2007-12,150.01284210645457
2008-01,134.91745723526873
2008-02,134.09554926959026
2008-03,127.41915046328924
2008-04,136.23815429042827
2008-05,136.78694680287862
2008-06,125.82122502514054
2008-07,122.87670784993435
2008-08,125.88352139089582
2008-09,112.53034156191758
2008-10,101.66454146968378
2008-11,94.34832170399763
2008-12,86.82737801100369
2009-01,86.80020262911717
2009-02,80.08804428677715
2009-03,80.65228278401352
2009-04,90.85715823017318
2009-05,95.77265006399942
2009-06,95.4540420310134
2009-07,104.16074796068742
2009-08,108.83268670522028
2009-09,110.0421084865733
2009-10,110.41416280446094
2009-11,111.17631620821412
2009-12,118.69569439387841
2010-01,117.43296649778657
2010-02,119.1101240083964
2010-03,127.54082158622552
2010-04,128.2600874183968
2010-05,123.37474851481316
2010-06,123.29290482302856
2010-07,128.00098900876566
2010-08,129.30080005856757
2010-09,131.44872345061336
2010-10,133.2790746119737
2010-11,135.83019631658829
2010-12,142.7082680721344
2011-01,141.72830775367746
2011-02,146.10063978987486
2011-03,139.9969803736237
2011-04,144.37708011910362
2011-05,146.92209138244738
2011-06,140.53242339567555
2011-07,140.96920116402882
2011-08,129.93194244848587
2011-09,125.52753733450749
2011-10,134.6258177706841
2011-11,134.63907857935607
2011-12,139.9543066287271
2012-01,143.66591617142277
2012-02,149.38667558958488
2012-03,149.2724494999878
2012-04,150.93928898467226
2012-05,142.92992457760116
2012-06,149.14620857303726
2012-07,156.82354692827104
2012-08,157.70375319509716
2012-09,158.63810075350725
2012-10,158.66746593582107
2012-11,161.49136079873202
2012-12,162.60218407694782
2013-01,166.89509241038945
2013-02,170.93109268336207
2013-03,175.81856980919417
2013-04,177.17322286126918
2013-05,178.85580189625367
2013-06,170.2208706782839
2013-07,177.24339554568093
2013-08,176.9236019886511
2013-09,182.50737721300925
2013-10,187.14518372093562
2013-11,188.64760059689627
2013-12,190.9061211247873
2014-01,188.26377853760548
2014-02,197.33154058268468
2014-03,194.0288252031871
2014-04,199.3136447516923
2014-05,204.4416567675423
2014-06,204.24787166171348
2014-07,204.36515507240236
2014-08,209.15291527698886
2014-09,209.10264264712512
2014-10,206.51627879217955
2014-11,210.32781992886092
2014-12,208.93640084787225
2015-01,223.74862878178993
2015-02,238.58564461932227
2015-03,240.16169938979232
2015-04,243.61017833595292
2015-05,249.26568607224831
2015-06,236.28219578161836
2015-07,244.31261835640015
2015-08,223.78970132236915
2015-09,214.8072098792334
2015-10,229.97939179815515
2015-11,235.59832395691626
