Date,EM WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1089.1530474695555
2010-04,1122.0729075269405
2010-05,1105.7266632622038
2010-06,1099.3817806000086
2010-07,1123.6756645058078
2010-08,1129.7245089429393
2010-09,1168.5346261379964
2010-10,1181.0211252901468
2010-11,1236.1348234209272
2010-12,1287.32226752905
2011-01,1235.0207971933305
2011-02,1212.9040610366612
2011-03,1246.977702569893
2011-04,1235.1314786350251
2011-05,1241.2667580643092
2011-06,1208.8165267067163
2011-07,1218.3979758165656
2011-08,1108.2746306235063
2011-09,1013.6380898152436
2011-10,1101.9025445583
2011-11,1074.2430175856425
2011-12,1104.5072535357108
2012-01,1209.081965788139
2012-02,1253.1167055303476
2012-03,1221.5677597296824
2012-04,1219.707879635817
2012-05,1161.0851592139077
2012-06,1175.923879809196
2012-07,1235.8788292260256
2012-08,1204.0676981751692
2012-09,1248.8600488075456
2012-10,1234.0159831891601
2012-11,1244.3677527140512
2012-12,1292.3599982721546
2013-01,1267.2790496191346
2013-02,1303.7226235066169
2013-03,1304.099626569669
2013-04,1276.464217903811
2013-05,1267.2826987190688
2013-06,1187.6294321436203
2013-07,1180.581006121409
2013-08,1175.455087060803
2013-09,1216.0522989910116
2013-10,1265.8504905666612
2013-11,1252.2468142430307
2013-12,1219.2228936818753
2014-01,1163.3622296287049
2014-02,1175.5180905977577
2014-03,1204.2713431697987
2014-04,1203.0102199375522
2014-05,1263.0456808102608
2014-06,1289.1864920635576
2014-07,1348.9425933729763
2014-08,1397.067619578559
2014-09,1352.3875160482044
2014-10,1376.7116094534658
2014-11,1369.3191770294764
2014-12,1353.625607213507
2015-01,1453.517591138501
2015-02,1509.7266306976692
2015-03,1559.7359152620897
2015-04,1622.7637722262436
2015-05,1589.3793535233315
2015-06,1515.5241348877591
2015-07,1415.7184749050705
2015-08,1272.7288574546992
2015-09,1237.8728406004993
2015-10,1346.9901046329505
2015-11,1354.7672815128549
2015-12,1282.2890058033806
2016-01,1204.7758872416885
2016-02,1201.3704649690187
2016-03,1293.2895689109234
2016-04,1292.2765226117601
2016-05,1278.043970000442
2016-06,1329.2715776458028
2016-07,1383.244918128947
2016-08,1427.3460495115626
2016-09,1436.5632255964272
2016-10,1472.3689062302128
2016-11,1460.2859315537112
2016-12,1469.8342018056192
2017-01,1512.9158854762593
2017-02,1581.0755444335998
2017-03,1610.6795190142273
2017-04,1615.3485795620763
2017-05,1618.198247420178
2017-06,1617.2127814621897
2017-07,1654.0017380044576
2017-08,1679.2528492324514
2017-09,1683.7141823021027
2017-10,1768.1493830383029
2017-11,1733.6654244727174
2017-12,1784.4485494958824
2018-01,1867.6103288467054
2018-02,1822.8262622335847
2018-03,1777.264834655966
2018-04,1796.6365472932575
2018-05,1800.2538196199603
2018-06,1723.494503615949
2018-07,1749.9203972012463
2018-08,1713.50345060278
2018-09,1718.2862835345743
2018-10,1594.539117470417
2018-11,1655.5248492822925
2018-12,1591.879815197741
2019-01,1736.0565528743716
2019-02,1755.7116764729858
2019-03,1787.88953564904
2019-04,1833.8627404933902
2019-05,1690.2193750233646
2019-06,1769.8217493623704
2019-07,1791.1906577367918
2019-08,1721.8465462500112
2019-09,1770.8939791665612
2019-10,1799.5496968834311
2019-11,1822.3009739026772
2019-12,1932.6188595088847
2020-01,1858.7338141708096
2020-02,1785.6095729120034
2020-03,1541.0671005681177
2020-04,1677.4047220300174
2020-05,1665.8540410367723
2020-06,1773.3757218018568
2020-07,1831.4995499715806
2020-08,1856.3506019282174
2020-09,1864.9927570703621
2020-10,1922.0395144108386
2020-11,2043.1433694228135
2020-12,2138.9506383326207
2021-01,2239.1761260912976
2021-02,2254.050274079982
2021-03,2285.6648373103035
2021-04,2293.565526352386
2021-05,2296.4111499607875
2021-06,2374.1043226141483
2021-07,2198.42659843695
2021-08,2248.5082913855294
2021-09,2191.579497218828
2021-10,2229.20004970499
2021-11,2193.816636468149
2021-12,2216.3539044869626
2022-01,2200.040221709477
2022-02,2119.8193652720906
2022-03,2087.9291029275905
2022-04,2070.218609435739
2022-05,2064.0692230903815
2022-06,1984.2055321073974
2022-07,2004.4944184258898
2022-08,2025.4434053501816
2022-09,1816.4890870851198
2022-10,1723.6077555108996
2022-11,1941.088583240671
2022-12,1856.5323860385845
2023-01,1999.6855114463044
2023-02,1912.5870186457455
2023-03,1929.5932534162744
2023-04,1859.0697780275457
2023-05,1878.930441455077
2023-06,1898.6513490561272
2023-07,2007.305037586561
