Date,EM LATIN AMERICA
1998-12,100.0
1999-01,91.15611435665777
1999-02,100.32116715024283
1999-03,122.74474601562419
1999-04,143.3002394115953
1999-05,140.8312634130772
1999-06,149.198190807518
1999-07,132.69818545733392
1999-08,130.40527038530922
1999-09,131.45317419893956
1999-10,136.1947564139113
1999-11,160.09801781961613
1999-12,186.1387229269694
2000-01,182.55114723691005
2000-02,199.74691082877243
2000-03,202.63511175864915
2000-04,189.8246589677744
2000-05,177.42297825259593
2000-06,187.3416438788296
2000-07,189.78001041253518
2000-08,202.56771059448766
2000-09,192.0534442136873
2000-10,192.93563604584946
2000-11,170.6328149687615
2000-12,165.79809709599422
2001-01,191.7394889573364
2001-02,176.62799828674727
2001-03,172.28932791950015
2001-04,182.83956260837036
2001-05,196.9740978600477
2001-06,195.20229812896906
2001-07,178.23960883689742
2001-08,165.7202499482482
2001-09,138.9601749956439
2001-10,146.07387715983197
2001-11,155.78111622635055
2001-12,174.14419250468293
2002-01,179.93928809228152
2002-02,185.2320900763248
2002-03,192.17131859923853
2002-04,183.51387504234202
2002-05,163.46222839407056
2002-06,133.7972567899807
2002-07,113.94666400889707
2002-08,124.32284467052465
2002-09,100.9986436862481
2002-10,114.74349139463408
2002-11,118.31076184517035
2002-12,114.5812707141606
2003-01,107.97875413914099
2003-02,105.2817745872377
2003-03,110.39885193323725
2003-04,126.7397242161514
2003-05,124.0360277167191
2003-06,130.1619436528634
2003-07,139.2703214343232
2003-08,148.6719931578043
2003-09,144.75720116901456
2003-10,156.15013485722747
2003-11,156.97416051341375
2003-12,165.54162147773965
2004-01,169.4125217725575
2004-02,177.46734689062222
2004-03,182.00959694280547
2004-04,167.00271581595587
2004-05,162.8777253071777
2004-06,169.04796685024272
2004-07,177.1686064369669
2004-08,183.48149677313896
2004-09,193.93466966938857
2004-10,195.30933123979742
2004-11,202.89748317289948
2004-12,214.48000184759272
2005-01,219.71801929965625
2005-02,243.992706139352
2005-03,229.42118479035787
2005-04,224.0827731103519
2005-05,251.39650984940735
2005-06,268.6013482793478
2005-07,285.5177156973767
2005-08,297.7432394745496
2005-09,351.38060909384484
2005-10,335.0902262398246
2005-11,368.1029540390886
2005-12,371.7660065107577
2006-01,423.82066750946734
2006-02,435.65169034974673
2006-03,419.2093284472885
2006-04,434.8639503891554
2006-05,367.2360942521783
2006-06,384.59390339023673
2006-07,396.7437086085913
2006-08,399.44261136201897
2006-09,406.85564984010415
2006-10,435.43453768965105
2006-11,443.5860770380811
2006-12,477.1561383291294
2007-01,492.5969126024199
2007-02,471.5513430342133
2007-03,501.37628520244175
2007-04,515.6074282716893
2007-05,578.5027694413856
2007-06,592.092447324959
2007-07,592.6224328469283
2007-08,577.7525338751897
2007-09,622.9594606285924
2007-10,685.7306378801718
2007-11,637.3273587714954
2007-12,648.438558253294
2008-01,600.557922219248
2008-02,637.3761570466237
2008-03,589.9763114060929
2008-04,659.6554750242129
2008-05,722.8239541943753
2008-06,658.367096976705
2008-07,607.6825099026581
2008-08,590.7529946536553
2008-09,497.9418632748153
2008-10,377.3237195988419
2008-11,352.7014412624187
2008-12,332.2660256348459
2009-01,359.5993114417277
2009-02,343.86749156832894
2009-03,365.04171289671547
2009-04,429.5941036852031
2009-05,485.3248439353496
2009-06,478.9025560783763
2009-07,516.633022250908
2009-08,521.3312876466289
2009-09,573.397086073913
2009-10,577.544171381867
2009-11,615.499537754226
2009-12,657.331233026018
2010-01,618.3299652906755
2010-02,656.228696887486
2010-03,708.6225969828049
2010-04,718.7259130073263
2010-05,711.8945770562666
2010-06,689.3037940663263
2010-07,725.3707748843093
2010-08,727.3198435502756
2010-09,748.2961630777479
2010-10,758.6943048004739
2010-11,782.5149666374048
2010-12,807.6560275822658
2011-01,755.2751608538276
2011-02,764.4479215671533
2011-03,770.6768326850896
2011-04,740.9571077590074
2011-05,744.3458962311429
2011-06,735.6208641999859
2011-07,717.0051026215964
2011-08,677.3093704217927
2011-09,600.064817909907
2011-10,678.367309969616
2011-11,661.0774106455262
2011-12,674.8586903955965
2012-01,753.7917986712687
2012-02,775.6950972253018
2012-03,754.2315480797066
2012-04,730.6778284995979
2012-05,679.6720978512235
2012-06,687.9470040305586
2012-07,718.3933339121127
2012-08,698.2349725327787
2012-09,710.5547518378545
2012-10,702.7227600602471
2012-11,688.6533051279055
2012-12,723.6177273623383
2013-01,729.1888743393079
2013-02,736.2633224012127
2013-03,749.7921088688443
2013-04,728.5130600874463
2013-05,690.1810793424265
2013-06,626.2530926547366
2013-07,606.885199164527
2013-08,592.0764185559018
2013-09,626.2694979774758
2013-10,653.5342085493212
2013-11,623.5931219868866
2013-12,601.2732902579867
2014-01,556.3503547691898
2014-02,553.2961792218183
2014-03,603.4900728143341
2014-04,616.4524998153842
2014-05,626.1506559555872
2014-06,649.9479569755289
2014-07,672.1044712479858
2014-08,737.0853116163418
2014-09,666.1079001399465
2014-10,670.8835064928574
2014-11,643.3065625982832
2014-12,602.3385615089896
2015-01,606.0142836057931
2015-02,635.5047463554671
2015-03,614.2259116883465
2015-04,649.489300504728
2015-05,617.259720313256
2015-06,613.4524065223379
2015-07,567.0011595935141
2015-08,500.3807888163971
2015-09,463.82201373747523
2015-10,497.332477441194
2015-11,498.4933730239489
2015-12,464.17764105348164
2016-01,444.64832537302163
