Date,BRIC WITH BRAZIL + INDIA + RUSSIA DR
2010-02,1000.0
2010-03,1077.3924158744514
2010-04,1089.5691938461066
2010-05,1075.842432418205
2010-06,1067.8725810839385
2010-07,1084.9566885272682
2010-08,1077.1463310722722
2010-09,1103.5451350654664
2010-10,1113.684020290172
2010-11,1161.8605653243062
2010-12,1177.0094852983611
2011-01,1133.3468686312954
2011-02,1137.8602373412498
2011-03,1163.0289922490406
2011-04,1117.5223249629362
2011-05,1124.150848489089
2011-06,1094.9467120993459
2011-07,1087.8963014434844
2011-08,981.8018994077419
2011-09,867.4246221256133
2011-10,969.7191217074791
2011-11,939.61645991387
2011-12,958.9720935044653
2012-01,1069.7843447634853
2012-02,1111.8673790802945
2012-03,1047.3625810923966
2012-04,1044.622171389041
2012-05,968.8789954174957
2012-06,977.4054335177366
2012-07,1018.2059414320385
2012-08,984.8158546354907
2012-09,1023.6570848041935
2012-10,1033.5746334164548
2012-11,1032.7063333067092
2012-12,1080.9720347842467
2013-01,1090.0785894980281
2013-02,1083.24957681464
2013-03,1067.9694934091879
2013-04,1047.9301979110892
2013-05,1033.3647680085544
2013-06,950.420269491985
2013-07,955.7894603616517
2013-08,967.7083373548667
2013-09,1017.8692436571939
2013-10,1053.0423234753473
2013-11,1059.0962476190537
2013-12,1021.8705802717661
2014-01,955.5759696748197
2014-02,955.4223373544363
2014-03,961.4171738152709
2014-04,945.2412565081078
2014-05,1003.0599503149956
2014-06,1038.8259431440433
2014-07,1109.1761285619982
2014-08,1155.6992893054357
2014-09,1095.7046794330345
2014-10,1131.5377112320082
2014-11,1122.5937529622474
2014-12,1109.992221373559
2015-01,1189.6570962133235
2015-02,1259.597613624592
2015-03,1300.3497278131351
2015-04,1450.7213449383335
2015-05,1409.365795553357
2015-06,1326.514577897939
2015-07,1202.760829251727
2015-08,1053.9235701769155
2015-09,1018.983246286669
2015-10,1112.8069422682634
2015-11,1129.9695422518432
2015-12,1066.1807389571509
2016-01,955.856959308395
2016-02,935.1014432063778
2016-03,1019.8729902938453
2016-04,1039.0527509554777
2016-05,1036.0179903787969
2016-06,1069.9821988706526
2016-07,1104.5040198373802
2016-08,1175.569978597524
2016-09,1192.2812555956402
2016-10,1229.6854282673999
2016-11,1245.8615488587157
2016-12,1227.2483989365992
2017-01,1275.9389743370625
2017-02,1329.9700994267691
2017-03,1340.055932208823
2017-04,1336.2424986630053
2017-05,1332.5534552753159
2017-06,1331.8954289712494
2017-07,1399.8787090023811
2017-08,1451.6773476058283
2017-09,1480.7483591762075
2017-10,1545.2130782393683
2017-11,1525.5849539434864
2017-12,1556.4172568694319
2018-01,1692.932663072868
2018-02,1640.6588622881623
2018-03,1575.9416682839876
2018-04,1586.4180230900283
2018-05,1632.0996995268385
2018-06,1551.490142270468
2018-07,1544.6823785559989
2018-08,1485.4506600938516
2018-09,1489.7754130835551
2018-10,1409.1193672972288
2018-11,1484.7877843579804
2018-12,1392.7952637798019
2019-01,1549.940090734363
2019-02,1589.539347992052
2019-03,1643.762188717476
2019-04,1680.839355226842
2019-05,1519.7198710650605
2019-06,1603.8882788162457
2019-07,1632.6154608027477
2019-08,1569.147179482524
2019-09,1595.0524546170066
2019-10,1627.4352991315013
2019-11,1660.4941345426764
2019-12,1773.0318020321722
2020-01,1703.650823691562
2020-02,1686.1575776767666
2020-03,1502.5935383148897
2020-04,1605.3439295386504
2020-05,1589.7442824311172
2020-06,1702.7546544156485
2020-07,1767.4285789174824
2020-08,1826.979954185093
2020-09,1807.96533350792
2020-10,1896.4421212160387
2020-11,1942.7398509274205
2020-12,1978.2287635225603
2021-01,2105.514053160403
2021-02,2088.2463554422884
2021-03,2058.361538794294
2021-04,2041.581697792577
2021-05,2056.740089751956
2021-06,2140.5383807080625
2021-07,1886.6842941272923
2021-08,1901.6498058774166
2021-09,1849.4335094259702
2021-10,1901.7785608655759
2021-11,1834.8140089056787
2021-12,1788.7319399679197
2022-01,1773.2447282104397
2022-02,1622.91008771079
2022-03,1514.5513685519593
2022-04,1513.0816977529225
2022-05,1516.3676533600253
2022-06,1610.0470858989665
2022-07,1528.5259445379718
2022-08,1559.9465532366862
2022-09,1391.7404913343926
2022-10,1197.548325547465
2022-11,1436.8540153986066
2022-12,1432.9509094911882
2023-01,1560.2195042897877
2023-02,1440.2273177260786
2023-03,1460.1448110558672
2023-04,1372.4272171130292
2023-05,1318.5608258780426
2023-06,1351.8787634133105
2023-07,1468.889415106418
