Date,EM (EMERGING MARKETS) ex CHINA
1998-12,1000.0
1999-01,1021.9413360207282
1999-02,1067.1829393761675
1999-03,1228.2109030154431
1999-04,1407.7287307286895
1999-05,1420.4770878529907
1999-06,1596.6676043551558
1999-07,1497.0278974092432
1999-08,1531.4715064019672
1999-09,1467.0722666187714
1999-10,1519.0449686165032
1999-11,1729.0545556274838
1999-12,1960.7813999833938
2000-01,2023.0078241125623
2000-02,2084.815227466142
2000-03,2108.5140765095507
2000-04,2003.5202988160727
2000-05,1885.8939591615908
2000-06,1874.6125335013273
2000-07,1834.7653063006205
2000-08,1928.0765846528584
2000-09,1775.993520798945
2000-10,1711.7758325742973
2000-11,1526.7045852675485
2000-12,1451.3691177548974
2001-01,1666.2441012464942
2001-02,1554.5669893872546
2001-03,1465.5011901945584
2001-04,1528.536748708653
2001-05,1616.1641025612137
2001-06,1578.7088768362103
2001-07,1439.4456886467844
2001-08,1393.414868350326
2001-09,1165.33742293623
2001-10,1254.1734593480555
2001-11,1393.9279205656246
2001-12,1520.514173737475
2002-01,1639.1053882025249
2002-02,1658.9205704784981
2002-03,1744.1388252085987
2002-04,1695.8213101535605
2002-05,1606.7524479160652
2002-06,1401.6601710091572
2002-07,1301.2913955715596
2002-08,1324.3073347213008
2002-09,1169.73008929137
2002-10,1248.2260357625707
2002-11,1330.5798945185975
2002-12,1219.8779074330744
2003-01,1182.836976097525
2003-02,1146.1522868886755
2003-03,1100.8650622782952
2003-04,1179.3858128854608
2003-05,1195.1525615447347
2003-06,1293.222579384474
2003-07,1398.5714297486147
2003-08,1530.0781063350953
2003-09,1454.157779193503
2003-10,1573.4931414092557
2003-11,1543.9166461255872
2003-12,1563.9555858403173
2004-01,1650.6745657191532
2004-02,1724.1904263572287
2004-03,1780.204419449576
2004-04,1683.340431462249
2004-05,1608.1886947800951
2004-06,1623.124813908583
2004-07,1609.0897958852943
2004-08,1666.706830631421
2004-09,1722.5766069026831
2004-10,1729.9196910025846
2004-11,1807.889365782255
2004-12,1863.3079700007297
2005-01,1953.1380483650007
2005-02,2088.6986702170993
2005-03,1990.196895598648
2005-04,1945.0241971934718
2005-05,2109.6085913243114
2005-06,2224.59983098565
2005-07,2373.737556344886
2005-08,2366.215558898435
2005-09,2645.8217439703003
2005-10,2496.558622641199
2005-11,2748.988934992788
2005-12,2916.701432694925
2006-01,3144.7589099596767
2006-02,3190.96692268662
2006-03,3165.4541596083523
2006-04,3263.375263328277
2006-05,2850.26903277744
2006-06,2850.5466148624814
2006-07,2894.6260584173456
2006-08,2962.0454461251275
2006-09,3009.518178540902
2006-10,3122.156651307544
2006-11,3218.467125730105
2006-12,3342.0529608212396
2007-01,3371.149605849751
2007-02,3302.1981991732023
2007-03,3409.0706528449446
2007-04,3487.5952123249895
2007-05,3697.9132769030107
2007-06,3825.060684304225
2007-07,3947.4986628825395
2007-08,3824.206270695177
2007-09,4013.2661953616384
2007-10,4343.324040858993
2007-11,4034.399192412242
2007-12,4103.773903371039
2008-01,3617.628084440961
2008-02,3770.2855567131965
2008-03,3464.9658272011347
2008-04,3770.6341261648104
2008-05,3893.775540107991
2008-06,3472.3739008345833
2008-07,3342.48989822423
2008-08,3261.9030257655654
2008-09,2838.4297048238027
2008-10,2259.775503871368
2008-11,2038.404509369935
2008-12,1995.853839219463
2009-01,2034.924138885643
2009-02,1926.8233992883384
2009-03,2109.376412951889
2009-04,2492.854294895778
2009-05,2732.7406082385405
2009-06,2687.061335900123
2009-07,2962.3785890730137
2009-08,2964.258229044649
2009-09,3203.503311140948
2009-10,3135.3331500779645
2009-11,3226.7362933306813
2009-12,3536.9876845624594
2010-01,3472.618888544559
2010-02,3536.4098340833316
2010-03,3875.771500612801
2010-04,4005.950057266444
2010-05,3930.4215046120366
2010-06,3890.997391895064
2010-07,4000.4065275987336
2010-08,4030.3262328461337
2010-09,4186.743047304251
2010-10,4223.291175185067
2010-11,4387.889260814687
2010-12,4638.663750364021
2011-01,4396.155634489042
2011-02,4331.936053034263
2011-03,4469.953504007732
2011-04,4422.679560559837
2011-05,4418.369108035328
2011-06,4336.038502167401
2011-07,4362.45003166422
2011-08,3970.2958117545522
2011-09,3660.170638563608
2011-10,3973.957668715189
2011-11,3858.2329899116726
2011-12,3922.5865949385857
2012-01,4336.4272822677685
2012-02,4493.859454705802
2012-03,4398.83575837617
2012-04,4330.704372909
2012-05,4111.418503804582
2012-06,4177.462854348495
2012-07,4397.226458161702
2012-08,4310.290696121882
2012-09,4474.2098132610945
2012-10,4356.771662803988
2012-11,4390.282762003761
2012-12,4544.147579524259
2013-01,4448.052589867282
2013-02,4589.862318403171
2013-03,4624.082414367105
2013-04,4536.051810546056
2013-05,4481.09040356224
2013-06,4190.3698367110865
2013-07,4119.949163340846
2013-08,4039.7617966246157
2013-09,4204.113115840514
2013-10,4413.77936765965
2013-11,4277.987355488954
2013-12,4187.59396024608
2014-01,4004.3750989023106
2014-02,4047.0536792921184
2014-03,4228.965953162509
2014-04,4245.367932948711
2014-05,4453.614178857873
2014-06,4552.717086579167
2014-07,4688.342584357939
2014-08,4895.421400877587
2014-09,4714.609401343247
2014-10,4774.821204209724
2014-11,4717.162093818334
2014-12,4566.725830341104
2015-01,4904.129367717149
2015-02,5085.349603633841
2015-03,5178.648902124698
2015-04,5212.848241224685
2015-05,5110.107505728982
2015-06,4952.79080103415
2015-07,4715.543212731111
2015-08,4269.988093831477
2015-09,4144.823421824692
2015-10,4462.523523558851
2015-11,4478.041168392253
2015-12,4245.646265044547
2016-01,4082.271293806343
2016-02,4091.0378371115166
2016-03,4434.762244429388
2016-04,4447.653831989495
2016-05,4363.982869533952
2016-06,4597.9686168093
2016-07,4825.551235400451
2016-08,4887.262442970102
2016-09,4885.466985444518
2016-10,5061.214544848073
2016-11,4925.4866941469945
2016-12,5051.015243436833
2017-01,5176.438097583236
2017-02,5417.102685157692
2017-03,5527.339648355336
2017-04,5539.706145
2017-05,5478.292214
2017-06,5432.492752
2017-07,5514.072386
2017-08,5548.910818
2017-09,5526.766362
2017-10,5794.685822
2017-11,5640.8581
2017-12,5846.856463
2018-01,6007.408385
2018-02,5903.284422
