Date,PAN-EURO
1998-12,1000.0
1999-01,1030.083926155963
1999-02,1038.1480239356026
1999-03,1067.379824482029
1999-04,1119.6002516075325
1999-05,1079.560789638886
1999-06,1111.2631699126232
1999-07,1078.5667955571425
1999-08,1105.0790699158417
1999-09,1088.581421250705
1999-10,1150.6452538755811
1999-11,1239.711143884405
1999-12,1379.0946928769308
2000-01,1309.8387711898738
2000-02,1407.1838993921706
2000-03,1449.9235958143222
2000-04,1455.8902634966155
2000-05,1418.3002030343746
2000-06,1399.824697561759
2000-07,1422.1395464745713
2000-08,1463.5398173318313
2000-09,1402.7383069308157
2000-10,1452.9466152982393
2000-11,1359.681161257375
2000-12,1348.499785159709
2001-01,1360.8174467317262
2001-02,1245.1145623002778
2001-03,1202.6527973115049
2001-04,1289.6810935380136
2001-05,1279.1211689968804
2001-06,1234.1370002593053
2001-07,1196.5153265181195
2001-08,1119.539818301478
2001-09,1010.7816751810666
2001-10,1052.7084021708824
2001-11,1099.1121850229285
2001-12,1133.778480196287
2002-01,1108.0984045797493
2002-02,1102.2472920058115
2002-03,1149.0261519727708
2002-04,1102.7136265098952
2002-05,1059.8280681421231
2002-06,967.9369481478853
2002-07,867.3483573130287
2002-08,867.7774941164698
2002-09,747.7573031210718
2002-10,821.0253774392052
2002-11,856.1326739146837
2002-12,781.1580966232548
2003-01,726.4060029437869
2003-02,700.5830278413137
2003-03,682.0346450230622
2003-04,757.9475011613449
2003-05,764.5844173214618
2003-06,790.5462950767019
2003-07,819.8592181949525
2003-08,835.4367050073854
2003-09,802.7770931662147
2003-10,855.8474395440489
2003-11,865.9190008062783
2003-12,893.034680983165
2004-01,914.0292314557341
2004-02,938.9941570649279
2004-03,918.6954616028917
2004-04,935.364823580806
2004-05,934.0658438316774
2004-06,948.898477219214
2004-07,932.800157541499
2004-08,924.4033054528047
2004-09,940.3198716519196
2004-10,951.1211740903443
2004-11,975.3420976109475
2004-12,992.4546217198584
2005-01,1013.742256828545
2005-02,1044.70984396747
2005-03,1041.12313908466
