Date,ACWI ex ITALY
2015-12,2362.627068795043
2016-01,2230.897178449204
2016-02,2208.39287842396
2016-03,2263.1315922721333
2016-04,2286.0175575946487
2016-05,2357.54000766714
2016-06,2350.7730745479703
2016-07,2436.7891008019346
2016-08,2456.0007655399486
2016-09,2450.5225885996547
2016-10,2469.6462918358493
2016-11,2573.4360273362104
2016-12,2643.422131728005
2017-01,2651.960375178377
2017-02,2774.564745807191
2017-03,2790.639317517829
2017-04,2784.763530425424
2017-05,2757.9756893209947
2017-06,2732.504793198133
2017-07,2717.261027560806
2017-08,2705.9755786609544
2017-09,2774.4767014630197
2017-10,2875.488587580723
2017-11,2865.380759669929
2017-12,2892.7659160106286
2018-01,2944.966717363477
2018-02,2883.2540023650417
2018-03,2799.299055175999
2018-04,2877.1869390586085
2018-05,2987.203791203247
2018-06,2971.6096953754914
2018-07,3055.598183562833
2018-08,3100.7794905380892
2018-09,3120.483797416143
2018-10,2960.2571381359007
2018-11,3007.222542165943
2018-12,2769.248090385596
2019-01,2977.4125438453316
2019-02,3081.752968820111
2019-03,3166.3421559261956
2019-04,3281.497657835673
2019-05,3107.612976715714
2019-06,3240.7470598843183
2019-07,3325.9095392663958
2019-08,3284.1539699661244
2019-09,3388.597719235149
2019-10,3402.3583413202155
2019-11,3528.5892115810757
2019-12,3589.7321157009683
2020-01,3597.048749633454
2020-02,3336.9401074842635
2020-03,2893.7256424314323
2020-04,3212.4913166826896
2020-05,3302.464892854623
2020-06,3375.712626399779
2020-07,3377.4420929189814
2020-08,3545.650063491099
2020-09,3501.3876428911944
2020-10,3440.960343109063
2020-11,3762.2599122472516
2020-12,3850.5328025719577
2021-01,3862.102629657622
2021-02,3955.47106444785
2021-03,4195.7891583362725
2021-04,4278.311922718951
2021-05,4278.815620186353
2021-06,4472.284001813661
2021-07,4504.741355780713
2021-08,4640.180573714239
2021-09,4532.716060475358
2021-10,4772.184633779838
2021-11,4790.938321807565
2021-12,4932.340654112373
2022-01,4758.069546095767
2022-02,4628.206019646926
2022-03,4777.526341164918
2022-04,4637.0544571551145
2022-05,4574.1291330794475
2022-06,4295.517617384633
2022-07,4714.403392466735
2022-08,4606.637008455665
2022-09,4276.969954436892
2022-10,4495.033083874872
2022-11,4649.893099212852
2022-12,4310.330042925391
2023-01,4538.848932161537
2023-02,4515.612786838688
2023-03,4547.390857095165
2023-04,4540.600400512904
2023-05,4656.670320160882
2023-06,4815.170086213709
2023-07,4939.772527007919
