Date,ACWI ex ISRAEL
2015-12,2337.9393417300516
2016-01,2206.219617328983
2016-02,2183.29260313947
2016-03,2237.866480550069
2016-04,2260.6626731668935
2016-05,2331.0172482209227
2016-06,2322.9878020499905
2016-07,2407.8932673924246
2016-08,2427.1690200012617
2016-09,2421.5199562270486
2016-10,2441.2535694293424
2016-11,2543.4337814672617
2016-12,2614.4347981875394
2017-01,2622.080737825437
2017-02,2742.660475151642
2017-03,2760.037327944411
2017-04,2754.4282827695483
2017-05,2728.7737905243835
2017-06,2703.3718064385334
2017-07,2689.52674577715
2017-08,2679.501413560693
2017-09,2747.6692975848046
2017-10,2847.118600793829
2017-11,2836.954456417679
2017-12,2863.0662833006068
2018-01,2916.088116149252
2018-02,2854.543641446301
2018-03,2772.1111312519433
2018-04,2850.3286566552897
2018-05,2956.114544007109
2018-06,2940.5128718033484
2018-07,3023.6195960421223
2018-08,3065.776925553638
2018-09,3085.8096645269115
2018-10,2926.857068376871
2018-11,2973.008789467411
2018-12,2738.744685960329
2019-01,2944.5734116092963
2019-02,3048.0899761496344
2019-03,3132.03322773307
2019-04,3245.682690449508
2019-05,3073.49958489227
2019-06,3205.976903219015
2019-07,3289.768431050176
2019-08,3248.903118583429
2019-09,3352.4692414524156
2019-10,3366.4330221057307
2019-11,3490.7323033683783
2019-12,3551.3378137847108
2020-01,3557.989493758504
2020-02,3300.9411249899367
2020-03,2860.587545731316
2020-04,3174.127647409762
2020-05,3263.051529291099
2020-06,3336.5430077215483
2020-07,3337.888264717972
2020-08,3503.895850674954
2020-09,3459.953387486977
2020-10,3399.1734209595775
2020-11,3719.464017844279
2020-12,3806.2599316854335
2021-01,3816.719215621313
2021-02,3909.96611445508
2021-03,4148.343925604527
2021-04,4228.764230632445
2021-05,4230.871143860247
2021-06,4420.90599707126
2021-07,4452.734812029215
2021-08,4586.389026309951
2021-09,4480.391190885651
2021-10,4717.152383968386
2021-11,4734.47926322289
2021-12,4875.101206862517
2022-01,4703.908310311848
2022-02,4574.505638119426
2022-03,4720.799497112419
2022-04,4582.340260295839
2022-05,4521.5415212840935
2022-06,4244.458042468092
2022-07,4657.363014649071
2022-08,4549.871661056434
2022-09,4225.288872466406
2022-10,4441.680398291279
2022-11,4597.068578506531
2022-12,4262.454241317713
2023-01,4490.171203962767
2023-02,4468.306832789868
2023-03,4499.232061717916
2023-04,4493.705607653981
2023-05,4607.157335451141
2023-06,4765.66347399116
2023-07,4889.460062588729
