Date,ACWI ex HUNGARY
2015-12,2340.270428978752
2016-01,2208.268407717542
2016-02,2185.236733758971
2016-03,2239.3841428763567
2016-04,2262.2356441803395
2016-05,2332.4081822908984
2016-06,2324.3353382622
2016-07,2409.3492399235106
2016-08,2428.3807198102286
2016-09,2422.4656282756923
2016-10,2441.83927143675
2016-11,2543.7846891904555
2016-12,2614.616316304444
2017-01,2622.142018661318
2017-02,2742.855472577729
2017-03,2760.2087748448475
2017-04,2754.516162216638
2017-05,2728.6218132211416
2017-06,2703.544364330743
2017-07,2689.372344973848
2017-08,2678.4279167990217
2017-09,2746.735434353675
2017-10,2845.899242605785
2017-11,2835.6500751134763
2017-12,2862.003753186296
2018-01,2914.924124904172
2018-02,2853.4564418345635
2018-03,2770.8938273508165
2018-04,2849.0941733252166
2018-05,2955.3058003368474
2018-06,2939.843071635164
2018-07,3022.9865010525828
2018-08,3065.2449229321314
2018-09,3085.142169634768
2018-10,2926.25230174988
2018-11,2972.463376708897
2018-12,2737.8706629995922
2019-01,2943.84660904992
2019-02,3047.1995042991657
2019-03,3130.9990755799286
2019-04,3244.613844668925
2019-05,3072.23952083984
2019-06,3204.6162946035406
2019-07,3288.456718370668
2019-08,3247.414788785289
2019-09,3350.8731913389106
2019-10,3364.8174626982413
2019-11,3489.2251455297287
2019-12,3549.4146840021376
2020-01,3556.5351746792508
2020-02,3299.669497846249
2020-03,2859.473079585677
2020-04,3172.9136902881232
2020-05,3262.0270262698887
2020-06,3335.3207728322923
2020-07,3336.742073502398
2020-08,3502.4682251860054
2020-09,3458.271872057686
2020-10,3397.638642050771
2020-11,3717.5315729134677
2020-12,3804.455503225728
2021-01,3814.9901473195446
2021-02,3908.069073120721
2021-03,4146.100101466253
2021-04,4226.6311511681715
2021-05,4228.310594739502
2021-06,4418.278114117187
2021-07,4450.36774740366
2021-08,4583.726329486847
2021-09,4477.881638658744
2021-10,4714.54779797919
2021-11,4731.964885584505
2021-12,4872.639189264184
2022-01,4701.0308334018655
2022-02,4572.388244342472
2022-03,4718.461681823738
2022-04,4580.114476168784
2022-05,4519.039870616142
2022-06,4242.082013593765
2022-07,4654.734845077404
2022-08,4548.053094548664
2022-09,4223.41236772283
2022-10,4439.869774867076
2022-11,4594.215465443259
2022-12,4259.6630184242695
2023-01,4487.006150862344
2023-02,4465.0032039595135
2023-03,4495.83302104272
2023-04,4489.980361607099
2023-05,4603.070517127279
2023-06,4761.117745660351
2023-07,4885.122301829463
