Date,EM (EMERGING MARKETS)
2018-09,594.9241253331277
2018-10,556.8050457279061
2018-11,580.2006385152048
2018-12,559.7915996419107
2019-01,606.5667288655668
2019-02,612.6578537549304
2019-03,626.6413762509458
2019-04,641.1794646964722
2019-05,598.2467009934799
2019-06,622.4131752904921
2019-07,629.3553079873844
2019-08,605.4568882879355
2019-09,623.4703636313254
2019-10,635.0030257182891
2019-11,641.6768098890648
2019-12,677.7399019994997
2020-01,654.511866332679
2020-02,625.5381009415416
2020-03,529.9272437426722
2020-04,579.5876098447335
2020-05,575.2083028455728
2020-06,611.84833534298
2020-07,633.5911000794139
2020-08,640.468361966658
2020-09,642.8694890082745
2020-10,660.6078078461753
2020-11,702.8305090629732
2020-12,737.9580992279368
2021-01,766.1924070552656
2021-02,772.7943463792161
2021-03,786.2522806416308
2021-04,786.853698131941
2021-05,792.8679706178453
2021-06,819.1231333400972
2021-07,764.5418752311982
2021-08,788.3512613856858
2021-09,771.347528348603
2021-10,780.2131807455721
2021-11,769.5286796452575
2021-12,776.3387574936403
2022-01,772.7095578831307
2022-02,748.237657453646
2022-03,738.5344311731711
2022-04,735.7171720117491
2022-05,727.8939505353752
2022-06,696.9091061588117
2022-07,713.386054207639
2022-08,726.6806199240793
2022-09,658.8207699039469
2022-10,632.8322337775652
2022-11,697.6379629218859
2022-12,663.9635439170152
2023-01,704.0520290234192
2023-02,674.3160065766407
2023-03,678.4286035454971
2023-04,660.2044679477195
2023-05,672.3891688868681
2023-06,682.6144926646432
2023-07,717.9727651460247
