Date,AC ASIA ex JAPAN+CHINA A ONSHORE
2013-09,2386.3091421227023
2013-10,2447.5773020398
2013-11,2465.3056567300523
2013-12,2395.606649097371
2014-01,2328.518809037261
2014-02,2324.228636141669
2014-03,2332.782340182103
2014-04,2329.227922471242
2014-05,2445.663070104755
2014-06,2494.4529664658417
2014-07,2683.382394357969
2014-08,2744.5051798558657
2014-09,2763.972243055611
2014-10,2845.9211872505784
2014-11,2934.230193106901
2014-12,3136.005839070286
2015-01,3401.174466230764
2015-02,3510.692681148311
2015-03,3857.035496923332
2015-04,4086.140787101808
2015-05,4178.727983613971
2015-06,3891.329967610749
2015-07,3557.2546576600153
2015-08,3105.5828364336103
2015-09,3026.1148784364373
2015-10,3344.167044749399
2015-11,3421.49589573756
2015-12,3353.3946746172905
2016-01,2881.6762451864533
2016-02,2836.715135305123
2016-03,3034.4540918113175
2016-04,2974.193330411986
2016-05,3014.6043582232546
2016-06,3083.258428898836
2016-07,3182.272027292451
2016-08,3305.6180822589154
2016-09,3291.331447389877
2016-10,3347.4207669547723
2017-04,3582.709641
2017-05,3575.248091
2017-06,3634.343319
2017-07,3685.724926
2017-08,3737.873095
2017-09,3761.969263
2017-10,3975.912852
2017-11,3868.324976
2017-12,3931.376338
2018-01,4073.537559
2018-02,3933.943049
2018-03,3836.339226
2018-04,3859.899527334604
2018-05,3942.085836858223
