Date,ACWI ex TURKEY
2015-12,2340.683459619637
2016-01,2208.4749785958784
2016-02,2185.2959857393635
2016-03,2239.2550354969912
2016-04,2262.0133650477665
2016-05,2332.6529242700008
2016-06,2324.481551063128
2016-07,2409.8555769186764
2016-08,2428.87704006549
2016-09,2423.0009698473295
2016-10,2442.411543337246
2016-11,2544.8529198052393
2016-12,2615.753417683965
2017-01,2623.272402092002
2017-02,2743.909983491429
2017-03,2761.2408698584786
2017-04,2755.2599421876475
2017-05,2729.410413615527
2017-06,2704.230863619942
2017-07,2689.9873457572494
2017-08,2678.9616245331263
2017-09,2747.6491398712637
2017-10,2846.9483340483694
2017-11,2836.9909212271223
2017-12,2863.017896950049
2018-01,2916.0055683263517
2018-02,2854.394629970396
2018-03,2772.015096193394
2018-04,2850.6213494213034
2018-05,2957.1377140905192
2018-06,2941.7828198196567
2018-07,3025.241967749805
2018-08,3068.260110393583
2018-09,3087.8296012160977
2018-10,2928.7408968522172
2018-11,2974.820253176437
2018-12,2740.074726465294
2019-01,2945.98537285517
2019-02,3049.5233680852452
2019-03,3133.7706461332946
2019-04,3247.603122936766
2019-05,3074.9963070220897
2019-06,3207.3906678043436
2019-07,3291.0857258098595
2019-08,3250.167490452707
2019-09,3353.4961697749727
2019-10,3367.7720755023324
2019-11,3492.1829892708247
2019-12,3552.5324737638794
2020-01,3559.4763237009056
2020-02,3302.5603826401284
2020-03,2861.935826523032
2020-04,3175.707545363153
2020-05,3264.8977503553533
2020-06,3338.1583351738227
2020-07,3339.8088395068708
2020-08,3505.8388870637873
2020-09,3461.4831089921913
2020-10,3400.9622331263017
2020-11,3721.129185184566
2020-12,3807.95205656747
2021-01,3818.597811827104
2021-02,3911.818214568338
2021-03,4150.350326574741
2021-04,4230.972736090315
2021-05,4232.808601398586
2021-06,4423.00033356503
2021-07,4455.046941261909
2021-08,4588.548666880456
2021-09,4482.738762413186
2021-10,4719.700052261888
2021-11,4737.1945706559745
2021-12,4877.94500541172
2022-01,4706.199940887255
2022-02,4577.060965738738
2022-03,4723.178365977336
2022-04,4584.432709621024
2022-05,4523.272719823661
2022-06,4246.131346459359
2022-07,4659.248649037293
2022-08,4552.111004899287
2022-09,4227.030615044598
2022-10,4443.443516292514
2022-11,4597.6943893802945
2022-12,4262.573683872369
2023-01,4490.56299283654
2023-02,4468.311914495465
2023-03,4499.40541027775
2023-04,4493.818576364465
2023-05,4607.06640238008
2023-06,4765.589751706881
2023-07,4889.271866291305
