Date,GOLDEN DRAGON
1998-12,100.00000000000001
1999-01,97.35286287982751
1999-02,102.74401561744791
1999-03,117.11048485660434
1999-04,141.4356268916155
1999-05,133.6918987942355
1999-06,154.6581057082075
1999-07,139.3317948011436
1999-08,147.74872344982901
1999-09,139.33108868393808
1999-10,147.29039815840713
1999-11,166.84530235370704
1999-12,183.33664682604015
2000-01,188.81136569503738
2000-02,194.84815242023498
2000-03,202.1859434511885
2000-04,191.17527523988028
2000-05,176.14830501814077
2000-06,175.26162167953333
2000-07,184.71237550204984
2000-08,187.68151230604724
2000-09,167.171925127469
2000-10,159.41658708396682
2000-11,144.79479673617854
2000-12,137.0324330372441
2001-01,156.6557615596922
2001-02,150.0531979876729
2001-03,143.09232270918486
2001-04,141.09661728195337
2001-05,143.8726184131967
2001-06,139.7889836508689
2001-07,126.76700036639664
2001-08,114.66039785740037
2001-09,96.19722874339526
2001-10,102.81756055644874
2001-11,116.65073748048509
2001-12,129.04924983793137
2002-01,132.80520391462375
2002-02,127.46263526252675
2002-03,135.4414458953237
2002-04,134.09204543346004
2002-05,125.21086612736997
2002-06,110.7594847742267
2002-07,106.07864861597291
2002-08,101.43064416464138
2002-09,90.40082319235376
2002-10,95.27392218114348
2002-11,98.99416804619472
2002-12,87.93066639181846
2003-01,90.70563248516322
2003-02,85.2825503876995
2003-03,81.20522052617181
2003-04,78.55350085315408
2003-05,82.0216489590219
2003-06,87.86469182643857
2003-07,97.98848433134704
2003-08,110.39204376041813
2003-09,106.94809519334922
2003-10,114.95896483481415
2003-11,109.00613422134697
2003-12,108.75677612998429
2004-01,117.9902526495813
2004-02,122.88197608935894
2004-03,117.58299656698217
2004-04,111.59209310214203
2004-05,110.28886044620145
2004-06,109.45952188279219
2004-07,108.49069181782095
2004-08,113.3959853635866
2004-09,113.83668662815747
2004-10,110.19592937949699
2004-11,114.40486428091377
2004-12,115.32182916399215
2005-01,116.30322315360308
2005-02,120.23969962500257
2005-03,116.939119401179
2005-04,119.09923947149646
2005-05,126.83301786591863
2005-06,133.84308117769447
2005-07,138.96420678769772
2005-08,133.22931539668363
2005-09,139.67118904952267
