Date,ACWI ex DENMARK
2015-12,2330.528929295756
2016-01,2198.8956874217492
2016-02,2176.1951181201653
2016-03,2230.304041181218
2016-04,2252.967179472171
2016-05,2322.6002125017726
2016-06,2315.1197015930447
2016-07,2399.8180651707207
2016-08,2419.840243912272
2016-09,2414.635640963624
2016-10,2434.6698464071414
2016-11,2537.4090246149162
2016-12,2607.731114232953
2017-01,2615.019432895396
2017-02,2735.838219058705
2017-03,2752.9459485598345
2017-04,2746.3958653022546
2017-05,2720.0592261487573
2017-06,2695.0397718253375
2017-07,2680.701457248802
2017-08,2669.352786335136
2017-09,2737.745763247458
2017-10,2836.7293195368597
2017-11,2827.0713634555964
2017-12,2853.251679946814
2018-01,2906.4543730959945
2018-02,2844.876770046264
2018-03,2762.4577187601158
2018-04,2840.8997172253976
2018-05,2947.1127300396574
2018-06,2932.0065018162536
2018-07,3014.5043696649504
2018-08,3056.7086467022154
2018-09,3077.231196500571
2018-10,2919.1756203755817
2018-11,2965.0577548418664
2018-12,2730.558049774519
2019-01,2936.6198040238655
2019-02,3039.2002822707877
2019-03,3122.430303382459
2019-04,3236.339080597372
2019-05,3064.018678144071
2019-06,3196.101000636987
2019-07,3280.207506504448
2019-08,3238.42868557828
2019-09,3342.1002738115317
2019-10,3355.906643549762
2019-11,3479.6852048056217
2019-12,3539.581163406527
2020-01,3546.0043498240225
2020-02,3289.5323606799334
2020-03,2848.6694648047755
2020-04,3161.326043778964
2020-05,3249.5554322188273
2020-06,3322.7731434246643
2020-07,3323.3806903136565
2020-08,3488.765523007123
2020-09,3443.6510929713018
2020-10,3383.365518044488
2020-11,3702.6469321733657
2020-12,3788.7242557139007
2021-01,3800.123888775465
2021-02,3893.452264448215
2021-03,4130.910105568829
2021-04,4210.475158884861
2021-05,4211.653249018506
2021-06,4400.728352339923
2021-07,4431.487187812736
2021-08,4564.00906147939
2021-09,4459.106459354495
2021-10,4694.253592764333
2021-11,4712.707551292784
2021-12,4852.272550344913
2022-01,4683.681638420289
2022-02,4554.0462353528
2022-03,4698.80647026293
2022-04,4559.429502155529
2022-05,4499.77465097455
2022-06,4223.116344163476
2022-07,4633.5835340995245
2022-08,4528.720198150004
2022-09,4206.1337701344855
2022-10,4420.803260894863
2022-11,4573.354837174418
2022-12,4237.105465693011
2023-01,4464.994831636088
2023-02,4441.329924874802
2023-03,4470.247569925772
2023-04,4463.609251439685
2023-05,4577.2577569217765
2023-06,4735.843599207711
2023-07,4860.196180377108
