Date,ACWI WITH BRAZIL ADR
2003-05,1000.0
2003-06,1043.913468919387
2003-07,1088.6491020231817
2003-08,1142.552144048046
2003-09,1084.1342721684236
2003-10,1151.787517362152
2003-11,1134.0403035600302
2003-12,1146.0722588067138
2004-01,1183.6688369701442
2004-02,1205.309680378973
2004-03,1212.0942022093498
2004-04,1214.1252571777832
2004-05,1201.936717283727
2004-06,1230.761802502175
2004-07,1204.129040342485
2004-08,1200.6147352801934
2004-09,1199.5162060150974
2004-10,1200.0901304158424
2004-11,1211.6812014181812
2004-12,1230.9291931899968
2005-01,1256.5849897779692
2005-02,1277.227183714018
2005-03,1276.2859944704906
2005-04,1257.4576481283739
2005-05,1340.1820073597387
2005-06,1381.3243923718508
2005-07,1427.984035944765
2005-08,1421.6242744615915
2005-09,1493.8374141766583
2005-10,1463.6572370204342
2005-11,1541.752184400314
2005-12,1579.4203774360153
2006-01,1609.8378548629635
2006-02,1637.4693033746657
2006-03,1648.2094724731687
2006-04,1636.7611473636964
2006-05,1543.611192036779
2006-06,1550.3352103174361
2006-07,1564.3739556522573
2006-08,1600.8055876253159
2006-09,1636.9950323082926
2006-10,1685.9053598841872
2006-11,1669.9222389154404
2006-12,1716.333738196051
2007-01,1759.5077244149977
2007-02,1722.317729660344
2007-03,1743.9000854100918
2007-04,1777.4452841866448
2007-05,1857.8130010746731
2007-06,1845.9786505574243
2007-07,1793.8827206414423
2007-08,1797.3192073380972
2007-09,1815.7476601311935
2007-10,1854.675056493457
2007-11,1747.9532692287933
2007-12,1735.7923730254192
2008-01,1574.6723519030568
2008-02,1539.7460748688868
2008-03,1454.5561439371722
2008-04,1563.6793629661754
2008-05,1591.8288386671259
2008-06,1441.6828066570486
2008-07,1418.7858668623817
2008-08,1472.7057976096137
2008-09,1352.7066955886455
2008-10,1202.0208005794252
2008-11,1123.0569960546522
2008-12,1063.2482628965952
2009-01,1054.5382698676085
2009-02,960.3163356316682
2009-03,994.5273999553871
2009-04,1114.586585684293
2009-05,1148.2924653986984
2009-06,1152.7761378385533
2009-07,1241.1430825562775
2009-08,1270.3895523699255
2009-09,1304.6011859360635
2009-10,1272.5588382437588
2009-11,1302.8232817699445
2009-12,1391.6931218928837
2010-01,1374.793879474049
2010-02,1418.528339392924
2010-03,1523.4659587930948
2010-04,1553.5752632845933
2010-05,1524.7833269378982
2010-06,1481.33885639004
2010-07,1505.9304416296936
2010-08,1490.1171483656592
2010-09,1520.7282614714022
2010-10,1548.0552884636168
2010-11,1617.3366659254523
2010-12,1685.3529801218883
