Date,ACWI ex PORTUGAL
2015-12,2343.683296825712
2016-01,2211.4958746494067
2016-02,2188.4931761698585
2016-03,2242.7115383495247
2016-04,2265.586871839208
2016-05,2335.8673456308848
2016-06,2327.7849994557755
2016-07,2412.934133666794
2016-08,2432.012929660725
2016-09,2426.084727610437
2016-10,2445.544226016144
2016-11,2547.6979041773843
2016-12,2618.6376641290826
2017-01,2626.2312651064444
2017-02,2747.0998951731976
2017-03,2764.3770211597666
2017-04,2758.7173682867387
2017-05,2732.754360669636
2017-06,2707.75583888572
2017-07,2693.573680902839
2017-08,2682.6234567113993
2017-09,2750.951681486089
2017-10,2850.3570379582434
2017-11,2840.0433880363184
2017-12,2866.5208854648504
2018-01,2919.5635986001485
2018-02,2857.96101530313
2018-03,2775.2113550685817
2018-04,2853.5030374104736
2018-05,2959.7219283012882
2018-06,2944.2298332614528
2018-07,3027.463325500896
2018-08,3069.8392302763823
2018-09,3089.8215424705077
2018-10,2930.7763746875826
2018-11,2977.1964790169473
2018-12,2742.2339572452843
2019-01,2948.5527015478674
2019-02,3052.0245863038876
2019-03,3135.9487804046685
2019-04,3249.74412041011
2019-05,3077.073861283798
2019-06,3209.609715415171
2019-07,3293.591301862391
2019-08,3252.445419594912
2019-09,3356.021082687731
2019-10,3370.036965888829
2019-11,3494.677725072051
2019-12,3555.0150962230923
2020-01,3561.9213954162833
2020-02,3304.6559484866757
2020-03,2863.606384946334
2020-04,3177.6048889743943
2020-05,3266.7754873347194
2020-06,3340.191510956
2020-07,3341.655386530448
2020-08,3507.6431939067893
2020-09,3463.3515517814067
2020-10,3402.6443735726266
2020-11,3723.110672324564
2020-12,3810.1338059949862
2021-01,3820.762293057651
2021-02,3914.0551259724407
2021-03,4152.403608532037
2021-04,4233.065872489103
2021-05,4234.839400337304
2021-06,4425.245792703101
2021-07,4457.41900181306
2021-08,4590.99433410251
2021-09,4484.954571782854
2021-10,4721.920669051968
2021-11,4739.356661061765
2021-12,4880.212790887633
2022-01,4708.500128435287
2022-02,4579.260700320479
2022-03,4725.428081102662
2022-04,4586.771747476692
2022-05,4525.351663986107
2022-06,4247.9648828730815
2022-07,4661.200313583371
2022-08,4554.392067991965
2022-09,4229.308393835328
2022-10,4446.184240696205
2022-11,4600.809955830105
2022-12,4265.628313582194
2023-01,4493.473718406208
2023-02,4471.46808715149
2023-03,4502.1858758785775
2023-04,4496.32441607047
2023-05,4609.845896002253
2023-06,4768.184479315831
2023-07,4892.455908516141
