Date,ACWI ex PERU
2015-12,2339.4596688196534
2016-01,2207.493840683899
2016-02,2184.383222215332
2016-03,2238.513689298985
2016-04,2261.258815530355
2016-05,2331.4329947848278
2016-06,2323.2447614161224
2016-07,2408.2320532932467
2016-08,2427.3209576853105
2016-09,2421.406625419162
2016-10,2440.827368701563
2016-11,2542.657159021693
2016-12,2613.5224480745283
2017-01,2620.991305459067
2017-02,2741.6599460861694
2017-03,2759.0103110176533
2017-04,2753.389178174809
2017-05,2727.539889625896
2017-06,2702.466933710146
2017-07,2688.3177009073593
2017-08,2677.3582360891714
2017-09,2745.5861945322263
2017-10,2844.7171810182895
2017-11,2834.4196017813015
2017-12,2860.8016590926313
2018-01,2913.673545840082
2018-02,2852.1708937372823
2018-03,2769.586627225751
2018-04,2847.7011138321964
2018-05,2953.7789841231047
2018-06,2938.340724114016
2018-07,3021.448522663419
2018-08,3063.7952219958056
2018-09,3083.660450498282
2018-10,2924.7995666224183
2018-11,2971.1317952641366
2018-12,2736.6014908406128
2019-01,2942.4610534285043
2019-02,3045.7353850168624
2019-03,3129.497736239362
2019-04,3243.092373091867
2019-05,3070.822575564435
2019-06,3203.07641597207
2019-07,3286.971829959775
2019-08,3245.958955651363
2019-09,3349.3670601971644
2019-10,3363.3736698400908
2019-11,3487.7459144769
2019-12,3548.003406896384
2020-01,3555.070175808073
2020-02,3298.3817804734404
2020-03,2858.3172847163196
2020-04,3171.5993701040024
2020-05,3260.7664885801414
2020-06,3334.016623104202
2020-07,3335.4454588374274
2020-08,3501.0164993900153
2020-09,3456.813526486316
2020-10,3396.1932403270775
2020-11,3715.9818361163316
2020-12,3802.894586514693
2021-01,3813.551474018804
2021-02,3906.5024109011615
2021-03,4144.547525234707
2021-04,4225.1365627982495
2021-05,4226.879964344162
2021-06,4416.890486528969
2021-07,4449.074068909682
2021-08,4582.51402606993
2021-09,4476.693979903754
2021-10,4713.182562460061
2021-11,4730.5389358038765
2021-12,4871.079222548604
2022-01,4699.532126092637
2022-02,4570.45925811301
2022-03,4716.337386149437
2022-04,4578.147037862164
2022-05,4516.9496009873565
2022-06,4240.279787025026
2022-07,4652.755062614121
2022-08,4546.119690327436
2022-09,4221.480504934204
2022-10,4437.815400427686
2022-11,4592.111161824342
2022-12,4257.810571703928
2023-01,4485.052507855681
2023-02,4463.094817529022
2023-03,4493.827015123688
2023-04,4488.069252192152
2023-05,4601.202178287175
2023-06,4759.166653991927
2023-07,4883.0054793757745
