Date,AC PACIFIC ex JAPAN ex HK
1998-12,100.0
1999-01,105.92006676049053
1999-02,106.40629521929228
1999-03,115.72330783758382
1999-04,138.61228911253852
1999-05,133.38082909814096
1999-06,154.789070876193
1999-07,145.44568514413214
1999-08,146.0622423141419
1999-09,135.73007350372467
1999-10,140.31942891784988
1999-11,157.08073230344505
1999-12,167.642362891544
2000-01,169.96651755361333
2000-02,159.4998288399711
2000-03,166.08357226631105
2000-04,164.4583723877873
2000-05,152.8197996814668
2000-06,157.92765362028356
2000-07,152.65781570533613
2000-08,157.20398192286993
2000-09,142.19067526433946
2000-10,136.74569063570883
2000-11,129.2708288767782
2000-12,118.12818336693925
2001-01,134.82247757532403
2001-02,129.00661299651838
2001-03,120.17961732368227
2001-04,124.8518030213832
2001-05,130.379687344688
2001-06,131.30102104074768
2001-07,120.69766440884531
2001-08,116.85136050790074
2001-09,99.28106707784565
2001-10,107.26478567257374
2001-11,120.549025937061
2001-12,129.19986291648172
2002-01,138.76515445839354
2002-02,139.712791395477
2002-03,147.0579436722875
2002-04,142.00994897743337
2002-05,138.98577737239262
2002-06,124.95992022176311
2002-07,119.27113192432819
2002-08,119.54287033907985
2002-09,107.51586324633331
2002-10,113.39439870881974
2002-11,117.17034107268118
2002-12,106.13802092468418
2003-01,105.41493908679927
2003-02,101.39995822493199
2003-03,99.54540025324978
2003-04,103.41130959883711
2003-05,104.20582029052723
2003-06,112.76894796115818
2003-07,120.32540088695407
2003-08,128.82554126429815
2003-09,123.06094118351645
2003-10,134.3799798889568
2003-11,129.1194834624125
2003-12,131.50362296511452
2004-01,137.88724913171094
2004-02,143.65048016727283
2004-03,145.55960426770565
2004-04,140.30374430753452
2004-05,135.800481067653
2004-06,135.53166015003137
2004-07,134.4982773690469
2004-08,137.90286902660773
2004-09,141.96472777372716
2004-10,142.73465093176475
2004-11,148.34797252730962
2004-12,150.0535871982399
2005-01,158.78428217111832
2005-02,165.4999275308436
2005-03,161.24980346793626
2005-04,159.28626350021023
2005-05,169.13815671263794
2005-06,178.70602570922605
2005-07,186.98051773750203
2005-08,181.3875444107199
2005-09,196.5142096874504
2005-10,185.61053516563132
2005-11,200.323333381486
2005-12,210.23443455716745
2006-01,219.14385847773096
2006-02,221.57496829211576
2006-03,220.11918151472932
2006-04,228.55038331638684
2006-05,209.7574465165396
2006-06,210.24998734508029
2006-07,211.4805299450657
2006-08,217.10214906356094
2006-09,222.99226905723185
2006-10,231.9893765318144
2006-11,238.40525927888112
2006-12,248.91148190576786
2007-01,249.44400393244567
2007-02,250.77903088144265
2007-03,257.6857559854602
2007-04,263.2279233562444
2007-05,278.86956234489753
2007-06,291.429739739131
2007-07,299.7061485846847
2007-08,296.39299161938635
2007-09,319.47140857778913
2007-10,342.18395738409487
2007-11,306.0394257426414
2007-12,300.21118652220787
2008-01,259.38336468906385
2008-02,270.16287021389394
2008-03,245.2767602989236
2008-04,269.5194159688604
2008-05,267.2772260379411
2008-06,238.63824712045556
2008-07,232.73497134135866
2008-08,230.46798146953782
2008-09,201.601947490284
2008-10,168.62547737967506
2008-11,157.3692372327075
2008-12,157.39775750717604
2009-01,155.53976108056116
2009-02,148.29553503833176
2009-03,165.1112960957023
2009-04,189.81513632501242
2009-05,199.47091961299918
2009-06,204.36063163478047
2009-07,227.45169247707403
2009-08,226.0178626925922
2009-09,243.29130864370796
2009-10,240.28533994715434
2009-11,242.4525144306865
2009-12,263.2129914832697
2010-01,254.4204005302473
2010-02,261.93026555524017
2010-03,284.1858948217195
2010-04,293.9036509068477
2010-05,282.3812884433864
2010-06,283.2592372665305
2010-07,288.4753597523982
2010-08,290.1328073206468
2010-09,300.6715729276031
2010-10,303.7887725107599
2010-11,318.19543091908787
2010-12,331.54517892026973
2011-01,323.05154472103186
2011-02,315.8620263766915
2011-03,323.0010482553241
2011-04,324.40152946948945
2011-05,326.82756792215855
2011-06,317.2914832469651
2011-07,321.5560130012583
2011-08,294.1575341329869
2011-09,272.04138767157195
2011-10,297.6723780742125
2011-11,286.14842263530323
2011-12,297.71567515478836
2012-01,323.4152608352193
2012-02,332.2089328676817
2012-03,324.76897578746355
2012-04,329.73475777881157
2012-05,316.33828436081626
2012-06,319.65770837149745
2012-07,343.49855623478805
2012-08,333.92660530333046
2012-09,343.6581754567385
2012-10,343.6481824357828
2012-11,349.5088754304504
2012-12,357.1048151715702
2013-01,354.3252877336027
2013-02,374.4463274086263
2013-03,374.76556866774393
2013-04,373.89676382153624
2013-05,362.78059338680646
2013-06,340.591882264599
2013-07,341.00253428705474
2013-08,343.6918535979825
2013-09,354.0090151864325
2013-10,368.64128519983143
2013-11,364.014000192648
2013-12,353.5100611188717
2014-01,342.80004629751653
2014-02,350.1976077111171
2014-03,357.089648883328
2014-04,358.63139312352183
2014-05,373.90093714025437
2014-06,378.8430619836173
2014-07,401.12988366976674
2014-08,410.95230537127156
2014-09,395.57562661833435
2014-10,407.5864056631623
2014-11,402.40734030801457
2014-12,408.29070897449117
2015-01,440.12405540740644
2015-02,459.39395755677964
2015-03,479.47793090171115
2015-04,489.38881989928
2015-05,483.67890764420986
