Date,WORLD VOTING RIGHTS-ADJUSTED
2021-05,1413.4255334783888
2021-06,1476.3494148886425
2021-07,1501.7162939124928
2021-08,1545.7080061299923
2021-09,1513.672767193263
2021-10,1601.3804293354829
2021-11,1612.358547535015
2021-12,1667.507046025514
2022-01,1605.7147622729724
2022-02,1566.0779797661648
2022-03,1626.1282437593898
2022-04,1577.89319457274
2022-05,1559.1470009132217
2022-06,1459.7029741929773
2022-07,1617.3213609445136
2022-08,1572.5581685409431
2022-09,1466.8055980520758
2022-10,1563.8206450201326
2022-11,1604.8680016776477
2022-12,1484.1843134601334
2023-01,1559.1028902793043
2023-02,1559.0942300131114
2023-03,1566.39582932499
2023-04,1568.5110442253538
2023-05,1606.734958872046
2023-06,1667.5586157882187
2023-07,1702.9621804509375
