Date,AC ASIA PACIFIC ex JAPAN
1998-12,100.0
1999-01,104.3648947955654
1999-02,105.75108070728464
1999-03,117.41087241879306
1999-04,138.7474950914213
1999-05,134.86622409427872
1999-06,153.54561321528402
1999-07,145.6517902581192
1999-08,148.06802053674443
1999-09,139.18859111449336
1999-10,143.59732766604574
1999-11,162.4901347499131
1999-12,175.53112898755413
2000-01,177.36146773202734
2000-02,176.32905479699173
2000-03,180.3412218948178
2000-04,174.98827447498056
2000-05,159.08219106443863
2000-06,165.03230181313626
2000-07,162.80579891817783
2000-08,168.9869306912405
2000-09,153.4463241301369
2000-10,147.75671310603636
2000-11,140.50611171427124
2000-12,131.2393594629734
2001-01,146.656213628118
2001-02,141.36660706485767
2001-03,130.87488496362613
2001-04,134.3263113504801
2001-05,140.41366687716538
2001-06,139.32385691033014
2001-07,129.3057538028577
2001-08,123.38746825506595
2001-09,104.7843738885085
2001-10,112.68399547184463
2001-11,126.7323043389776
2001-12,135.05955451964707
2002-01,143.73985816546562
2002-02,144.0397166120596
2002-03,151.086630989185
2002-04,146.83027613962838
2002-05,141.9686878414374
2002-06,127.77260594438194
2002-07,122.08789048317489
2002-08,121.78328706044383
2002-09,110.06964685502847
2002-10,115.59098051166588
2002-11,120.04167578644675
2002-12,108.74316833816
2003-01,107.60697145492111
2003-02,103.99183574230045
2003-03,101.25286468608451
2003-04,104.01862901714446
2003-05,105.14353177589629
2003-06,113.53593930278848
2003-07,121.48963407269709
2003-08,131.6153151774139
2003-09,126.56960446044302
2003-10,137.49414745784895
2003-11,132.36950152895014
2003-12,134.49764848160964
2004-01,141.70354840247882
2004-02,147.11839532544843
2004-03,148.07079210388508
2004-04,143.24075628197951
2004-05,137.96421055068984
2004-06,137.82489490836784
2004-07,137.79693345320842
2004-08,141.65209439582176
2004-09,145.4072816292928
2004-10,145.6698670272957
2004-11,151.71837947358304
2004-12,153.54612642589103
2005-01,161.19512634953693
2005-02,167.30156834408263
2005-03,163.348508882278
2005-04,162.18500035100377
2005-05,172.4942442175929
2005-06,182.71251178822388
2005-07,191.33785520295612
2005-08,186.02188124118877
2005-09,201.25933736290355
2005-10,189.6142521058967
2005-11,204.3227375021174
2005-12,214.10651631715106
2006-01,222.83236145724138
2006-02,226.03418909566128
2006-03,225.87188600551576
2006-04,233.27761723743663
2006-05,213.0907597273854
2006-06,213.98873673257668
2006-07,215.50963215630398
2006-08,222.16125830055694
2006-09,228.9541017090097
2006-10,237.8213538499513
2006-11,243.96910491509482
2006-12,255.1039279843792
2007-01,257.1088928841086
2007-02,255.37722709989558
2007-03,261.8660548371703
2007-04,268.1150554681579
2007-05,283.8706099246844
2007-06,295.0412342125617
2007-07,304.44950737085793
2007-08,301.191099215716
2007-09,326.21498655805027
2007-10,351.79404991674255
2007-11,318.34207538306435
2007-12,315.6466247772499
2008-01,272.5301782776471
2008-02,279.31930241505484
2008-03,251.7391324892469
2008-04,277.21942063947967
2008-05,272.8993352837371
2008-06,241.4100938170688
2008-07,237.43641039296628
2008-08,236.3388860275287
2008-09,206.24197675596747
2008-10,172.5739768915868
2008-11,161.56290245661026
2008-12,160.59781616122436
2009-01,161.02534977772967
2009-02,153.06626768240957
2009-03,168.20211805679193
2009-04,194.22599895028736
2009-05,208.10122605073963
2009-06,211.98769301359482
2009-07,235.58687302480078
2009-08,232.23546317700158
2009-09,249.96366595185248
2009-10,246.76485385636232
2009-11,249.2528897675911
2009-12,270.20117292325057
2010-01,261.3605188866191
2010-02,269.7166760341856
2010-03,292.5572972207801
2010-04,301.6873868312565
2010-05,291.9696315417859
2010-06,294.55625603860716
2010-07,297.60215936463425
2010-08,300.11916210614413
2010-09,312.7603824643115
2010-10,315.5124086764284
2010-11,330.2071513689222
2010-12,342.19346867567833
2011-01,330.4980224829093
2011-02,322.56549282208266
2011-03,330.2359005089343
2011-04,329.52916222842595
2011-05,332.33849819824
2011-06,323.08183621650426
2011-07,327.16361358578183
2011-08,298.9183655395123
2011-09,277.4106462562052
2011-10,302.2161502934094
2011-11,288.4563496737745
2011-12,299.2418858176036
2012-01,327.19382096631676
2012-02,337.01980726981185
2012-03,328.3029891611897
2012-04,332.03962801033833
2012-05,318.4691110386471
2012-06,322.7446922806097
2012-07,345.56998169572086
2012-08,336.65331248247793
2012-09,349.3264641708121
2012-10,348.4542962506063
2012-11,355.3035872294153
2012-12,361.316543392236
2013-01,360.31395046492406
2013-02,377.6354457231611
2013-03,378.4266933763619
2013-04,378.0108383743099
2013-05,368.2050977499331
2013-06,345.6403155261001
2013-07,345.5545748997645
2013-08,345.5101143374268
2013-09,356.55917172552444
2013-10,371.62472731166366
2013-11,367.2326640946996
2013-12,358.3202006889307
2014-01,347.5831658278928
2014-02,354.86350536943377
2014-03,361.9816716704796
2014-04,363.5691850452656
2014-05,381.38802066072316
2014-06,386.65859157851304
2014-07,409.7920521734854
2014-08,419.5742412354636
2014-09,405.78854985470485
2014-10,420.3463321940164
2014-11,416.98587481799944
2014-12,420.6611107751545
2015-01,457.84925582642325
2015-02,475.34874605864553
2015-03,495.14574401038203
2015-04,502.33036170046415
2015-05,499.80516871274824
2015-06,472.8460705510387
2015-07,453.0829005553584
2015-08,401.5254695525401
2015-09,393.88405268082823
2015-10,428.04417252719196
2015-11,436.48493209818434
2015-12,425.86044868365883
2016-01,394.045174203769
2016-02,388.9498355868792
2016-03,413.7751601799795
2016-04,411.420817622142
