Date,FM ASIA INDEX
2009-05,1000.0
2009-06,1025.758838999872
2009-07,1080.265832345272
2009-08,1229.5472472494075
2009-09,1276.2316458350158
2009-10,1258.7375903657053
2009-11,1165.8207853852914
2009-12,1227.9023405293767
2010-01,1269.195916241863
2010-02,1293.300389329547
2010-03,1360.960399591618
2010-04,1443.4106244807792
2010-05,1439.5943493117827
2010-06,1500.8076296768181
2010-07,1478.542994695876
2010-08,1478.1988530028432
2010-09,1430.3565810694972
2010-10,1451.651418062389
2010-11,1590.9133148358808
2010-12,1606.2775725579218
2011-01,1528.9854827315671
2011-02,1270.1827889389747
2011-03,1322.6954421113323
2011-04,1261.960474908904
2011-05,1244.2923882889543
2011-06,1260.915992812003
2011-07,1277.8458510126038
2011-08,1215.5320522864074
2011-09,1288.1772489532393
2011-10,1180.1476682622888
2011-11,1158.6343161182633
2011-12,1132.1605444489192
2012-01,1106.0754108888573
2012-02,1170.6463555233788
2012-03,1216.5217394486244
2012-04,1248.3023947735335
2012-05,1245.09973274845
2012-06,1199.1838917741807
2012-07,1238.7852141392268
2012-08,1248.4124944925052
2012-09,1258.6646478134212
2012-10,1206.9497577786485
2012-11,1186.0407218275648
2012-12,1241.2737570986867
2013-01,1274.47338227108
2013-02,1334.43366404088
2013-03,1352.997270707527
2013-04,1315.804419985904
2013-05,1503.6223974872325
2013-06,1400.6121042097589
2013-07,1420.0194317826945
2013-08,1369.8285769517329
2013-09,1319.3042053782779
2013-10,1376.6458246252332
2013-11,1380.013449803007
2013-12,1404.838992710827
2014-01,1524.7988578780091
2014-02,1491.5151624469202
2014-03,1545.261429686238
2014-04,1583.972123446098
2014-05,1620.2611036915962
2014-06,1615.5395420493983
2014-07,1695.4151548897382
2014-08,1708.9073002113641
2014-09,1802.5428568916197
2014-10,1817.4272352282455
2014-11,1759.9754209039809
2014-12,1865.893092492544
2015-01,2030.648778900923
2015-02,2025.5723887107874
2015-03,1936.7751325935176
2015-04,1950.1062222152602
2015-05,1959.9059823539799
2015-06,1999.116921400044
2015-07,2104.5301869865675
2015-08,1909.5876720461467
2015-09,1785.5608418798843
2015-10,1865.3899480731732
2015-11,1819.6885772132005
2015-12,1801.2363269757434
2016-01,1694.30047480426
2016-02,1696.4698797890717
2016-03,1642.1781952836523
2016-04,1720.0190893494969
2016-05,1819.9414545866964
2016-06,1887.7590239821159
2016-07,1949.4618420086929
2016-08,1963.2365176327044
2016-09,1946.5157081390198
2016-10,1955.000740067955
2016-11,2022.2379507708363
2016-12,2132.8533248484514
2017-01,2108.6203680679296
2017-02,2166.914780074549
2017-03,2169.5143967611925
2017-04,2159.076813046195
2017-05,2115.025825718079
2017-06,2150.545640930112
2017-07,2067.7805552082777
2017-08,2090.0028275496634
2017-09,2181.88864076377
2017-10,2329.938820058786
2017-11,2593.510191300571
2017-12,2731.942300489865
2018-01,2868.138315262271
2018-02,2906.641102716329
2018-03,3033.5429380220176
2018-04,2881.2490413094492
2018-05,2700.594455010779
2018-06,2707.6680092287515
2018-07,2648.9524169170604
2018-08,2689.0312741725593
2018-09,2703.409547124997
2018-10,2552.004767768502
2018-11,2629.818868437677
2018-12,2500.524019750039
2019-01,2595.236862378107
2019-02,2810.0460869363674
2019-03,2843.8930561969805
2019-04,2807.1517843686875
2019-05,2763.7734853086026
2019-06,2693.8428211699934
2019-07,2834.948310468169
2019-08,2839.3067712727
2019-09,2887.415695932268
2019-10,2794.7591672595217
2019-11,2791.500261135347
2019-12,2655.2085297965214
2020-01,2601.9231432489346
2020-02,2449.4272911493044
2020-03,1906.5040701472728
2020-04,2160.2994697455424
2020-05,2386.3801247517727
2020-06,2294.2494961490584
2020-07,2144.897460366008
2020-08,2324.744925171836
2020-09,2416.2508709450804
2020-10,2563.7027463620607
2020-11,2625.1893901933513
2020-12,2770.9013022072577
2021-01,2739.5923190207177
2021-02,2909.4638292093277
2021-03,2986.2448246905747
2021-04,3136.1206621141246
2021-05,3193.077314542468
2021-06,3439.497587924747
2021-07,3251.0309485084076
2021-08,3318.686133708137
2021-09,3446.436435380628
2021-10,3607.1353468707644
2021-11,3665.606712415266
2021-12,3645.0246083261563
2022-01,3580.802554474187
2022-02,3465.4238101246933
2022-03,3401.101201843398
2022-04,3338.437303706965
2022-05,3040.7623846070696
2022-06,2880.25006220698
2022-07,2877.294328165823
2022-08,3060.4600282090155
2022-09,2782.2941239295865
2022-10,2415.668582619594
2022-11,2423.72072101098
2022-12,2243.8378869154267
2023-01,2385.99726023595
2023-02,2210.2210058749183
2023-03,2267.7877395841797
2023-04,2189.6274239146965
2023-05,2274.491457145209
2023-06,2322.1087732122096
2023-07,2493.3824441521933
