Date,AC ASIA
1998-12,100.0
1999-01,103.6356220530404
1999-02,104.93293585837935
1999-03,121.0742420078241
1999-04,132.43220392660356
1999-05,127.8898976838376
1999-06,143.58484960453146
1999-07,147.75391153765094
1999-08,149.82305923865806
1999-09,153.16104035774043
1999-10,161.5131662615093
1999-11,177.64833474125928
1999-12,190.28012947410315
2000-01,188.16537008989454
2000-02,186.49305406620476
2000-03,200.59449263029845
2000-04,194.056597511222
2000-05,179.504325730373
2000-06,184.8931530852842
2000-07,172.89424749811394
2000-08,188.27613321922092
2000-09,177.04412061214404
2000-10,172.70739517592585
2000-11,161.2993101713844
2000-12,142.73019692185179
2001-01,147.76959295117578
2001-02,142.6146557324087
2001-03,140.432377221193
2001-04,147.0020258326734
2001-05,153.42214341907098
2001-06,145.88819850963873
2001-07,132.01479255339956
2001-08,124.30595111532665
2001-09,110.28928216632998
2001-10,112.91029821508117
2001-11,118.60349621369487
2001-12,116.06539894256102
2002-01,114.91971345233519
2002-02,117.85124923706051
2002-03,123.99453087645541
2002-04,125.17589811357881
2002-05,125.07195039218286
2002-06,112.2293830526445
2002-07,106.12146343162946
2002-08,104.76515154163994
2002-09,97.5599325317539
2002-10,93.54562390087777
2002-11,97.22846590812419
2002-12,88.88221151921417
2003-01,84.5234019961654
2003-02,83.57950339561496
2003-03,78.84846152235687
2003-04,77.32338485852968
2003-05,77.70509338339912
2003-06,85.21636144278956
2003-07,91.54979950439771
2003-08,102.97711721125927
2003-09,101.44700923856665
2003-10,107.38651598700169
2003-11,101.47233023202149
2003-12,102.85865292977616
2004-01,107.60186780471435
2004-02,108.43108171754656
2004-03,119.38124612926086
2004-04,115.72677396025858
2004-05,109.67265090240231
2004-06,114.14503979712362
2004-07,109.68100630153342
2004-08,110.6421239208581
2004-09,107.57106604192083
2004-10,107.19123820179678
2004-11,108.71455606061213
2004-12,111.09555278348603
2005-01,114.19626040988263
2005-02,115.68878250609552
2005-03,114.82724827511518
2005-04,113.07036344348371
2005-05,118.49713615885305
2005-06,121.89202143043563
2005-07,124.9117048150171
2005-08,127.81210228477941
2005-09,141.83606671332242
2005-10,138.67221124539753
2005-11,148.2096052091328
2005-12,159.7433200813444
2006-01,164.06182084365597
2006-02,166.15073013475998
2006-03,167.53725579278603
2006-04,167.52944733018367
2006-05,153.44222993613695
2006-06,152.79779716314673
2006-07,152.61452600613265
2006-08,155.4192612623943
2006-09,157.10124647450633
2006-10,159.30607307722977
2006-11,158.08045800899365
2006-12,163.8639071174838
2007-01,166.53638369268828
2007-02,167.98941805664273
2007-03,166.64346654178573
2007-04,163.08411157545976
2007-05,170.637439293631
2007-06,173.03398082832732
2007-07,175.5061989764141
2007-08,172.24727133258673
2007-09,175.83149260391943
2007-10,180.67030114912077
2007-11,169.19378802800387
2007-12,165.95459889256213
2008-01,149.2211262264874
2008-02,149.90639166214626
2008-03,136.48147255837617
2008-04,149.55905540501533
2008-05,149.56997236729057
2008-06,134.1052040665498
2008-07,132.3430384771814
2008-08,132.89472929011794
2008-09,120.49738648601156
2008-10,108.55389947606325
2008-11,105.1444516015372
2008-12,104.43104613072174
2009-01,106.1814075447612
2009-02,96.29835559327746
2009-03,98.43994681430915
2009-04,111.15905261362394
2009-05,117.4799747142663
2009-06,119.41565613855416
2009-07,127.97966344608575
2009-08,127.0871777678925
2009-09,128.74671516952668
2009-10,125.5853217248302
2009-11,124.41239825744286
2009-12,133.53116109351004
2010-01,134.87506541339033
2010-02,138.51300721678675
2010-03,148.25534327449319
2010-04,152.30568834219423
2010-05,151.4834141847337
2010-06,151.53663282222774
2010-07,149.2352045695663
2010-08,150.40882438173008
2010-09,151.3678147935232
2010-10,152.17865228395075
2010-11,162.7685407398297
2010-12,168.20619494746407
2011-01,163.85082294837014
2011-02,162.84353690205202
2011-03,156.46675994544864
2011-04,153.03251300958178
2011-05,155.625374932103
2011-06,153.3295517561398
2011-07,158.20983574701827
2011-08,143.58126228653742
2011-09,141.98910553603088
2011-10,144.82091970842018
2011-11,140.26454489788142
2011-12,146.47442823142933
2012-01,156.66522662197994
2012-02,161.86592599036146
